protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
cd22,0.777529921458638,0.64190183004128,0.941815010442637,-2.57290563279234,0.0100848701070384,122,0.221982703232451
tnfsf13,1.29279134343958,1.06292981041586,1.57236107341692,2.57094593295741,0.0101421159498166,120,0.221982703232451
fgfr2,0.761492611029581,0.618512857155521,0.93752456386989,-2.56796701377386,0.0102296889959532,119,0.222228542292684
sowaha,1.18411006794817,1.04065744908934,1.34733735317342,2.56481549482692,0.0103230682074138,108,0.222230418150243
ceacam5,1.24181149533514,1.05226464351965,1.46550185777262,2.56282426362894,0.0103824585600938,115,0.222230418150243
esam,1.3004857784686,1.06299218186976,1.59104016835215,2.55371406880852,0.0106580740201891,121,0.226464623888837
ly9,0.78226169350711,0.647320418296661,0.945333006394012,-2.54188378955825,0.0110256825298198,121,0.230418892098896
hdgfl2,0.688297337647334,0.515956152168226,0.91820443078648,-2.5403056310739,0.0110755636201837,107,0.230418892098896
phykpl,0.78014082321943,0.643970787980993,0.945104522460813,-2.53685094334041,0.0111854568048685,111,0.230418892098896
tnfrsf10a,1.24829907905891,1.05155832901966,1.4818489357904,2.53447498563104,0.0112615967074114,119,0.230418892098896
gdf15,1.22133047583007,1.04618095420928,1.42580317983204,2.53159431118836,0.0113545277724604,121,0.230418892098896
tfap2a,0.74038327481866,0.586638183853484,0.934421605546411,-2.53110890499313,0.0113702539121289,104,0.230418892098896
efna1,1.28514804516481,1.05817132264065,1.5608110545553,2.5302301433798,0.0113987731353732,119,0.230418892098896
tbc1d23,0.582390062657047,0.382975201414543,0.885640072330801,-2.527817191904,0.0114774096030024,118,0.230418892098896
lgals3bp,0.747176235136085,0.595570419512706,0.937374167791797,-2.51889975708342,0.011772216643934,110,0.231724102810408
itgam,0.784840082175832,0.649990938026144,0.947665449706609,-2.51881462978895,0.0117750629885687,119,0.231724102810408
dsc2,1.28073131388556,1.05641763482682,1.55267447673376,2.51863018330957,0.0117812322967847,117,0.231724102810408
ccn2,1.29756152080288,1.05897093689365,1.58990756177605,2.51265731785079,0.0119825666340267,119,0.234102358870146
vsig4,1.31487138706047,1.06098891345136,1.62950502365412,2.50081423929206,0.0123908152255568,119,0.240464420810639
mcts1,1.17454821521351,1.03502822903827,1.33287525031381,2.49358527402873,0.0126460204246089,107,0.242354924899537
cd207,1.2599833860231,1.05067908948079,1.51098289568011,2.49334056788616,0.0126547401527756,117,0.242354924899537
cemip2,0.729239061769719,0.568244733668638,0.93584608479783,-2.4809271339931,0.0131041157646939,110,0.246397425522804
c2,0.883658276040731,0.801326417693633,0.974449277564959,-2.47865842769981,0.0131877529872494,117,0.246397425522804
timp1,1.27816131384237,1.05262474902982,1.55202159716365,2.47774746543014,0.0132214687472204,114,0.246397425522804
rrm2,0.714816167888088,0.548079256784731,0.932277854979835,-2.47742790502807,0.0132333140880108,116,0.246397425522804
prdx6,1.23584848240029,1.04509143607282,1.46142377473723,2.47556942363312,0.013302389687374,122,0.246397425522804
afm,0.777219025908561,0.63642098728392,0.949166395049706,-2.4715851579512,0.0134515509514483,110,0.246397425522804
kdr,0.821937026657409,0.703559279509066,0.960232485685972,-2.47140508390741,0.0134583272614654,119,0.246397425522804
pomc,0.774474259996506,0.631901654547991,0.949214763215314,-2.46206960987106,0.0138137853605446,104,0.248855010019108
lrig1,1.24798936532712,1.04616687597638,1.48874667295884,2.46142888723382,0.013838482828158,122,0.248855010019108
fst,1.2415498998001,1.0450448771786,1.47500474606911,2.46115570206322,0.0138490249478171,120,0.248855010019108
cr1,0.794185840103065,0.660700756053227,0.954639665297127,-2.4543986630305,0.0141120433387731,112,0.250876618028032
pkd2,0.695452882830324,0.520295108596156,0.929577665148517,-2.4532184369846,0.0141584332498623,107,0.250876618028032
tcl1a,0.791779773678059,0.656967956438394,0.954255384698456,-2.45165541870346,0.0142200762537359,118,0.250876618028032
