cog_measure,protein,rho,pval,n,fdr
symbol_digit__n_correct__i2,prr4,-0.214174956865896,0.046373673040908,87,0.621603224632368
symbol_digit__n_correct__i2,enpp5,0.211649381923669,0.0477546029046773,88,0.621603224632368
gcsvd_score,cd248,0.0984453352182758,0.0523660731636354,389,0.0935471598263001
gcsvd_score,ache,0.0994382459970872,0.0533980830948952,378,0.09447353162943
gcsvd_score,itgb2,0.0980455020360316,0.0552204239227642,383,0.0967672190646535
symbol_digit__n_correct__i2,nefl,-0.205278415913653,0.0564711354325369,87,0.621603224632368
symbol_digit__n_correct__i2,trem2,-0.206074564535183,0.0569651437463775,86,0.621603224632368
gcsvd_score,cpa2,0.0954341055855966,0.0590560895307992,392,0.102512457298746
gcsvd_score,grp,0.0964548041753915,0.0616980774443031,376,0.10528310228949
gcsvd_score,adam23,0.0941859842301022,0.0617966035177442,394,0.10528310228949
symbol_digit__n_correct__i2,adgre5,0.199310810381328,0.064201971341639,87,0.621603224632368
symbol_digit__n_correct__i2,jchain,0.201133077192642,0.0649196913489761,85,0.621603224632368
symbol_digit__n_correct__i2,ache,-0.197451105907345,0.0667794202172193,87,0.621603224632368
symbol_digit__n_correct__i2,il6,-0.19833473884114,0.0688194001633003,85,0.621603224632368
symbol_digit__n_correct__i2,lrtm2,0.194276892596184,0.0697172147832634,88,0.621603224632368
gcsvd_score,tf,0.0901620604889336,0.0738370090564666,394,0.124642290517338
symbol_digit__n_correct__i2,gpc1,-0.191459493462748,0.0739473382572491,88,0.621603224632368
symbol_digit__n_correct__i2,ube2l6,-0.192515086854821,0.074028007539882,87,0.621603224632368
gcsvd_score,ca6,0.0894148164004104,0.0762706875608643,394,0.127580059192718
symbol_digit__n_correct__i2,lamp3,-0.189436971827774,0.0771092470601513,88,0.621603224632368
symbol_digit__n_correct__i2,mertk,-0.188306479385518,0.0789232134026752,88,0.621603224632368
symbol_digit__n_correct__i2,omg,0.19029784983888,0.0810786814737872,85,0.621603224632368
gcsvd_score,klrk1,0.0883394490378636,0.0814433151195723,390,0.135005134972985
symbol_digit__n_correct__i2,mepe,0.185315642823375,0.0875938527350012,86,0.644690756129609
symbol_digit__n_correct__i2,cx3cl1,-0.186519755061093,0.0913428528477243,83,0.646426343230049
gcsvd_score,dcbld2,0.0850512428656809,0.0918129307813246,394,0.150835529140748
gcsvd_score,ltbp2,0.0839514277160961,0.0973892329551528,391,0.158580697909275
gcsvd_score,oscar,0.0823309473314182,0.102721275260751,394,0.164402675053918
gcsvd_score,amn,0.0835010754433744,0.102751671908699,383,0.164402675053918
gcsvd_score,itga2,0.0836623340973313,0.104366663870337,378,0.165547122001225
symbol_digit__n_correct__i2,nptxr,0.176378571167203,0.106367074549096,85,0.702369595103549
symbol_digit__n_correct__i2,nell2,0.173053663387263,0.10688232968967,88,0.702369595103549
gcsvd_score,rgma,0.0814141487690747,0.107519508786614,392,0.167672934088884
gcsvd_score,dner,0.08120434550482,0.107529381643958,394,0.167672934088884
gcsvd_score,siglec8,0.0812020186474543,0.115969166071531,376,0.179313668547578
symbol_digit__n_correct__i2,mxra8,-0.16845395886282,0.118836384861556,87,0.736361216310356
symbol_digit__n_correct__i2,tnr,0.171561796246737,0.120944593485441,83,0.736361216310356
gcsvd_score,cd83,0.0790474705570011,0.121039176330029,386,0.185593403706044
symbol_digit__n_correct__i2,scrg1,-0.166140334211785,0.124060857095766,87,0.736361216310356
gcsvd_score,itgb6,0.0785698125082134,0.124786449118677,383,0.188867166515432
gcsvd_score,sez6l2,0.0785814004303358,0.125227143015667,382,0.188867166515432
gcsvd_score,mog,0.0768110853666124,0.127993621874064,394,0.191470133535186
symbol_digit__n_correct__i2,hspa1a,-0.161898882492187,0.131812784910962,88,0.757923513238034
symbol_digit__n_correct__i2,adgre2,0.157977486833111,0.14155664229813,88,0.789285520692601
gcsvd_score,itga11,-0.0748316661260055,0.142240348543868,386,0.21106632364574
gcsvd_score,art3,0.0742475355442824,0.144344032095855,388,0.212474415245099
gcsvd_score,il22,0.0733253372663314,0.146279763546583,394,0.213614892798185
symbol_digit__n_correct__i2,obp2b,0.157939435772712,0.153856061804331,83,0.796620801589739
symbol_digit__n_correct__i2,mog,-0.153270045647778,0.153960335837367,88,0.796620801589739
symbol_digit__n_correct__i2,igdcc4,0.153463658553944,0.155860591615384,87,0.796620801589739
gcsvd_score,amy2b,0.0725333621735106,0.169079909260195,361,0.244966167747054
symbol_digit__n_correct__i2,itga2,-0.147096778704278,0.173959293096738,87,0.855342332241589
symbol_digit__n_correct__i2,il22,-0.144093626526651,0.180442970367896,88,0.855342332241589
symbol_digit__n_correct__i2,rab6a,0.145509117939971,0.181295385638163,86,0.855342332241589
gcsvd_score,cd5l,0.0671984113505301,0.184837187691569,391,0.264974810364078
gcsvd_score,mansc1,0.0667993850945051,0.185770383353076,394,0.264974810364078
gcsvd_score,ssbp1,0.0669907388994977,0.191382879997925,382,0.270880383997064
gcsvd_score,il15,0.0663927310258109,0.193047583766731,386,0.271150804679988
gcsvd_score,tnr,0.0664545235992099,0.194969214105786,382,0.271775268147459
gcsvd_score,cd34,0.0650433147298088,0.198778126048609,392,0.274317270611251
gcsvd_score,pepd,0.0647571221170109,0.200188170918794,393,0.274317270611251
gcsvd_score,cst5,0.0657903031901056,0.20126538876369,379,0.274317270611251
symbol_digit__n_correct__i2,gsr,-0.137532682242379,0.201317995391189,88,0.874977726842107
symbol_digit__n_correct__i2,gfap,-0.141265524551631,0.202709081725447,83,0.874977726842107
gcsvd_score,amy2a,0.0659813717529516,0.203579009580681,373,0.275430424726804
symbol_digit__n_correct__i2,prss8,-0.136649115042674,0.20692265825749,87,0.874977726842107
symbol_digit__n_correct__i2,cst5,-0.139808614126306,0.21029739359045,82,0.874977726842107
symbol_digit__n_correct__i2,pepd,-0.132679470779999,0.217835542024606,88,0.874977726842107
symbol_digit__n_correct__i2,bcan,0.134814018986682,0.224311266968978,83,0.874977726842107
symbol_digit__n_correct__i2,robo1,0.130757348496909,0.224634890459545,88,0.874977726842107
symbol_digit__n_correct__i2,folr1,-0.130808556296374,0.229951477085161,86,0.874977726842107
symbol_digit__n_correct__i2,phykpl,-0.129861159628963,0.230594457298058,87,0.874977726842107
gcsvd_score,mmp12,0.0600989951664428,0.236970844701769,389,0.31826741186223
gcsvd_score,enpp5,0.0586642018916769,0.245336141079871,394,0.327114854773161
symbol_digit__n_correct__i2,blmh,-0.123824250315884,0.250392877262622,88,0.874977726842107
gcsvd_score,rab6a,0.0585685813675548,0.250991766191869,386,0.332248093376287
symbol_digit__n_correct__i2,eno3,-0.125563057718312,0.252195796087223,85,0.874977726842107
symbol_digit__n_correct__i2,il17rb,0.125091312554074,0.253996400682472,85,0.874977726842107
symbol_digit__n_correct__i2,tnxb,0.122843901401115,0.254192289207368,88,0.874977726842107
gcsvd_score,prr4,0.0585817603261522,0.256522183965112,377,0.337143441782718
symbol_digit__n_correct__i2,penk,-0.122586741397812,0.257993082740437,87,0.874977726842107
symbol_digit__n_correct__i2,cd248,-0.121888899264212,0.260733349384648,87,0.874977726842107
symbol_digit__n_correct__i2,cxcl16,-0.120724228071884,0.26254142903162,88,0.874977726842107
symbol_digit__n_correct__i2,ly9,-0.12164053001384,0.267434755604839,85,0.874977726842107
symbol_digit__n_correct__i2,ppp3r1,-0.121250477629484,0.274865492270231,83,0.874977726842107
symbol_digit__n_correct__i2,eno2,-0.117448083485778,0.275808196504577,88,0.874977726842107
gcsvd_score,clec4a,0.0546246578695224,0.284383919910471,386,0.371110930946998
symbol_digit__n_correct__i2,pla2g15,-0.115382916939013,0.284398104008691,88,0.883544650141973
symbol_digit__n_correct__i2,lgals9,-0.11487115716603,0.289389648815676,87,0.883544650141973
symbol_digit__n_correct__i2,cd8a,0.113376027197218,0.292914259014458,88,0.883544650141973
symbol_digit__n_correct__i2,acp5,0.111315284000265,0.30467636446714,87,0.894416597478628
symbol_digit__n_correct__i2,ltbp2,-0.110311332842039,0.306240465441052,88,0.894416597478628
gcsvd_score,cd209,0.050971071151617,0.317249707688857,387,0.411084128272885
symbol_digit__n_correct__i2,lrrn1,0.10921226584209,0.319756222426805,85,0.900509553796705
symbol_digit__n_correct__i2,muc13,-0.107497192642614,0.321665981535092,87,0.900509553796705
symbol_digit__n_correct__i2,eps8l2,0.106575877832973,0.323008861687949,88,0.900509553796705
gcsvd_score,alpp,-0.0493730233329648,0.335842946522763,382,0.43213358153978
symbol_digit__n_correct__i2,ptprr,0.103678521715989,0.336412349321081,88,0.923878690672819
