protein,logFC,AveExpr,t,P.Value,fdr,comparison
fut3_fut5,0.101779058022755,-0.00659932127832302,1.92247516318273,0.0545518860621608,0.984808809417994,hla_interaction_post
ifnlr1,0.0761716785596446,0.0120826885097826,1.91552761969524,0.0554311641874662,0.984808809417994,hla_interaction_post
hmcn2,0.106200701164678,-0.0251197485708171,1.91288629200317,0.0557685336730165,0.984808809417994,hla_interaction_post
casp7,0.0720532044482333,-0.0362963961015108,1.91112050656045,0.0559950252137295,0.984808809417994,hla_interaction_post
cirbp,0.0703980694086711,-0.0883460159641253,1.90894011247794,0.0562757537689936,0.984808809417994,hla_interaction_post
tgfbi,0.0550928186318684,0.00349466836004246,1.90676264770465,0.0565572736422373,0.984808809417994,hla_interaction_post
thop1,0.0537336263620399,0.0132748362482548,1.90189080390419,0.0571913911453847,0.984808809417994,hla_interaction_post
fcar,0.0998198796346099,0.00129763948028383,1.90185602311784,0.0571959393733132,0.984808809417994,hla_interaction_post
brd3,-0.0851590312065597,0.0269806990884147,-1.90054516200362,0.0573675780625984,0.984808809417994,hla_interaction_post
cpa2,0.140154663535653,0.0263749083862739,1.89462219305074,0.0581484556358391,0.984808809417994,hla_interaction_post
tex33,-0.0730037684582853,0.0370609021748938,-1.89402778400274,0.0582273072048163,0.984808809417994,hla_interaction_post
rspo1,-0.0711236716170178,-0.00399334335989233,-1.89032357541774,0.0587206946716157,0.984808809417994,hla_interaction_post
tlr2,-0.0425836679324661,-0.00237994641251245,-1.8900989277298,0.0587507282694654,0.984808809417994,hla_interaction_post
man1a2,0.0467040597231871,-0.00110249822676024,1.88888395839793,0.0589133810690381,0.984808809417994,hla_interaction_post
znf830,-0.149180460681417,0.254921215402805,-1.88845015929727,0.058971545986613,0.984808809417994,hla_interaction_post
tnfsf10,-0.0556506312492674,-0.0060262107934889,-1.88797295839648,0.059035585390352,0.984808809417994,hla_interaction_post
stxbp1,0.0775880696182106,-0.0669666141097425,1.88465670922353,0.0594822157123603,0.984808809417994,hla_interaction_post
txnl1,0.179232400931905,0.282810362806462,1.88407439339949,0.0595609302813965,0.984808809417994,hla_interaction_post
cetn2,-0.0857234066256566,0.0367016588007247,-1.88279542751753,0.0597341179352329,0.984808809417994,hla_interaction_post
vwa5a,-0.144806219933214,0.155989180438541,-1.88180117236673,0.0598690406800396,0.984808809417994,hla_interaction_post
bcl2l11,0.086726195999812,-0.0757300596845797,1.88176578577403,0.0598738473775433,0.984808809417994,hla_interaction_post
h2ap,-0.0912220375191581,0.0561450047713812,-1.87735412534219,0.060475612502574,0.984808809417994,hla_interaction_post
anxa3,-0.0836145129232656,-0.0343584741727438,-1.87515585351802,0.0607773303026264,0.984808809417994,hla_interaction_post
pamr1,0.0562141418051488,-0.00951140420416538,1.87504582981182,0.0607924640229948,0.984808809417994,hla_interaction_post
ptp4a3,-0.0866506681264454,0.0534235231724863,-1.86695790020197,0.0619135370923458,0.984808809417994,hla_interaction_post
scin,-0.131620311200928,0.0663052914126991,-1.86567164525779,0.062093392844628,0.984808809417994,hla_interaction_post
lsm8,-0.159743296190839,0.266728417008258,-1.86478686919635,0.0622173610007674,0.984808809417994,hla_interaction_post
tnfrsf8,0.0906209500337548,0.0371763894962178,1.86442476339249,0.0622681555543552,0.984808809417994,hla_interaction_post
s100p,-0.106067612353147,0.0587132806719815,-1.86196044838485,0.0626147503666622,0.984808809417994,hla_interaction_post
kctd5,0.0667705217012652,0.0156232302898863,1.85795848444975,0.0631810068891168,0.984808809417994,hla_interaction_post
vegfc,-0.0969062959492262,-0.0233840819130222,-1.8445902852429,0.06510329688774,0.984808809417994,hla_interaction_post
fam3b,0.0743555173903484,-0.0315378069501602,1.83942402814465,0.0658589929066024,0.984808809417994,hla_interaction_post
dapk2,-0.0845242922723521,0.0390107784361747,-1.83775294541481,0.0661049731387598,0.984808809417994,hla_interaction_post
scgb2a2,-0.055449931154627,0.0158352590831928,-1.83679722617544,0.0662459931722853,0.984808809417994,hla_interaction_post
igdcc4,0.0488269865273228,0.00195286050476104,1.83556738499494,0.0664278255378271,0.984808809417994,hla_interaction_post
ifit3,-0.0577806217680445,0.0185097999834261,-1.83140437479531,0.067046381321427,0.984808809417994,hla_interaction_post
nlgn2,-0.0839166009281069,0.0778867951874368,-1.83138709393726,0.0670489588248764,0.984808809417994,hla_interaction_post
prr5,-0.0827344007111522,0.0344012667695632,-1.82876479882201,0.0674410301625991,0.984808809417994,hla_interaction_post
fkbp5,-0.0767769335234036,-0.088553454281294,-1.82624260991154,0.0678199121670346,0.984808809417994,hla_interaction_post
lilrb5,0.147616201942856,-0.143708827131633,1.82271876444094,0.0683521928035138,0.984808809417994,hla_interaction_post
htr1b,-0.0750923759904548,0.0573262915132869,-1.82091528015109,0.0686259368817988,0.984808809417994,hla_interaction_post
efcab2,-0.0472397585701386,0.0161953079646113,-1.81326739915357,0.0697968097608911,0.984808809417994,hla_interaction_post
lifr,0.0486818926947887,0.00411149058504433,1.81294199583724,0.0698469897585385,0.984808809417994,hla_interaction_post
clec12a,-0.0345219820328594,0.00281783020822659,-1.80892677682251,0.0704686118031326,0.984808809417994,hla_interaction_post
ofd1,-0.116716564553637,0.150568908852248,-1.80842654916578,0.0705463722367618,0.984808809417994,hla_interaction_post
ctso,-0.0594879389978569,0.00508426175177243,-1.80806132491407,0.0706031908233739,0.984808809417994,hla_interaction_post
mrpl28,-0.0663570865459712,0.0407622348346269,-1.80753116977882,0.0706857347856648,0.984808809417994,hla_interaction_post
golm2,0.0427600334926179,0.000660043185832568,1.80595549119698,0.0709315317097057,0.984808809417994,hla_interaction_post
hk2,-0.0554988465619319,-0.00553713571304984,-1.80566985479745,0.0709761643203058,0.984808809417994,hla_interaction_post
chrdl1,-0.0585729035384092,-0.00500834399208188,-1.80004270546523,0.0718601495818659,0.984808809417994,hla_interaction_post
fgr,-0.10616449600691,0.0563949023862145,-1.799612745979,0.0719280624393093,0.984808809417994,hla_interaction_post
gsn,0.033673479962672,0.00103536266078971,1.79769244691583,0.0722320191133572,0.984808809417994,hla_interaction_post
mrpl24,0.0668419717012706,0.0147649039911024,1.79235183551306,0.0730828979238654,0.984808809417994,hla_interaction_post
dnm3,0.0744229264555411,0.0536333530931569,1.79046825326876,0.073384944019356,0.984808809417994,hla_interaction_post
ostn,-0.0724780873729717,0.0466084911647691,-1.7870754689604,0.0739315773454508,0.984808809417994,hla_interaction_post
zfyve19,-0.0788834974577571,-0.0280889286407667,-1.78616379997342,0.0740790282679455,0.984808809417994,hla_interaction_post
gart,-0.0463613142573696,0.0129840611804555,-1.78094636357297,0.074927513358716,0.984808809417994,hla_interaction_post
stam,-0.0589687518423889,0.0305621152534034,-1.77991211870975,0.075096646377315,0.984808809417994,hla_interaction_post
itgal,0.0737784728480133,-0.0169772179012546,1.77882007541546,0.0752755695793218,0.984808809417994,hla_interaction_post
pde1c,-0.0944942827407429,0.084422389371983,-1.77765036107651,0.0754676045028514,0.984808809417994,hla_interaction_post
spink2,0.0656746182922835,0.0177353525166525,1.77551244112824,0.0758196254624478,0.984808809417994,hla_interaction_post
prune2,-0.0491982394553291,0.0168080829189322,-1.7748060233089,0.0759362353480871,0.984808809417994,hla_interaction_post
spring1,0.101757951791128,0.0930743401912111,1.77250838672808,0.0763165233997034,0.984808809417994,hla_interaction_post
cd70,0.0846979142341942,-0.014744155814598,1.76408608652133,0.0777238240619849,0.984808809417994,hla_interaction_post
per3,-0.174502988450377,0.0857801863719741,-1.76400030416577,0.0777382656276823,0.984808809417994,hla_interaction_post
ifng,-0.225569865959508,-0.0252080929768387,-1.76304490357195,0.0778992562615184,0.984808809417994,hla_interaction_post
shh,-0.073730539865024,0.0021549573555317,-1.75935418922117,0.0785237153239452,0.984808809417994,hla_interaction_post
epha4,0.0468541893008479,-0.00112896964900766,1.75443949378664,0.0793615868454314,0.984808809417994,hla_interaction_post
thtpa,0.0850075202563019,-0.033698877507273,1.75095836887776,0.0799594462346576,0.984808809417994,hla_interaction_post
chrm1,-0.0627277747263332,0.0109112586654557,-1.75079242967175,0.0799880363080249,0.984808809417994,hla_interaction_post
comt,-0.0860253367038153,-0.0515856328790488,-1.74811360661297,0.0804507279386647,0.984808809417994,hla_interaction_post
pnliprp1,0.134610918702396,-0.00143935470148134,1.74675480659298,0.0806862523129076,0.984808809417994,hla_interaction_post
asrgl1,-0.106068647921946,-0.025899338727022,-1.74585691363784,0.0808421934978003,0.984808809417994,hla_interaction_post
tbcb,-0.0667340888461326,-0.135494139404078,-1.74058047718469,0.0817635275987933,0.984808809417994,hla_interaction_post
gstp1,-0.127578461110702,0.0567167818469789,-1.73978452473511,0.081903247756564,0.984808809417994,hla_interaction_post
ckmt1a_ckmt1b,0.133336990260946,0.000893789268883655,1.73768382444181,0.0822729314135444,0.984808809417994,hla_interaction_post
mad1l1,-0.0684175758989964,0.0284763874460279,-1.73386404982679,0.082948606039091,0.984808809417994,hla_interaction_post
atg16l1,0.0619074837955014,-0.0287122246383741,1.73306490506472,0.0830905328832135,0.984808809417994,hla_interaction_post
ncf2,-0.149308413106685,0.0883000850248527,-1.72929787020127,0.0837622041998598,0.984808809417994,hla_interaction_post
prkg1,0.0996918257803839,-0.083564906119301,1.72893275495166,0.0838275381623847,0.984808809417994,hla_interaction_post
micall2,-0.0953510537777216,0.0924557886700899,-1.7253016001693,0.0844795475036504,0.984808809417994,hla_interaction_post
vsig10l,-0.0552587697845717,0.0171614578027693,-1.72220767244144,0.0850383247292369,0.984808809417994,hla_interaction_post
megf9,0.0387853003699591,0.00500358383038874,1.71943069681809,0.0855424008224814,0.984808809417994,hla_interaction_post
mnda,-0.173147329557655,0.106591947566225,-1.71759156005873,0.0858775680794597,0.984808809417994,hla_interaction_post
epn1,-0.0713047230232028,0.0557231632932237,-1.71689722170471,0.0860043810405177,0.984808809417994,hla_interaction_post
ufd1,0.0916783010432572,-0.100557758667426,1.71221452682356,0.0868635775791189,0.984808809417994,hla_interaction_post
