protein,logFC,AveExpr,t,P.Value,fdr,comparison
b4gat1,0.0551293036637537,0.00209759721514687,2.22475641646355,0.0261021969835461,0.966161397369632,hla_interaction_all
chrdl1,-0.0626858322506946,-0.00496608079135611,-2.21842565239404,0.0265304558687848,0.966161397369632,hla_interaction_all
vat1,-0.0430185404416028,0.00409518674942937,-2.2139897700264,0.0268341357787554,0.966161397369632,hla_interaction_all
mybpc2,0.15826788567801,0.220799286264009,2.21275580383221,0.0269191447243311,0.966161397369632,hla_interaction_all
myoc,0.0985946782719499,-0.0141103455595176,2.18046963123934,0.0292274773554777,0.966161397369632,hla_interaction_all
ntprobnp,-0.221563699144951,0.0724923442224986,-2.17775068569512,0.0294294255206233,0.966161397369632,hla_interaction_all
igfl4,-0.13581961510363,0.177109733884844,-2.17053235970405,0.0299713956820486,0.966161397369632,hla_interaction_all
gba,-0.098611976239385,-0.0158319387197698,-2.16662013517991,0.030268704554805,0.966161397369632,hla_interaction_all
doc2b,-0.0646373546687599,0.0227581380046667,-2.14925550755279,0.0316191045803317,0.966161397369632,hla_interaction_all
plaur,-0.0510951274800942,0.00836311016785663,-2.13774188311307,0.0325427036280836,0.966161397369632,hla_interaction_all
galnt5,-0.0509696998964684,-0.00264077315475189,-2.13676328672976,0.0326222594791471,0.966161397369632,hla_interaction_all
ctrl,0.12699286410252,-0.00315671685143096,2.12792708664857,0.0333481790038126,0.966161397369632,hla_interaction_all
was,0.123413351142463,0.0285253678621724,2.1261291956452,0.0334975612294818,0.966161397369632,hla_interaction_all
nxpe4,0.0607758275314328,0.030319900572083,2.1060756233835,0.0352029306784411,0.966161397369632,hla_interaction_all
cd302,-0.0571347919713533,0.011444209807811,-2.10202161052919,0.0355565474069715,0.966161397369632,hla_interaction_all
cxcl17,-0.10198013623064,0.0345110846922668,-2.10139542868793,0.0356114362581272,0.966161397369632,hla_interaction_all
hs3st3b1,0.0768520150931786,-0.00652336660907432,2.09590232633987,0.0360960477261687,0.966161397369632,hla_interaction_all
adgrf5,-0.0453312588597784,-0.0155191789763817,-2.07389421526697,0.0380944229804649,0.966161397369632,hla_interaction_all
slc39a5,-0.107113473367811,-0.023011919422192,-2.06940919469537,0.0385130101286785,0.966161397369632,hla_interaction_all
kir2dl3,-0.152227946318253,0.0343746341993692,-2.06024654500244,0.0393803218530507,0.966161397369632,hla_interaction_all
vsig10l,-0.0573680450059895,0.0172185665392571,-2.06002520891307,0.0394014764064931,0.966161397369632,hla_interaction_all
nid1,-0.0681063268144559,-0.00034137857629428,-2.05727667860307,0.0396649764008026,0.966161397369632,hla_interaction_all
celsr2,0.0480340627315956,-0.00053769244096842,2.05656639810704,0.039733313257137,0.966161397369632,hla_interaction_all
art5,-0.109219548986192,0.123708811787284,-2.05445734851383,0.0399368162876067,0.966161397369632,hla_interaction_all
ido1,0.10475694600072,0.0374979407164723,2.05210555422734,0.0401647840104552,0.966161397369632,hla_interaction_all
bgn,0.220491375165716,0.174274278621045,2.05183844871611,0.0401907451520376,0.966161397369632,hla_interaction_all
slc44a4,0.119557024445962,0.139494906142936,2.05060239765869,0.0403110677058486,0.966161397369632,hla_interaction_all
cngb3,-0.0937181332858188,0.0716939915662189,-2.05036306460272,0.0403344006870249,0.966161397369632,hla_interaction_all
prr5,-0.0804997969080027,0.0344960655819344,-2.04920458522591,0.0404475047389673,0.966161397369632,hla_interaction_all
lrch4,0.0810734542542094,0.0197316520522656,2.04535325369242,0.0408254508862199,0.966161397369632,hla_interaction_all
cd177,0.258266010620631,-0.206410215168076,2.0447023129605,0.0408896250081251,0.966161397369632,hla_interaction_all
acy1,0.11018416605698,0.0607427882362963,2.04110891739358,0.0412454266283218,0.966161397369632,hla_interaction_all
ddx39a,-0.0376362011577593,0.00403045872474047,-2.03665563100316,0.0416900064640422,0.966161397369632,hla_interaction_all
klk13,-0.088217381650785,0.0123555153687418,-2.03085894038842,0.0422747724229705,0.966161397369632,hla_interaction_all
spred2,-0.0669909759598549,0.03527360775421,-2.02889109867826,0.0424748580765387,0.966161397369632,hla_interaction_all
pnlip,0.109245582071554,0.0159196125380951,2.02359486681865,0.0430173495743536,0.966161397369632,hla_interaction_all
igdcc4,0.0467373067753552,0.00190083162093534,2.02343491597959,0.0430338239819568,0.966161397369632,hla_interaction_all
il7,0.0867830169506992,-0.00800033343275918,2.01843187824502,0.0435518188853976,0.966161397369632,hla_interaction_all
arhgef10,0.103093562438228,0.000452362976406165,2.01711051302343,0.0436895037919159,0.966161397369632,hla_interaction_all
il22,-0.117059686168081,0.0824303924661892,-2.0129590831492,0.0441244726571568,0.966161397369632,hla_interaction_all
got1,0.0648247405986878,0.0185736951529058,2.00927082865009,0.044513973063022,0.966161397369632,hla_interaction_all
ptprm,0.0467051458075797,0.00251586320956047,2.00128493142626,0.0453672774239194,0.966161397369632,hla_interaction_all
s100p,-0.0989219125819399,0.0586025789736134,-2.00078132303287,0.0454215477296231,0.966161397369632,hla_interaction_all
tprkb,-0.108425359483431,0.0782394557652946,-1.99836963095799,0.0456821976995436,0.966161397369632,hla_interaction_all
sost,-0.0745872781505168,-0.00988209456577403,-1.99817016984702,0.045703811297638,0.966161397369632,hla_interaction_all
txnl1,0.163915233439055,0.282501663833164,1.98449962071025,0.0472058200633616,0.966161397369632,hla_interaction_all
gchfr,-0.07048865167557,0.0429791454162489,-1.98288795272209,0.0473856025336553,0.966161397369632,hla_interaction_all
dnm3,0.071476161679351,0.0534420955837803,1.98174712003571,0.0475132108025013,0.966161397369632,hla_interaction_all
tnfsf10,-0.0506598400726132,-0.00607008416622829,-1.97934724663945,0.0477825929242029,0.966161397369632,hla_interaction_all
dusp13,0.0696235057182958,0.0313589233271033,1.97862768528711,0.047863612311952,0.966161397369632,hla_interaction_all
siglec7,0.0514889188191115,-0.00657320797308219,1.97826302073311,0.0479047159717868,0.966161397369632,hla_interaction_all
enpep,0.0728559870934206,0.0587004896450102,1.97281357394932,0.048522500102363,0.966161397369632,hla_interaction_all
ddc,0.0949664901380453,0.00543969352499564,1.96961760325533,0.0488879186179172,0.966161397369632,hla_interaction_all
adm,-0.0526088306700374,-0.0143644660643968,-1.96858871117528,0.0490060497748178,0.966161397369632,hla_interaction_all
txndc5,0.0629271398442437,0.0190697772584686,1.96008013144662,0.0499921664393666,0.966161397369632,hla_interaction_all
il22ra1,0.0820932069159425,0.0280997117780914,1.95839577640537,0.0501893374966448,0.966161397369632,hla_interaction_all
sema6c,-0.0433570111616414,0.0260611267535465,-1.95534861602771,0.0505476952654776,0.966161397369632,hla_interaction_all
cnpy4,-0.0613359376528462,-0.0403060834879818,-1.9551162100262,0.0505751148769344,0.966161397369632,hla_interaction_all
tpk1,0.0396634609743346,-0.00641021927809957,1.95392675911856,0.0507156432720858,0.966161397369632,hla_interaction_all
vmo1,-0.125978971368001,-0.0682850184509695,-1.95133327325532,0.0510231866635791,0.966161397369632,hla_interaction_all
vash1,-0.0782325537286488,0.022734888997784,-1.95039853682206,0.0511344127404843,0.966161397369632,hla_interaction_all
lcn2,-0.0652131963149441,0.0091904753536593,-1.94371789629505,0.0519352799129595,0.966161397369632,hla_interaction_all
klrd1,0.0880701771804242,0.00448672908995264,1.94345279054352,0.0519672757259549,0.966161397369632,hla_interaction_all
inpp1,-0.0642215561169702,0.00405030822721368,-1.94061310339833,0.0523110351851561,0.966161397369632,hla_interaction_all
odam,0.103419324467254,0.0368753030401962,1.93903172775746,0.0525032921815383,0.966161397369632,hla_interaction_all
tcn2,0.0565580870027851,0.00465961145409721,1.93879659991363,0.0525319284209713,0.966161397369632,hla_interaction_all
znf830,-0.132882344546041,0.255058917259286,-1.93735833390135,0.0527073793201794,0.966161397369632,hla_interaction_all
vasp,0.0494378617061905,-0.00185111256227918,1.9363748947597,0.052827628634572,0.966161397369632,hla_interaction_all
txndc9,0.051940347717056,0.0550853729970473,1.93523525812107,0.052967263598666,0.966161397369632,hla_interaction_all
pag1,-0.0898108705138529,0.00823918327081911,-1.93497995393927,0.0529985872133291,0.966161397369632,hla_interaction_all
dpp10,0.0676479364477832,0.0205459902846427,1.93496016493527,0.0530010157991877,0.966161397369632,hla_interaction_all
tnfrsf17,0.0653330354462784,0.00530422380080223,1.92618088786856,0.0540876535912303,0.966161397369632,hla_interaction_all
alms1,-0.0735092029582954,0.0352620714268138,-1.92600288664152,0.0541098762353091,0.966161397369632,hla_interaction_all
entpd2,0.0798960430614291,-0.0157936210457655,1.92328793191688,0.0544497715115712,0.966161397369632,hla_interaction_all
tnfsf14,-0.0833354034568165,-0.00446766700902988,-1.92302932508824,0.054482240171451,0.966161397369632,hla_interaction_all
tgfbi,0.0481532945713959,0.00331303034199015,1.91923595552793,0.0549603650939199,0.966161397369632,hla_interaction_all
prkag3,-0.0509971862776247,0.017247694542382,-1.91872368340618,0.0550252003653989,0.966161397369632,hla_interaction_all
cetn2,-0.0756344960601038,0.0365198335795613,-1.91358641673074,0.0556789271687353,0.966161397369632,hla_interaction_all
shh,-0.0695023297233573,0.002081424264321,-1.9109627253966,0.0560152851747388,0.966161397369632,hla_interaction_all
ren,-0.138169981820571,0.0861008986754109,-1.90842754114928,0.0563419024629199,0.966161397369632,hla_interaction_all
bsnd,-0.0545083956831077,0.0219482075802283,-1.90728549727982,0.0564895534165499,0.966161397369632,hla_interaction_all
rnase1,-0.0386153274004072,0.0181152868475775,-1.90552556763484,0.0567177192359943,0.966161397369632,hla_interaction_all
tnfrsf10a,-0.055658456484682,0.00925104206787356,-1.90423592525622,0.0568854012052202,0.966161397369632,hla_interaction_all
crybb1,0.0493219809808941,0.00463068442811242,1.90332696617788,0.0570038335910153,0.966161397369632,hla_interaction_all
extl1,0.0765076791725433,0.0605958929775957,1.90142967874207,0.0572517007694202,0.966161397369632,hla_interaction_all
fyb1,-0.0767034149050761,-0.0563295043799961,-1.90059696781461,0.0573607712695641,0.966161397369632,hla_interaction_all
ccl15,0.0803500118928663,0.0814978879609581,1.90057103667915,0.057364170565147,0.966161397369632,hla_interaction_all
rasa1,-0.0609748224667135,-0.00772857282523673,-1.89758269637314,0.0577570337372379,0.966161397369632,hla_interaction_all
stc1,0.0752256659268374,0.0411355060106532,1.89741578504635,0.0577790425799056,0.966161397369632,hla_interaction_all
tlr2,-0.0370247483980012,-0.00245395407221421,-1.89320198478313,0.0583369858573279,0.966161397369632,hla_interaction_all
