logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,direction,label_protein
0.249478756931484,0.0558354545454546,3.0148029757141,0.00311723089212528,0.316083076922012,-1.79808238585299,hjv,0.316083076922012,NS,
0.202700935512795,0.00517647058823529,3.01366419261407,0.00312814475967952,0.316083076922012,-1.80081643540466,tgfbr2,0.316083076922012,NS,
0.196538891608276,0.0304319327731092,3.00754207176823,0.00318742455941199,0.316083076922012,-1.81549980713752,ltbr,0.316083076922012,NS,
0.15370470654678,0.00586333333333334,2.99439213722556,0.00331827274519567,0.316083076922012,-1.84695354040535,megf9,0.316083076922012,NS,
0.177145432311397,-0.0269168067226891,2.97885474462551,0.0034792510529082,0.316083076922012,-1.88396770533357,tnfrsf21,0.316083076922012,NS,
0.521081966839598,-0.0127170833333334,2.96956769158804,0.00357887496529325,0.316083076922012,-1.90601405965652,ces1,0.316083076922012,NS,
0.190791610432044,0.011031512605042,2.96629975040613,0.00361455084152924,0.316083076922012,-1.91375788478972,asgr1,0.316083076922012,NS,
0.290137706918681,-0.149786818181818,2.95950585477022,0.00368976922261843,0.316083076922012,-1.92983378711998,cilp,0.316083076922012,NS,
0.445121341341118,-0.131745794392523,2.95185108596577,0.00377624268438698,0.316083076922012,-1.94790922735294,gpihbp1,0.316083076922012,NS,
0.235850075845465,-0.0960745901639345,2.94693530709666,0.00383275345106199,0.316083076922012,-1.95949604183467,hspb6,0.316083076922012,NS,
0.229157789796427,-0.0413196721311476,2.94565134065357,0.00384764120226801,0.316083076922012,-1.96251973255854,cdhr5,0.316083076922012,NS,
0.311807147405125,-0.130183050847458,2.94041047292733,0.00390896282005923,0.316083076922012,-1.97485015327804,ldlr,0.316083076922012,NS,
0.755875465869208,-0.23754262295082,2.92245271845901,0.00412595658047122,0.319041773147273,-2.01695843149651,fgf21,0.319041773147273,NS,
0.12684052593215,-0.0270966666666667,2.91933403644495,0.00416475004451953,0.319041773147273,-2.0242488863673,il1r2,0.319041773147273,NS,
0.188204080967835,-0.0506745833333333,2.90184949692952,0.00438851217286041,0.319427678204262,-2.06499901785148,cdon,0.319427678204262,NS,
0.251618422011624,-0.0215631147540984,2.90179319977724,0.00438925012991085,0.319427678204262,-2.06512988862978,angptl7,0.319427678204262,NS,
0.138088836909035,-0.0443149532710281,2.89073978110914,0.00453636617842961,0.322081998668503,-2.09078310578837,yap1,0.322081998668503,NS,
0.273443975945446,0.0040834745762712,2.87843332988616,0.00470546851176277,0.326133781850986,-2.11924588380058,adamts15,0.326133781850986,NS,
0.186299976098735,-0.0313702702702703,2.86350368491673,0.00491836125024742,0.326484008847012,-2.1536360246521,gla,0.326484008847012,NS,
0.189772755400939,-0.00965166666666666,2.86237342571536,0.00493483215021249,0.326484008847012,-2.15623331090986,colec12,0.326484008847012,NS,
0.280865880098082,0.051177868852459,2.83904407138313,0.0052862789525566,0.328099908041765,-2.20964646872894,xcl1,0.328099908041765,NS,
0.153530351004497,0.0665214285714285,2.82876067778396,0.00544834046100867,0.328099908041765,-2.23307120770895,efna1,0.328099908041765,NS,
0.190211890751758,-0.00197815126050421,2.82676441488868,0.00548032191581891,0.328099908041765,-2.23761005267653,dcbld2,0.328099908041765,NS,
-0.526309468902595,0.361596261682243,-2.82640133992763,0.00548615701580719,0.328099908041765,-2.23843526912603,iglon5,0.328099908041765,NS,
0.29282012782371,-0.034863025210084,2.82412882484228,0.0055228084830115,0.328099908041765,-2.24359829065061,prss8,0.328099908041765,NS,
-0.218685351192067,-0.0888923076923077,-2.80911874462795,0.00577056385188672,0.329382469628064,-2.27761040739482,tfap2a,0.329382469628064,NS,
0.145455229968167,0.0286117647058824,2.80911069488075,0.00577069939918628,0.329382469628064,-2.27762860579592,cd99l2,0.329382469628064,NS,
-0.280804954635626,-0.0437655737704918,-2.7911984249401,0.00607961718487295,0.340341646637791,-2.31801208279658,clul1,0.340341646637791,NS,
0.170046499407218,-0.00307377049180328,2.77661556854803,0.00634216683875529,0.340363176830605,-2.35072440334608,adm,0.340363176830605,NS,
0.295165349371038,-0.152250409836066,2.77406751525166,0.00638908795593235,0.340363176830605,-2.35642498518719,slc39a5,0.340363176830605,NS,
0.327192662752543,-0.0391918032786885,2.77181816311337,0.00643077111840718,0.340363176830605,-2.36145353708474,agrp,0.340363176830605,NS,
-0.194209909199104,0.0787271028037383,-2.76337346213136,0.0065894806153936,0.342535322703764,-2.38030059210213,cptp,0.342535322703764,NS,
0.127193183779585,-0.0696495798319327,2.75460718889649,0.00675799723955033,0.344357211090204,-2.39981258598626,fgfr2,0.344357211090204,NS,
0.213145394303082,0.0480077868852459,2.74410745291054,0.00696499104050938,0.344357211090204,-2.42311209725012,ccn4,0.344357211090204,NS,
0.160385550703851,0.0105126126126126,2.74187187022234,0.00700980118656713,0.344357211090204,-2.42806300274488,ctbs,0.344357211090204,NS,
0.513672579642227,0.111977049180328,2.72454010908215,0.00736618772920736,0.344357211090204,-2.46632674157819,lep,0.344357211090204,NS,
0.071171156725151,-0.00732268907563026,2.72260576033488,0.00740696690858557,0.344357211090204,-2.47058415186442,ngf,0.344357211090204,NS,
-0.11139305372771,-0.00122542372881356,-2.72071346573484,0.00744705771388668,0.344357211090204,-2.47474645542726,entpd5,0.344357211090204,NS,
