logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,sex_group,analysis
-0.0535960524634654,0.0739468937875754,-1.10826806851144,0.268205227981437,0.951197670715463,-5.13313765555439,ensa,0.951197670715463,Male,prs_ms_interaction
-0.056988927383993,-0.116400203252033,-1.10682649455442,0.268827594780528,0.951197670715463,-5.13454993604449,hpse,0.951197670715463,Male,prs_ms_interaction
-0.0906224489284281,0.212998132780083,-1.10606103707388,0.269158467435955,0.951197670715463,-5.13529909540316,txnl1,0.951197670715463,Male,prs_ms_interaction
-0.0457071410519002,0.071665405904059,-1.10461374276623,0.269784832943636,0.951197670715463,-5.13671416416604,rnf41,0.951197670715463,Male,prs_ms_interaction
-0.0419385176843683,0.0187093555093555,-1.10412235117814,0.26999772704815,0.951197670715463,-5.13719419503243,cpa4,0.951197670715463,Male,prs_ms_interaction
-0.0259825133606446,0.0621272357723578,-1.10093791292078,0.271380176398715,0.951197670715463,-5.14029985776115,serpinf1,0.951197670715463,Male,prs_ms_interaction
0.121611211919562,-0.274692895683453,1.1009227913391,0.271386752655294,0.951197670715463,-5.1403145839712,ntprobnp,0.951197670715463,Male,prs_ms_interaction
0.0337242903412471,-0.0345583162217659,1.09858152093834,0.272406273121359,0.951197670715463,-5.14259221034416,fos,0.951197670715463,Male,prs_ms_interaction
-0.0451973342676374,0.0439738738738739,-1.09523619984271,0.273867568366796,0.951197670715463,-5.14583821875479,arnt,0.951197670715463,Male,prs_ms_interaction
-0.0451186997855253,0.0428957219251337,-1.0948254865442,0.274047344677335,0.951197670715463,-5.14623606002688,glt8d2,0.951197670715463,Male,prs_ms_interaction
-0.0461202289576174,0.0232196942446043,-1.09354504394641,0.274608335366337,0.951197670715463,-5.1474754193422,prss27,0.951197670715463,Male,prs_ms_interaction
-0.0220319689114915,0.00897235528942115,-1.09289001690499,0.274895621240323,0.951197670715463,-5.1481088715285,rnase1,0.951197670715463,Male,prs_ms_interaction
0.0496156777207414,0.0388434937611408,1.09100750082625,0.275722411940617,0.951197670715463,-5.14992727932435,fkbp7,0.951197670715463,Male,prs_ms_interaction
0.15657513504074,-0.429410827464789,1.08889363508247,0.276652835529921,0.951197670715463,-5.15196543881442,igfbp1,0.951197670715463,Male,prs_ms_interaction
-0.0296865077174991,0.0370051663747811,-1.08850461625459,0.276824296694755,0.951197670715463,-5.15234009657212,rwdd1,0.951197670715463,Male,prs_ms_interaction
-0.0404642443967021,-0.0747001763668432,-1.08716210258991,0.277416571044926,0.951197670715463,-5.15363202629837,hs6st1,0.951197670715463,Male,prs_ms_interaction
0.029068826629761,0.0255481404958678,1.08626180992623,0.277814235958722,0.951197670715463,-5.15449750820134,impg1,0.951197670715463,Male,prs_ms_interaction
-0.0488454361807725,0.0798297520661158,-1.08501290858085,0.278366527575511,0.951197670715463,-5.15569693760855,dmd,0.951197670715463,Male,prs_ms_interaction
-0.031272210202557,0.0346473821989529,-1.08491846309311,0.278408323892696,0.951197670715463,-5.15578758602264,nfasc,0.951197670715463,Male,prs_ms_interaction
-0.0215177992830269,0.019537875751503,-1.08446643003912,0.278608427855597,0.951197670715463,-5.1562213368301,shisa5,0.951197670715463,Male,prs_ms_interaction
0.0519261168148967,-0.032726012145749,1.08366719929545,0.278962467768704,0.951197670715463,-5.15698780274969,col4a4,0.951197670715463,Male,prs_ms_interaction
-0.0489784029391542,0.108999286987522,-1.0822373201437,0.279596634847685,0.951197670715463,-5.15835765988083,tbc1d17,0.951197670715463,Male,prs_ms_interaction
