logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr
0.103716611118311,-0.13572,0.643734159232086,0.520344338382746,0.998266391800672,-5.26801049659481,hao1,0.998266391800672
0.032445950012331,-0.0963759493670887,0.643191458414892,0.52069578944695,0.998266391800672,-5.26829548475229,bcl2l11,0.998266391800672
0.0402114482233323,-0.0777741935483871,0.642598327655259,0.521080039418862,0.998266391800672,-5.26860668134212,clec4m,0.998266391800672
0.0277187098516078,0.0337531818181819,0.64001600677254,0.522754663541446,0.998266391800672,-5.26995820901608,smad2,0.998266391800672
0.0868763471950087,0.319964545454546,0.639248231324316,0.523253098446634,0.998266391800672,-5.27035899967359,nenf,0.998266391800672
-0.0271444382865958,-0.00779059829059829,-0.639239127996409,0.523259009740495,0.998266391800672,-5.27036374887698,sort1,0.998266391800672
-0.0228784194514277,-0.0680338174273859,-0.638919797794391,0.5234663903041,0.998266391800672,-5.27053030071599,nfasc,0.998266391800672
0.0170035691686421,-0.0200752293577982,0.638900284821188,0.523479063864318,0.998266391800672,-5.2705404753357,lyve1,0.998266391800672
0.0689107885068888,-0.0609502118644068,0.638297715281396,0.523870507148256,0.998266391800672,-5.27085451988456,rbp2,0.998266391800672
-0.0595220791160836,0.171602843601896,-0.637908695233644,0.524123303869178,0.998266391800672,-5.27105711085097,htr1a,0.998266391800672
-0.0267547066445886,-0.0180696202531646,-0.637499975854278,0.524388969547013,0.998266391800672,-5.27126982815736,siglec10,0.998266391800672
-0.0242556759402741,0.0421404166666667,-0.637396369210722,0.524456324405278,0.998266391800672,-5.27132372848303,st6gal1,0.998266391800672
-0.0373180008485914,-0.110040889830508,-0.637299905940835,0.524519039352255,0.998266391800672,-5.27137390469482,fyb1,0.998266391800672
-0.0237987884972761,-0.0341117370892018,-0.637293010316771,0.524523522643939,0.998266391800672,-5.27137749122415,celsr2,0.998266391800672
0.0375290890433213,-0.0738078838174273,0.635855202013139,0.525458766100515,0.998266391800672,-5.27212447500929,dcxr,0.998266391800672
0.0391271359872371,0.0149269709543568,0.634587509714023,0.526284066453817,0.998266391800672,-5.27278168436592,nell1,0.998266391800672
-0.0164526497903021,-0.0460184322033899,-0.633384571999496,0.527067825563031,0.998266391800672,-5.27340411490335,smad5,0.998266391800672
-0.0305147236074004,-0.00877394366197187,-0.633016494541342,0.527307761534586,0.998266391800672,-5.27359433246841,dtd1,0.998266391800672
-0.0481593968403278,-0.0953997899159664,-0.631852471297083,0.528066913680325,0.998266391800672,-5.274195159321,pdlim7,0.998266391800672
-0.0416280976329646,-0.0731654929577465,-0.631841693415356,0.528073945411387,0.998266391800672,-5.27420071732792,ankra2,0.998266391800672
-0.0380999243565647,-0.0150341772151899,-0.631315396510075,0.528417371674212,0.998266391800672,-5.27447200657145,ssc5d,0.998266391800672
-0.037271692841109,-0.0442983333333334,-0.63107052172141,0.528577199632371,0.998266391800672,-5.27459815493536,itgb7,0.998266391800672
0.014538070339569,0.013272641509434,0.63104155161526,0.528596109843818,0.998266391800672,-5.27461307579255,plg,0.998266391800672
0.0207915850310064,0.0345380952380952,0.629617025188419,0.529526395515039,0.998266391800672,-5.27534592675751,hip1,0.998266391800672
-0.0478898916724542,0.0709075829383887,-0.629037703026175,0.529904960731632,0.998266391800672,-5.27564348847046,adgrv1,0.998266391800672
0.0422417568826586,0.0919733624454149,0.628832821667961,0.530038876095867,0.998266391800672,-5.27574865794562,rcor1,0.998266391800672
0.0181082446977198,-0.026742654028436,0.628405790738045,0.530318049333485,0.998266391800672,-5.27596775129278,ahnak2,0.998266391800672
0.0243173541441749,-0.0139192640692641,0.627614057207131,0.530835847102596,0.998266391800672,-5.27637356739927,vasn,0.998266391800672
0.0510682160681511,0.0538219339622641,0.627477497860722,0.530925183704155,0.998266391800672,-5.27644351161228,il36g,0.998266391800672
-0.0283463571573455,0.0355805907172996,-0.626923141339536,0.531287920415337,0.998266391800672,-5.27672729128245,hla_e,0.998266391800672
-0.0355761884474648,0.0644946511627907,-0.626432070264545,0.531609352612107,0.998266391800672,-5.27697846589456,camlg,0.998266391800672
-0.0226641970206742,0.0183603603603603,-0.625437773405616,0.532260476439332,0.998266391800672,-5.27748643160165,c1qtnf6,0.998266391800672
-0.0193791897067083,0.00482142857142857,-0.625400206651129,0.532285085313506,0.998266391800672,-5.27750560791985,bhmt2,0.998266391800672
-0.0299742923473721,-0.0261535545023696,-0.624910741187598,0.532605772683675,0.998266391800672,-5.27775535548564,pydc1,0.998266391800672
-0.0292706265869602,-0.118476694915254,-0.624701379117578,0.532742972295164,0.998266391800672,-5.27786212206213,wars,0.998266391800672
0.0432852396475156,0.0156888888888889,0.623826812309832,0.533316289824683,0.998266391800672,-5.27830773196675,trim25,0.998266391800672
-0.0327318099886455,0.0706432432432432,-0.622457798692472,0.534214368937224,0.998266391800672,-5.27900402395946,cgb3_cgb5_cgb8,0.998266391800672
