protein,logFC,AveExpr,t,P.Value,fdr,comparison
gtf2ird1,0.316005738775304,0.187814392464492,2.60560700967323,0.00917399691057573,0.882287291362469,hla_interaction_pre
ltb,-0.154354623452588,0.0176947741581759,-2.60149276979291,0.00928475515304451,0.882287291362469,hla_interaction_pre
cbln1,0.419619015054492,0.202075274698848,2.59741497931908,0.00939570801519634,0.882287291362469,hla_interaction_pre
masp1,0.11535440059859,-0.00949697678919421,2.58109482616577,0.00985169614296846,0.896196483505662,hla_interaction_pre
vat1,-0.0993909811715009,0.00445489498413068,-2.56159913818126,0.0104221813749594,0.919362726742633,hla_interaction_pre
crim1,-0.0976611650230528,0.00327008599258095,-2.54947272281434,0.0107916815280475,0.923958380239594,hla_interaction_pre
npl,-0.175822065801257,0.00616919747119915,-2.52503847551259,0.0115717609251511,0.933328555280404,hla_interaction_pre
areg,-0.216685798570954,0.0608415789225652,-2.48469560925487,0.0129696118635981,0.933328555280404,hla_interaction_pre
fabp4,-0.256129138505564,0.0253619494139025,-2.48355020555742,0.0130113918358173,0.933328555280404,hla_interaction_pre
enpp7,0.401495698642591,-0.0391810623776939,2.47892043180547,0.0131814840028418,0.933328555280404,hla_interaction_pre
fgf16,-0.19534460621616,0.0313482404984992,-2.4719752371372,0.0134403291452349,0.933328555280404,hla_interaction_pre
scg3,-0.165571020315695,-0.00472627455648979,-2.46637547918068,0.0136522908375488,0.933328555280404,hla_interaction_pre
pcdh1,-0.100327448604977,0.0202088642804317,-2.4636387906762,0.0137569498979075,0.933328555280404,hla_interaction_pre
f2r,-0.142869953606686,-0.0140777311258794,-2.4625291947946,0.0137995856081795,0.933328555280404,hla_interaction_pre
cd5l,0.194302877527592,0.0132498035267853,2.44596213068018,0.0144501877507722,0.933328555280404,hla_interaction_pre
ftcd,0.322777303183119,0.123748213115486,2.43426456290017,0.0149257102172891,0.933328555280404,hla_interaction_pre
serpina5,0.132277528075057,0.0251674133974763,2.42838465418454,0.0151699029874754,0.933328555280404,hla_interaction_pre
tap1,-0.241581931265214,0.0755278917318056,-2.42729279329464,0.0152156333169119,0.933328555280404,hla_interaction_pre
npc2,-0.118281322351277,0.0123122956516629,-2.41927021611991,0.0155553810835753,0.933328555280404,hla_interaction_pre
hdgfl2,0.174882097788508,0.0195256200085611,2.41424001093569,0.0157717941585685,0.933328555280404,hla_interaction_pre
mapkapk2,0.173666766049818,-0.021131942678226,2.41066786977141,0.0159270812206126,0.933328555280404,hla_interaction_pre
sel1l,-0.120349337935507,0.0256757576755958,-2.40396745678396,0.0162219889146028,0.933328555280404,hla_interaction_pre
snap25,-0.15106251154819,0.0176983721443333,-2.39254821756583,0.0167356565023353,0.933328555280404,hla_interaction_pre
timp2,0.104048531552403,-0.000814181889766324,2.38809671249901,0.0169397329768033,0.933328555280404,hla_interaction_pre
safb2,0.105814182319889,-0.00027937397493656,2.38478740423144,0.0170928583414585,0.933328555280404,hla_interaction_pre
sumf1,-0.268689229231457,0.130150488015606,-2.37762055828728,0.0174286452369715,0.933328555280404,hla_interaction_pre
gpihbp1,-0.289790089052044,-0.0843100952243661,-2.37329345747241,0.0176341705738311,0.933328555280404,hla_interaction_pre
agxt,0.324176388225956,0.124107373682312,2.32967125493193,0.0198276649153419,0.967778100000697,hla_interaction_pre
ccdc28a,-0.115545761222134,-0.0115165511888424,-2.32778915964286,0.0199274431107957,0.967778100000697,hla_interaction_pre
f11r,-0.140719424290881,0.0146199070513328,-2.31382327842029,0.0206816268580778,0.967778100000697,hla_interaction_pre
vamp5,0.227766649990092,0.078609333584308,2.31201812747449,0.0207809020688311,0.967778100000697,hla_interaction_pre
rnase6,-0.109928992550654,0.0174091802309516,-2.30521926042386,0.0211585473980052,0.967778100000697,hla_interaction_pre
palm,-0.113121437130036,0.0118142740727254,-2.29369422153089,0.0218123754651897,0.967778100000697,hla_interaction_pre
adm,-0.122323000150817,-0.0143274336960646,-2.29177920272135,0.0219227031940982,0.967778100000697,hla_interaction_pre
lipf,-0.236224115875806,0.0277250072762998,-2.28534050430362,0.0222972166716083,0.967778100000697,hla_interaction_pre
cxcl17,-0.221125104149388,0.0341454511303731,-2.28361182856834,0.0223987093671709,0.967778100000697,hla_interaction_pre
lep,-0.400370432326569,-0.0873230139315645,-2.27846293904872,0.0227033904447685,0.967778100000697,hla_interaction_pre
fgf9,0.155488422053965,-0.0204959503505506,2.27564559190222,0.0228716241118675,0.967778100000697,hla_interaction_pre
ido1,0.231141609502403,0.0380788256868131,2.26898977257751,0.0232733738424758,0.967778100000697,hla_interaction_pre
btc,0.255819060907298,0.0483719409394772,2.26006789757388,0.0238215061975435,0.967778100000697,hla_interaction_pre
pmch,-0.310921934532472,0.228637121976467,-2.25533632744253,0.0241167178512971,0.967778100000697,hla_interaction_pre
atox1,-0.187854913121883,-0.0739458722112537,-2.25368692898393,0.0242203699640085,0.967778100000697,hla_interaction_pre
mmp7,-0.205785153842552,-0.0343330325134062,-2.25190139836445,0.0243330120628931,0.967778100000697,hla_interaction_pre
itgb7,-0.201306325390604,0.0261364093783955,-2.24855178207139,0.0245455514823357,0.967778100000697,hla_interaction_pre
npr1,0.153581880709795,0.0657490222970021,2.24226490026395,0.0249488113829762,0.967778100000697,hla_interaction_pre
vsig10,0.135349558691667,0.033778974605904,2.22576209586831,0.0260347543995907,0.967778100000697,hla_interaction_pre
psmd5,-0.205048902889255,0.0689780701252188,-2.2221180252906,0.0262799812123993,0.967778100000697,hla_interaction_pre
fcar,-0.202057281389084,0.00203709954428711,-2.22010391782022,0.0264163747060027,0.967778100000697,hla_interaction_pre
thy1,-0.114630087946321,0.00440863718880028,-2.21930306238662,0.0264707776039849,0.967778100000697,hla_interaction_pre
gstp1,0.281032906277941,0.0567458279110587,2.21113970283473,0.0270308672673873,0.967778100000697,hla_interaction_pre
