logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,contrast,sig
-0.545452742959988,-0.0427680203045685,-2.1000469027692,0.037020349801115,0.999378178229377,-3.74678704649217,fcrl5,C2_vs_C1,FALSE
-0.713025905434586,0.152526857142857,-2.09909750439872,0.0372719324100375,0.999378178229377,-3.77803658266123,vcpkmt,C2_vs_C1,FALSE
-0.370370673386261,0.061202824858757,-2.09364564580529,0.0377447762177913,0.999378178229377,-3.77867794378401,igdcc3,C2_vs_C1,FALSE
-0.380680989960645,0.03101875,-2.09028398713768,0.0378784125033355,0.999378178229377,-3.7573225270547,ccl21,C2_vs_C1,FALSE
1.2569797419326,0.533829396984925,2.08095431273373,0.0387406351745992,0.999378178229377,-3.76587098555567,klk1,C2_vs_C1,FALSE
0.493907379861461,0.0343709497206704,2.07637280060255,0.039316313100608,0.999378178229377,-3.79798565740632,apoa2,C2_vs_C1,FALSE
0.737629459501779,0.111561142857143,2.07424158523614,0.039550332503485,0.999378178229377,-3.80666073014213,pde1c,C2_vs_C1,FALSE
0.457213414959162,-0.0211220338983051,2.0735185567889,0.0396010723411769,0.999378178229377,-3.81954037943337,prg2,C2_vs_C1,FALSE
-0.360875245536176,0.0265345029239766,-2.0646406153919,0.0404978503171545,0.999378178229377,-3.82711231782101,lrig3,C2_vs_C1,FALSE
-0.330010873382591,0.0178265536723164,-2.06146778204119,0.040749486633425,0.999378178229377,-3.83300321227014,itgbl1,C2_vs_C1,FALSE
-0.457421119962078,0.0185908536585366,-2.05972021244382,0.041039710898891,0.999378178229377,-3.87194456668969,c3,C2_vs_C1,FALSE
-0.426443110505421,-0.0342185929648241,-2.05218538366223,0.0414839352752454,0.999378178229377,-3.80148148224479,slitrk2,C2_vs_C1,FALSE
-0.26856968691134,0.0336897959183673,-2.05163010135678,0.0415587956402931,0.999378178229377,-3.80827045646196,ctsl,C2_vs_C1,FALSE
0.409646424960707,0.057673595505618,2.05243808799415,0.0416199198789941,0.999378178229377,-3.82519399646669,lacrt,C2_vs_C1,FALSE
-0.487468850988864,0.0428444444444444,-2.04467522712479,0.0424514437020288,0.999378178229377,-3.8398073486786,rpl14,C2_vs_C1,FALSE
-0.276884840565241,-0.0197090909090909,-2.03951592492982,0.0427503872859299,0.999378178229377,-3.81703874664541,gfra1,C2_vs_C1,FALSE
-0.580855330519448,-0.154874874371859,-2.0346449448654,0.0432365686270244,0.999378178229377,-3.82549711039691,slamf1,C2_vs_C1,FALSE
-0.599111466634024,0.0147785310734463,-2.03416262964618,0.0434573497171268,0.999378178229377,-3.85483023696239,gfral,C2_vs_C1,FALSE
-0.597846275477284,0.0361394886363637,-2.03081974701642,0.0438080398271323,0.999378178229377,-3.84758325225569,bpifb2,C2_vs_C1,FALSE
0.493875629229871,0.0130456632653061,2.02806536762716,0.0439312580055036,0.999378178229377,-3.83416016528375,dsg4,C2_vs_C1,FALSE
-0.460159777650496,-0.0282296511627907,-2.0209719429376,0.0448652007527333,0.999378178229377,-3.87505406304111,ptp4a3,C2_vs_C1,FALSE
-0.629147770905937,0.156117336683417,-2.01704529472399,0.0450580959229968,0.999378178229377,-3.8478725330335,ccl7,C2_vs_C1,FALSE
0.390316457722787,0.10076192893401,2.01562315192558,0.0452221037586743,0.999378178229377,-3.84796655237101,nptx1,C2_vs_C1,FALSE
1.03871015310843,-0.082697461928934,2.01413392620235,0.0453798092480704,0.999378178229377,-3.85253035968941,lair2,C2_vs_C1,FALSE
-0.273326245470071,-0.0224619897959184,-2.00557413740165,0.046301358702339,0.999378178229377,-3.86241297750501,sema3f,C2_vs_C1,FALSE
-0.245975526342644,0.0108016759776536,-2.00500057601816,0.0464986340040249,0.999378178229377,-3.87627932792434,snrpb2,C2_vs_C1,FALSE
0.28570363457182,0.0218402010050251,1.99990622488014,0.0468942115142238,0.999378178229377,-3.86635993470775,actn4,C2_vs_C1,FALSE
-0.860077676492598,-0.0944811855670103,-1.99181021110485,0.0478199615183499,0.999378178229377,-3.88344403120386,ca5a,C2_vs_C1,FALSE
-0.442099610988067,0.0534684343434344,-1.99151490037711,0.0478232373510351,0.999378178229377,-3.87686458037276,fcgr3b,C2_vs_C1,FALSE
0.552244105293319,0.0825577319587629,1.98898387766281,0.048133779902473,0.999378178229377,-3.88667019684159,mtpn,C2_vs_C1,FALSE
-0.526570000518709,0.0428948571428572,-1.98458770437494,0.0487846850372241,0.999378178229377,-3.90726567870099,cyb5a,C2_vs_C1,FALSE
-0.301770168415437,0.0116822857142857,-1.98452417068056,0.0487918271292537,0.999378178229377,-3.90733550093796,ssh3,C2_vs_C1,FALSE
-0.235216349333409,-0.04081608040201,-1.98130358322065,0.0489578097952765,0.999378178229377,-3.88474811903987,erbb2,C2_vs_C1,FALSE
-0.244337561211423,-0.0461040935672515,-1.98250044857563,0.0490570204355387,0.999378178229377,-3.90912533609352,edn1,C2_vs_C1,FALSE
0.373138050266224,-0.101566836734694,1.97714531743587,0.0494519841437135,0.999378178229377,-3.89525382524885,kitlg,C2_vs_C1,FALSE
-0.529734877801828,0.148004069767442,-1.97505907469431,0.0498943981238144,0.999378178229377,-3.9250006060592,sumf1,C2_vs_C1,FALSE
0.321219838408912,-0.031130790960452,1.97035120155712,0.0503887698757448,0.999378178229377,-3.91778047287793,ccnd2,C2_vs_C1,FALSE
-0.53580982723674,0.00587388888888886,-1.96441718056381,0.0510512192602417,0.999378178229377,-3.92163681211818,suox,C2_vs_C1,FALSE
0.240612235123802,0.00315075376884423,1.96244628480196,0.0511285886462889,0.999378178229377,-3.90967626548477,eif5a,C2_vs_C1,FALSE
-0.301904002463696,-0.0116768041237113,-1.96270647285111,0.0511358199830285,0.999378178229377,-3.91645818041594,pon2,C2_vs_C1,FALSE
-0.286595132658363,-0.0518763005780346,-1.96223040070359,0.0513714552007221,0.999378178229377,-3.9281900917826,ghr,C2_vs_C1,FALSE
0.343692676885406,-0.118480612244898,1.95582406639461,0.0519317721866346,0.999378178229377,-3.91797260500232,fam3b,C2_vs_C1,FALSE
0.510148107783693,0.0520632124352332,1.95355044943599,0.0522260393886464,0.999378178229377,-3.9272978678087,ceacam3,C2_vs_C1,FALSE
0.364601844926781,0.0622286516853933,1.95442153193932,0.0522488744685221,0.999378178229377,-3.93579698012564,dipk1c,C2_vs_C1,FALSE
-0.338894866735749,0.0450816384180791,-1.95402955653215,0.0523048231827636,0.999378178229377,-3.93650139079046,coro6,C2_vs_C1,FALSE
-0.335059866278576,-0.0763119289340102,-1.94955850097289,0.0526731973571497,0.999378178229377,-3.92677391638279,setmar,C2_vs_C1,FALSE
-0.292490403253244,-0.0755067796610169,-1.95054647165229,0.0527206503036725,0.999378178229377,-3.95347360712093,cthrc1,C2_vs_C1,FALSE
0.537222454292536,0.11112803030303,1.94859958034939,0.0527813855096522,0.999378178229377,-3.92507016293015,ctsb,C2_vs_C1,FALSE
0.238080250285637,0.0282030456852792,1.94736190490471,0.0529373075398371,0.999378178229377,-3.92691204576496,dsg2,C2_vs_C1,FALSE
-0.354051831424351,-0.0418312182741117,-1.94359007504688,0.0533948825884768,0.999378178229377,-3.93120413532844,pilra,C2_vs_C1,FALSE
0.307628815339743,-0.114416582914573,1.9398375167708,0.0538370769659873,0.999378178229377,-3.93544491851749,itgb6,C2_vs_C1,FALSE
-0.198363477507873,-0.0627237288135593,-1.94073915547062,0.053909157867227,0.999378178229377,-3.96392742867638,tf,C2_vs_C1,FALSE
-0.428155964554668,-0.0223683168316832,-1.93688203152148,0.0541788701671507,0.999378178229377,-3.93460806313882,msr1,C2_vs_C1,FALSE
0.289996590813421,-0.0241575,1.93751644548942,0.0542777718273838,0.999378178229377,-3.95126179904744,pcdhb15,C2_vs_C1,FALSE
-0.451883260683146,-0.07174925,-1.93452641970904,0.0544840092606783,0.999378178229377,-3.94056150237472,fst,C2_vs_C1,FALSE
0.368925116963145,-0.130353535353535,1.9328729873403,0.0547029801946535,0.999378178229377,-3.9413318726442,cpe,C2_vs_C1,FALSE
-0.738513107969668,0.159901694915254,-1.92995849992227,0.0552425039468758,0.999378178229377,-3.97515436906114,chga,C2_vs_C1,FALSE
0.280075709962169,0.0332333333333334,1.92617226526708,0.0555629708362733,0.999378178229377,-3.95560419136922,slc39a14,C2_vs_C1,FALSE
-0.83743919398232,0.025040404040404,-1.91527167525323,0.0569244211672283,0.999378178229377,-3.96528345640353,ccl17,C2_vs_C1,FALSE
0.292403963483256,0.0388181286549708,1.91602917862533,0.057063634944104,0.999378178229377,-3.98103177836474,sned1,C2_vs_C1,FALSE
-0.375799757404122,0.0119326732673267,-1.91108242847353,0.057434331637263,0.999378178229377,-3.96395830028642,cpm,C2_vs_C1,FALSE
