protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
ly9,-0.0243632780082988,-0.0486925213675214,0.301918062115917,0.861909831661099,0.0243292433592226,0.0243292433592226,""
clec4a,-0.14075805785124,-0.0995006302521008,0.302856532011737,0.861909831661099,-0.0412574275991388,-0.0412574275991388,""
chad,-0.0901196172248804,-0.142977649769585,0.30447901661941,0.861909831661099,0.0528580325447049,0.0528580325447049,""
cd160,-0.0641993927125506,-0.088156875,0.310087114844265,0.864485289868859,0.0239574822874494,0.0239574822874494,""
ctsf,0.110280785123967,0.0627151260504202,0.325312887880195,0.893396587611281,0.0475656590735468,0.0475656590735468,""
nppc,-0.134878719008264,-0.138726260504202,0.335284044884184,0.907239180274852,0.00384754149593722,0.00384754149593722,""
ssbp1,0.0654120098039216,0.0831087837837838,0.343705175723,0.912759532890162,-0.0176967739798622,-0.0176967739798622,""
siglec1,0.0341950413223141,0.0937962343096234,0.351352122414778,0.912759532890162,-0.0596011929873094,-0.0596011929873094,""
dpp6,-0.0451004132231405,-0.0860393162393162,0.373926110664135,0.912759532890162,0.0409389030161757,0.0409389030161757,""
mmp1,-0.0141963983050848,0.0725026315789474,0.377059757394266,0.912759532890162,-0.0866990298840321,-0.0866990298840321,""
itgb6,-0.115484917355372,-0.143020638297872,0.385731000087014,0.912759532890162,0.0275357209425004,0.0275357209425004,""
ca14,-0.140261270491803,-0.176515416666667,0.385880405025356,0.912759532890162,0.0362541461748634,0.0362541461748634,""
il22,0.101930985915493,0.216251555555556,0.387184407541482,0.912759532890162,-0.114320569640063,-0.114320569640063,""
hrg,-0.080724644549763,-0.0525130630630631,0.389095416878128,0.912759532890162,-0.0282115814867,-0.0282115814867,""
l1cam,-0.0907338842975206,-0.073927731092437,0.393682971556535,0.912759532890162,-0.0168061532050837,-0.0168061532050837,""
penk,-0.0593062200956938,-0.0244447004608295,0.395458417768028,0.912759532890162,-0.0348615196348643,-0.0348615196348643,""
got1,-0.0968906103286385,-0.151453153153153,0.398997808179993,0.912759532890162,0.0545625428245147,0.0545625428245147,""
cda,-0.201688443396226,-0.162905357142857,0.41736776290312,0.912759532890162,-0.0387830862533693,-0.0387830862533693,""
cpa2,-0.0821024489795919,-0.146432635983264,0.417784622460707,0.912759532890162,0.0643301870036717,0.0643301870036717,""
epha1,-0.0554867219917013,-0.00350693277310925,0.424001171297733,0.912759532890162,-0.051979789218592,-0.051979789218592,""
trem2,0.0689041493775934,0.101046218487395,0.426493460639003,0.912759532890162,-0.0321420691098016,-0.0321420691098016,""
nefl,0.159381666666667,0.229213191489362,0.440392128574054,0.912759532890162,-0.0698315248226951,-0.0698315248226951,""
cd248,-0.124147417840376,-0.149123873873874,0.444598961350157,0.912759532890162,0.0249764560334983,0.0249764560334983,""
cd8a,-0.0930969387755102,-0.0636435146443514,0.450628431934802,0.912759532890162,-0.0294534241311588,-0.0294534241311588,""
itgam,-0.131783402489627,-0.162447457627119,0.451609110916376,0.912759532890162,0.0306640551374921,0.0306640551374921,""
nell2,-0.0316760330578512,-0.0460393305439331,0.457868693085343,0.912759532890162,0.0143632974860818,0.0143632974860818,""
comp,-0.177625625,-0.191443946188341,0.472064115747858,0.912759532890162,0.0138183211883408,0.0138183211883408,""
obp2b,-0.285304564315353,-0.230424137931034,0.472353756711218,0.912759532890162,-0.0548804263843182,-0.0548804263843182,""
robo1,-0.0239739669421488,-0.0356190376569038,0.477572175340351,0.912759532890162,0.011645070714755,0.011645070714755,""
bag3,-0.164787136929461,-0.174458760683761,0.482864400901586,0.912759532890162,0.00967162375430009,0.00967162375430009,""
amn,0.0435477272727273,0.0783836170212766,0.49145594015201,0.912759532890162,-0.0348358897485493,-0.0348358897485493,""
col15a1,-0.104044131455399,-0.0845608108108108,0.493517868819474,0.912759532890162,-0.0194833206445883,-0.0194833206445883,""
mstn,-0.226497457627119,-0.246516593886463,0.49852170960899,0.912759532890162,0.0200191362593443,0.0200191362593443,""
wif1,-0.0452668032786885,-0.0231925,0.502342098468907,0.912759532890162,-0.0220743032786885,-0.0220743032786885,""
cd5l,0.108554976303318,0.0676518018018018,0.502642560606488,0.912759532890162,0.0409031745015158,0.0409031745015158,""
amy2a,-0.0795305907172996,-0.129611572052402,0.503174058097593,0.912759532890162,0.0500809813351022,0.0500809813351022,""
dkk4,-0.134554356846473,-0.107843347639485,0.505164860567529,0.912759532890162,-0.026711009206988,-0.026711009206988,""
