ytd,pred,lci,uci,prs_q
10.5454545454545,-0.3739,-0.7935,0.0457,Q2
10.9090909090909,-0.3962,-0.8374,0.045,Q2
11.2727272727273,-0.4186,-0.8821,0.0449,Q2
11.6363636363636,-0.441,-0.9273,0.0453,Q2
12,-0.4634,-0.973,0.0461,Q2
12.3636363636364,-0.4859,-1.0191,0.0473,Q2
12.7272727272727,-0.5083,-1.0654,0.0488,Q2
13.0909090909091,-0.5308,-1.1121,0.0505,Q2
13.4545454545455,-0.5532,-1.159,0.0525,Q2
13.8181818181818,-0.5757,-1.2061,0.0547,Q2
14.1818181818182,-0.5981,-1.2534,0.0571,Q2
14.5454545454545,-0.6206,-1.3008,0.0597,Q2
14.9090909090909,-0.643,-1.3484,0.0624,Q2
15.2727272727273,-0.6655,-1.3962,0.0652,Q2
15.6363636363636,-0.6879,-1.4441,0.0682,Q2
16,-0.7104,-1.492,0.0712,Q2
-20,0.253,-0.1924,0.6984,Q3
-19.6363636363636,0.2442,-0.1772,0.6656,Q3
-19.2727272727273,0.2354,-0.1626,0.6334,Q3
-18.9090909090909,0.2268,-0.1484,0.602,Q3
-18.5454545454545,0.2182,-0.135,0.5713,Q3
-18.1818181818182,0.2097,-0.1223,0.5418,Q3
-17.8181818181818,0.2014,-0.1106,0.5134,Q3
-17.4545454545455,0.1933,-0.0999,0.4865,Q3
-17.0909090909091,0.1854,-0.0904,0.4612,Q3
-16.7272727272727,0.1778,-0.0823,0.4378,Q3
-16.3636363636364,0.1705,-0.0756,0.4165,Q3
-16,0.1634,-0.0705,0.3974,Q3
-15.6363636363636,0.1568,-0.0671,0.3807,Q3
-15.2727272727273,0.1505,-0.0655,0.3665,Q3
-14.9090909090909,0.1446,-0.0656,0.3549,Q3
-14.5454545454545,0.1392,-0.0672,0.3457,Q3
-14.1818181818182,0.1343,-0.0703,0.3389,Q3
-13.8181818181818,0.1299,-0.0745,0.3343,Q3
-13.4545454545455,0.126,-0.0795,0.3316,Q3
-13.0909090909091,0.1227,-0.0851,0.3305,Q3
-12.7272727272727,0.1201,-0.0907,0.3308,Q3
-12.3636363636364,0.118,-0.0962,0.3322,Q3
-12,0.1167,-0.1012,0.3345,Q3
-11.6363636363636,0.116,-0.1054,0.3374,Q3
-11.2727272727273,0.1161,-0.1086,0.3407,Q3
-10.9090909090909,0.1169,-0.1105,0.3444,Q3
-10.5454545454545,0.1186,-0.1111,0.3483,Q3
-10.1818181818182,0.1211,-0.1101,0.3523,Q3
-9.81818181818182,0.1245,-0.1074,0.3564,Q3
-9.45454545454546,0.1287,-0.1032,0.3605,Q3
-9.09090909090909,0.1336,-0.0974,0.3647,Q3
-8.72727272727273,0.1393,-0.0904,0.3691,Q3
-8.36363636363636,0.1457,-0.0823,0.3737,Q3
-8,0.1526,-0.0734,0.3786,Q3
-7.63636363636364,0.16,-0.0639,0.3839,Q3
-7.27272727272727,0.1678,-0.054,0.3896,Q3
-6.90909090909091,0.176,-0.0439,0.396,Q3
-6.54545454545455,0.1845,-0.0339,0.403,Q3
-6.18181818181818,0.1933,-0.0242,0.4108,Q3
-5.81818181818182,0.2022,-0.015,0.4193,Q3
-5.45454545454545,0.2111,-0.0065,0.4287,Q3
-5.09090909090909,0.2201,0.0012,0.439,Q3
-4.72727272727273,0.229,0.0081,0.45,Q3
-4.36363636363636,0.2378,0.014,0.4617,Q3
-4,0.2465,0.0189,0.474,Q3
-3.63636363636364,0.2548,0.0229,0.4868,Q3
-3.27272727272727,0.2629,0.0259,0.4998,Q3
-2.90909090909091,0.2705,0.0281,0.5128,Q3
-2.54545454545455,0.2776,0.0296,0.5257,Q3
-2.18181818181818,0.2843,0.0303,0.5382,Q3
-1.81818181818182,0.2903,0.0304,0.5501,Q3
-1.45454545454545,0.2956,0.03,0.5612,Q3
-1.09090909090909,0.3002,0.0292,0.5712,Q3
-0.727272727272727,0.304,0.0281,0.5799,Q3
-0.363636363636363,0.3069,0.0267,0.587,Q3
0,0.3088,0.0251,0.5925,Q3
0.363636363636363,0.3097,0.0234,0.5961,Q3
0.727272727272727,0.3097,0.0215,0.5978,Q3
1.09090909090909,0.3086,0.0196,0.5977,Q3
1.45454545454546,0.3067,0.0176,0.5957,Q3
1.81818181818182,0.3038,0.0155,0.592,Q3
2.18181818181818,0.3,0.0133,0.5867,Q3
2.54545454545455,0.2953,0.011,0.5797,Q3
2.90909090909091,0.2898,0.0084,0.5713,Q3
3.27272727272727,0.2835,0.0056,0.5615,Q3
3.63636363636364,0.2765,0.0026,0.5504,Q3
4,0.2686,-9e-04,0.5382,Q3
4.36363636363636,0.2601,-0.0049,0.525,Q3
4.72727272727273,0.2508,-0.0095,0.511,Q3
5.09090909090909,0.2408,-0.0148,0.4964,Q3
5.45454545454546,0.2302,-0.021,0.4814,Q3
5.81818181818182,0.219,-0.0282,0.4662,Q3
6.18181818181818,0.2072,-0.0367,0.451,Q3
6.54545454545455,0.1948,-0.0465,0.436,Q3
6.90909090909091,0.1818,-0.0579,0.4216,Q3
7.27272727272727,0.1684,-0.0711,0.4078,Q3
7.63636363636364,0.1544,-0.0862,0.395,Q3
8,0.14,-0.1033,0.3832,Q3
8.36363636363636,0.1251,-0.1225,0.3727,Q3
8.72727272727273,0.1099,-0.1438,0.3635,Q3
9.09090909090909,0.0942,-0.1673,0.3557,Q3
9.45454545454546,0.0782,-0.1928,0.3492,Q3
9.81818181818182,0.0619,-0.2204,0.3441,Q3
10.1818181818182,0.0452,-0.2498,0.3402,Q3
10.5454545454545,0.0283,-0.2809,0.3374,Q3
10.9090909090909,0.0111,-0.3136,0.3358,Q3
11.2727272727273,-0.0063,-0.3477,0.3351,Q3
11.6363636363636,-0.0239,-0.3832,0.3353,Q3
12,-0.0417,-0.4197,0.3363,Q3
12.3636363636364,-0.0596,-0.4573,0.338,Q3
12.7272727272727,-0.0777,-0.4956,0.3403,Q3
13.0909090909091,-0.0958,-0.5348,0.3431,Q3
13.4545454545455,-0.114,-0.5745,0.3465,Q3
13.8181818181818,-0.1323,-0.6148,0.3502,Q3
14.1818181818182,-0.1505,-0.6554,0.3543,Q3
14.5454545454545,-0.1688,-0.6963,0.3588,Q3
14.9090909090909,-0.187,-0.7376,0.3635,Q3
15.2727272727273,-0.2053,-0.779,0.3684,Q3
15.6363636363636,-0.2236,-0.8207,0.3736,Q3
16,-0.2418,-0.8626,0.379,Q3
-20,0.3831,-0.1849,0.9512,Q4 (high)
-19.6363636363636,0.3629,-0.174,0.8998,Q4 (high)
-19.2727272727273,0.3428,-0.1635,0.8491,Q4 (high)
-18.9090909090909,0.3227,-0.1538,0.7992,Q4 (high)
-18.5454545454545,0.3028,-0.145,0.7505,Q4 (high)
-18.1818181818182,0.283,-0.137,0.7031,Q4 (high)
-17.8181818181818,0.2636,-0.1302,0.6574,Q4 (high)
-17.4545454545455,0.2444,-0.1247,0.6135,Q4 (high)
-17.0909090909091,0.2256,-0.1207,0.5718,Q4 (high)
-16.7272727272727,0.2071,-0.1182,0.5325,Q4 (high)
-16.3636363636364,0.1891,-0.1176,0.4959,Q4 (high)
-16,0.1716,-0.119,0.4623,Q4 (high)
-15.6363636363636,0.1547,-0.1224,0.4318,Q4 (high)
-15.2727272727273,0.1383,-0.1279,0.4046,Q4 (high)
-14.9090909090909,0.1226,-0.1354,0.3807,Q4 (high)
-14.5454545454545,0.1076,-0.1448,0.3601,Q4 (high)
-14.1818181818182,0.0934,-0.1558,0.3425,Q4 (high)
-13.8181818181818,0.0799,-0.168,0.3278,Q4 (high)
-13.4545454545455,0.0673,-0.181,0.3155,Q4 (high)
-13.0909090909091,0.0555,-0.1942,0.3053,Q4 (high)
-12.7272727272727,0.0447,-0.2074,0.2968,Q4 (high)
-12.3636363636364,0.0349,-0.2199,0.2897,Q4 (high)
-12,0.0262,-0.2314,0.2837,Q4 (high)
-11.6363636363636,0.0185,-0.2415,0.2784,Q4 (high)
-11.2727272727273,0.0118,-0.2501,0.2737,Q4 (high)
-10.9090909090909,0.0062,-0.2571,0.2695,Q4 (high)
-10.5454545454545,0.0015,-0.2626,0.2656,Q4 (high)
-10.1818181818182,-0.0023,-0.2665,0.262,Q4 (high)
-9.81818181818182,-0.0052,-0.2689,0.2585,Q4 (high)
-9.45454545454546,-0.0073,-0.2699,0.2554,Q4 (high)
-9.09090909090909,-0.0086,-0.2696,0.2524,Q4 (high)
-8.72727272727273,-0.0092,-0.2681,0.2497,Q4 (high)
-8.36363636363636,-0.0091,-0.2656,0.2474,Q4 (high)
-8,-0.0084,-0.2621,0.2454,Q4 (high)
-7.63636363636364,-0.007,-0.2579,0.2438,Q4 (high)
-7.27272727272727,-0.0052,-0.253,0.2427,Q4 (high)
-6.90909090909091,-0.0028,-0.2478,0.2422,Q4 (high)
-6.54545454545455,1e-04,-0.2423,0.2424,Q4 (high)
-6.18181818181818,0.0033,-0.2366,0.2432,Q4 (high)
-5.81818181818182,0.0069,-0.2311,0.2449,Q4 (high)
-5.45454545454545,0.0108,-0.2257,0.2473,Q4 (high)
-5.09090909090909,0.015,-0.2206,0.2506,Q4 (high)
-4.72727272727273,0.0195,-0.2159,0.2548,Q4 (high)
-4.36363636363636,0.0241,-0.2117,0.2599,Q4 (high)
-4,0.0289,-0.208,0.2657,Q4 (high)
-3.63636363636364,0.0337,-0.2049,0.2724,Q4 (high)
-3.27272727272727,0.0386,-0.2024,0.2797,Q4 (high)
-2.90909090909091,0.0435,-0.2005,0.2875,Q4 (high)
-2.54545454545455,0.0484,-0.1991,0.2959,Q4 (high)
-2.18181818181818,0.0532,-0.1982,0.3045,Q4 (high)
-1.81818181818182,0.0578,-0.1976,0.3132,Q4 (high)
-1.45454545454545,0.0623,-0.1975,0.322,Q4 (high)
-1.09090909090909,0.0665,-0.1975,0.3306,Q4 (high)
-0.727272727272727,0.0705,-0.1978,0.3388,Q4 (high)
-0.363636363636363,0.0742,-0.1982,0.3465,Q4 (high)
0,0.0775,-0.1986,0.3536,Q4 (high)
0.363636363636363,0.0804,-0.1991,0.3598,Q4 (high)
0.727272727272727,0.0828,-0.1994,0.365,Q4 (high)
1.09090909090909,0.0848,-0.1996,0.3691,Q4 (high)
1.45454545454546,0.0862,-0.1996,0.372,Q4 (high)
1.81818181818182,0.0871,-0.1995,0.3738,Q4 (high)
2.18181818181818,0.0875,-0.1993,0.3743,Q4 (high)
2.54545454545455,0.0875,-0.1989,0.3738,Q4 (high)
2.90909090909091,0.0869,-0.1984,0.3723,Q4 (high)
3.27272727272727,0.0859,-0.198,0.3698,Q4 (high)
3.63636363636364,0.0845,-0.1975,0.3665,Q4 (high)
4,0.0826,-0.1972,0.3624,Q4 (high)
4.36363636363636,0.0803,-0.1971,0.3576,Q4 (high)
4.72727272727273,0.0775,-0.1973,0.3524,Q4 (high)
5.09090909090909,0.0744,-0.198,0.3469,Q4 (high)
5.45454545454546,0.0709,-0.1993,0.3411,Q4 (high)
5.81818181818182,0.067,-0.2012,0.3353,Q4 (high)
6.18181818181818,0.0628,-0.2041,0.3297,Q4 (high)
6.54545454545455,0.0582,-0.208,0.3244,Q4 (high)
6.90909090909091,0.0533,-0.213,0.3197,Q4 (high)
7.27272727272727,0.0481,-0.2194,0.3156,Q4 (high)
7.63636363636364,0.0425,-0.2273,0.3124,Q4 (high)
8,0.0367,-0.2368,0.3102,Q4 (high)
8.36363636363636,0.0306,-0.2479,0.3091,Q4 (high)
8.72727272727273,0.0242,-0.2608,0.3092,Q4 (high)
9.09090909090909,0.0175,-0.2755,0.3106,Q4 (high)
9.45454545454546,0.0107,-0.2919,0.3132,Q4 (high)
9.81818181818182,0.0035,-0.3101,0.3172,Q4 (high)
10.1818181818182,-0.0038,-0.33,0.3224,Q4 (high)
10.5454545454545,-0.0114,-0.3514,0.3287,Q4 (high)
10.9090909090909,-0.0191,-0.3745,0.3363,Q4 (high)
11.2727272727273,-0.027,-0.3989,0.3449,Q4 (high)
11.6363636363636,-0.0351,-0.4247,0.3545,Q4 (high)
12,-0.0433,-0.4517,0.365,Q4 (high)
12.3636363636364,-0.0517,-0.4798,0.3764,Q4 (high)
12.7272727272727,-0.0602,-0.509,0.3885,Q4 (high)
13.0909090909091,-0.0688,-0.539,0.4014,Q4 (high)
13.4545454545455,-0.0776,-0.57,0.4149,Q4 (high)
13.8181818181818,-0.0864,-0.6016,0.4289,Q4 (high)
14.1818181818182,-0.0953,-0.634,0.4434,Q4 (high)
14.5454545454545,-0.1042,-0.6669,0.4584,Q4 (high)
14.9090909090909,-0.1132,-0.7003,0.4738,Q4 (high)
15.2727272727273,-0.1223,-0.7341,0.4896,Q4 (high)
15.6363636363636,-0.1313,-0.7683,0.5057,Q4 (high)
16,-0.1404,-0.8028,0.522,Q4 (high)
