icd10,block,chapter,OR,OR_lo,OR_hi,beta,se,pval,n_ms_pre,n_hc_pre,pct_ms,pct_hc,fdr
O03,O0,O,0.700732479060352,0.310791336506877,1.57992179810714,-0.355629092374544,0.414798185367148,0.391248995035404,6,581,1.20240480961924,1.21545574360369,0.637905970166419
N89,N8,N,0.741588256640241,0.366538833298871,1.5003952990113,-0.29896110002275,0.359535564329836,0.405679797100765,8,790,1.60320641282565,1.65268509027008,0.654322253388331
L40,L4,L,0.749349956400445,0.371553467257251,1.51129085485984,-0.2885491730743,0.35791496401803,0.420130552278777,8,1062,1.60320641282565,2.2217108428694,0.664091421971304
B05,B0,B,1.15758787339468,0.810755573351515,1.65279120942835,0.14633842063642,0.181697489866828,0.420591233915159,33,2629,6.61322645290581,5.49988493964561,0.664091421971304
Y83,Y8,Y,0.722964573480774,0.32198787768232,1.62328401389049,-0.324395057358908,0.412676695784083,0.431823232005839,6,845,1.20240480961924,1.76774544465597,0.674723800009124
L08,L0,L,0.707795005132964,0.292203028228739,1.71447151772502,-0.34560076798609,0.451380432747502,0.443882818789903,5,693,1.00200400801603,1.44976046526223,0.68641673008748
K62,K6,K,0.819890771379864,0.48904260207596,1.37456506680671,-0.198584153230808,0.263633428194653,0.451294517490699,15,1859,3.0060120240481,3.88903997824313,0.687581601830637
B02,B0,B,0.751555389492267,0.355201038341204,1.59018539504464,-0.285610367259342,0.382378049668958,0.455104662525663,7,925,1.40280561122245,1.93510596012636,0.687581601830637
D64,D6,D,1.23364704779993,0.707581392486388,2.15082682318381,0.209974861718287,0.283610956845057,0.459080184924487,13,908,2.60521042084168,1.8995418505889,0.687581601830637
O04,O0,O,1.28564074224369,0.657237927516765,2.51487634677738,0.251257226167764,0.342329800961192,0.462971611899296,9,478,1.80360721442886,0.999979079935566,0.687581601830637
J32,J3,J,0.7602940370189,0.359241116211663,1.60907812786639,-0.274050029710372,0.382505843533856,0.473707530536132,7,850,1.40280561122245,1.77820547687287,0.69301804962902
H26,H2,H,1.24651088533867,0.680168707319567,2.28441763131241,0.220348356665902,0.309062637372444,0.475872394078593,11,1026,2.20440881763527,2.14639861090772,0.69301804962902
F41,F4,F,1.1576725353571,0.752470689344249,1.78107362598811,0.146411554493962,0.219798361555726,0.5053359433204,22,1695,4.40881763527054,3.54595092152884,0.716494221602756
L03,L0,L,0.808076884817543,0.430737995100216,1.51597550994892,-0.213098070510785,0.320998573067971,0.506780003690687,10,1259,2.00400801603206,2.63383611221523,0.716494221602756
R19,R1,R,0.741665964130118,0.305987889897081,1.79768030209978,-0.298856320290645,0.451710935215294,0.508221412157685,5,629,1.00200400801603,1.31587205288592,0.716494221602756
I25,I2,I,0.788708265297826,0.387649053289114,1.60470075309371,-0.237358778985803,0.362395954854008,0.51248653570174,8,1458,1.60320641282565,3.05014539444782,0.716494221602756
J44,J4,J,0.764570404531264,0.340190799242859,1.71835306770829,-0.268441165595221,0.413167081087953,0.515875839553984,6,890,1.20240480961924,1.86188573460806,0.716494221602756
