cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Microglial cells,197,-0.831041969143079,-0.19687961110567,0.849898580121704,0.910605621558968,"DTNB,ZHX2,PILRA,TGFB2,DLL4,HAVCR1,GABRA4,PKN3,MAD1L1,MSR1,DNM3,FNDC1,VIT,ROBO2,SIGLEC10,NPL,ST6GAL1,LRIG1,PIK3AP1,CACNA1C,APBB1IP,FLI1,TLR2,SIGLEC8,CA5A,CRELD1,PAMR1,GPIHBP1,SCARF1,CEP112,VASH1,CALY,CYTL1,COLEC12,GHR,HSD17B3,ARSB",0.0201218228563507,C2_vs_None,C2
Plasma cells,118,-0.899809907002381,-0.222740566865911,0.668410041841004,0.910605621558968,"RRM2,CDC25A,PTP4A3,FCGR3B,EVI2B,FMNL1,FCRL5,FCGR2B,SLAMF6,ST6GAL1,SLAMF1,CD27,CD79B,FLI1,PLSCR3,FCN2,MKI67,RNASE6,TNFRSF13B,CD3D,FCER2,TNFRSF4,CEACAM21,TIGIT,MZB1,CD38,IRAG2,CTHRC1,ADA2,ARHGAP25,IL5RA,TNFSF8,CCL11",0.0343431191135615,C2_vs_None,C2
Smooth muscle,138,-0.80833516410258,-0.197362697781254,0.845755693581781,0.910605621558968,"CCL27,KRT17,FABP4,GDF15,TFAP2A,CORO6,GABRA4,FNDC1,GFRA1,SIGLEC15,TNFRSF11B,CTF1,OSMR,CALCB,ART5,CALCA,FAM20A,DAND5,CES1,SFTPD,HTR1B,LMOD1,GHR,ESAM,GMPR,CDH15,MYL3,ANGPTL4,MYL4,TGFBI,IL6,PGR,LRTM1,TFPI2,FABP3,GLP1R,RBPMS2,MYLPF,HSPB6",0.0216519363667421,C2_vs_None,C2
dendritic cells,128,-0.830272475391697,-0.203995610802979,0.805815160955348,0.910605621558968,"HHEX,ZHX2,CD300C,EVI2B,FMNL1,FCRL5,CD4,PIK3AP1,PTGDS,LAIR1,APBB1IP,RELT,RASSF2,RNASE6,LRRC25,ADA,CD3D,FCER2,CD72,HS3ST3B1,CEACAM21,LTB,MZB1,TGFBI,CD2,ADA2,LILRA5,TNFSF8,CRYM,SMPD3,UPK3A,PDCD1,FCER1A,GHRL,LTA,LILRA4,BTLA,CSF2RB,LSP1,GNLY,THBD,PAG1,TNFRSF1B,CDH23,AMN",0.024567800621605,C2_vs_None,C2
B-cells,122,0.888736916279952,0.164144480502724,0.761904761904762,0.914285714285714,"A1BG,LCP1,CCL17,ITGB2,CD72,LY9,COCH,SOST,SIGLEC10,DPEP2,CD70,SLAMF1,BLNK,IL5RA,CR2,LILRB1,ORM1,FCRL5,TNFRSF17,IGLC2",0.155241966228839,C1_vs_None,C1
Microglial cells,197,-0.895694035949574,-0.197027642457736,0.718249733191035,0.914285714285714,"HSD11B1,HCG22,HSD17B3,ARHGEF10,CDH22,ROR1,RYR1,ISM1,PAG1,IRAG2,MATN3,CACNA1C,PODXL,FGF5,SCN2A,CNTN5,THSD1,PLCB2,PDE5A,DPP10,FNDC1,DNM3,SNAP25,PRKG1,GIPC3,LRRC37A2,PIK3AP1,CD33,FGF20,SNED1,NLGN1,FYB1",0.0318534652552707,C1_vs_None,C1
Endothelial,260,-0.735866242290172,-0.157678187734446,0.955578512396694,0.955578512396694,"APOF,SCT,BHMT2,EPPK1,NPR1,PROCR,ISM1,ITGB6,CEACAM1,LAYN,PLSCR3,PON3,IL32,ADAMTS8,ICA1,MATN3,GMPR,PODXL,CLIC5,FAM3B,EPHA2,SYTL4,MIA,ACE,S100A3,LGALS4,TPK1,CLEC14A,GIPC3,CHRM1,RLN1,SNED1,GGACT,TACSTD2,CGREF1,PGR,GBP4,IL4R",0.0130773356900516,C1_vs_None,C1
Inhibitory neurons,257,-0.816110029270082,-0.175197073600472,0.871369294605809,0.955578512396694,"SUSD4,DNM1,GLP1R,SCG2,CDH22,ROR1,TUBB3,DDX25,ISM1,CALB1,SUSD5,GPR158,MAP1LC3B2,CACNA1C,KIT,CSPG5,SCN2A,CNTN5,NPTX1,PDE5A,DPP10,PTPRN2,DNM3,SNAP25,OSTN,PRKG1,ADAM22,SEZ6,LRRC37A2,CHRM1,AMIGO1,MEPE,SNED1,NLGN1,SH3GL3,SV2A,CGREF1,THTPA,L1CAM,SCN2B,JAM2,ROBO2,KAZN,NPY,DSCAM,ADAM23,RASGRF1,MTSS2,DNAJC6,RAB11FIP3,LRFN2,ENO2,CLIP2,NEFL",0.019974159565129,C1_vs_None,C1
T-cells,156,-0.740486058725405,-0.166207903151229,0.921251348435814,0.955578512396694,"CD3D,SLA2,PLSCR3,CD2,EDAR,FGD3,IRAG2,WAS,IL18RAP,CD244,BIN2,PLCB2,PAEP,IL2RG,SH2D1A,LAIR2,GMFG,IL2RB,RAB33A,KIR2DL3,IL13,FYB1,IL10,CSF2,CRACR2A,GZMB",0.0189287891242153,C1_vs_None,C1
NK-cells,145,0.801550607621603,0.142629552497791,0.96551724137931,0.96551724137931,"CCL3,CCL4,KIR3DL2,SELL,IL2RB,KLRC1,ITGAM,PRKCQ,LAIR2,IL2RG,ITGB7,FCRL3,SEMA4D,FASLG,IFNG,CD3E,ITGAL,KIR3DL1,FCRLB,IKZF2,CD5,LY9",0.271288554688953,C2_vs_None,C2
Astrocytes,195,0.960742713519185,0.168416736213526,0.944307926838468,0.994720168954593,"LAMA1,TAGLN3,VSNL1,ERBB4,NTRK2,C1QL2,CSPG5,NRCAM,HEPH,CNTN5,ROBO1,ADGRV1,MN1,CDH2,PTH1R,CD109,WIF1,KLKB1,MAP1LC3B2,CRYBB2,LRRC37A2,GSTT2B,IL17RB,ITIH4,NCS1,ENTPD2,FGFR2,PTPRM,DPP10,ADGRB3,PTPRZ1,NLGN2,SERPINI2,LRRN1,MEGF10,PLIN1,LCAT,SCRG1,NTRK3,SERPINE2,CNTN1,LEPR,MASP1,MAPT,LRIG1,CNTN3,ARHGEF10,TNC,EFEMP1,ENPP6,CD38,IL17D,IL33,ERC2",0.143902565267782,C0_vs_None,C0
B-cells,122,0.927811324761146,0.173892391741555,0.63953488372093,0.994720168954593,"CD83,TCL1A,LCP1,TNFSF8,SERPINA9,LY75,ITGB7,COCH,CD80,IFI30,SLAMF8,RAB37,SIT1,PPBP,BLNK,RNASE6,ORM1,IL16,CD1C,LSP1,SLAMF7,GKN1,A1BG,TNFRSF17,CD5,FCRL1,FCER1A,IL18BP",0.190023305279108,C0_vs_None,C0
Endothelial,260,0.915550811634994,0.152293890331587,0.985383475674827,0.994720168954593,"RBKS,NPHS1,AHSP,SLC51B,S100A14,KIAA1549,CEACAM1,IL32,CXCL9,BGLAP,HMCN2,IL15,ICAM1,LY75,ODAM,S100A16,TNFRSF10A,DKKL1,TGM2,CD109,GAST,KYNU,BDNF,IL4R,ICAM4,GSTT2B,CXCL10,SELE,KRT18,HSD17B14,ECM1,GIPC2,ENTPD2,NOS1,LY96,PPBP,TG,FCRLB,CCL28,RBP5,DMP1,IL18R1,KDR,ALDH3A1,RIPK4,TNFRSF9,F12,OMD,VWF,XG,GIMAP8,SERPINA3,ICAM5",0.143902565267782,C0_vs_None,C0
Excitatory neurons,251,-1.03501736283621,-0.235819413402109,0.403472931562819,0.994720168954593,"LRTM2,LRTM1,BRSK2,KIAA1549L,ADAM23,CA7,ENO2,DDX25,RASGRF1,FAM171B,CLIP2,SCN2A,VIPR1,GP6,PAMR1,SCN2B,DTNB,ADAMTSL2,CHGA,PRTFDC1,MAP2,SNAP25,DIABLO,EPHA4,FGF9,SORBS1,DNM3,NRN1,CORO6,LRP11,EXTL1,IPCEF1,SNED1,WASF1,GFRA2,GASK1A,CAMKK1,PDZD2,VWC2L,GHR,GABRA4,SEZ6,SLITRK1,NEFL,TNR,GPR158,NRGN,SCN3B,EPHB6,CHRM1,COL28A1,AMIGO1,RBFOX3,ENPP5,VSTM2L,EHD3,IL7,JAM3,GRIK2,STX1B,PCDH7,BMPER,HS6ST2,DNAJC6,NCAN,THTPA,PRKG1,CNTNAP4,VGF,DLG4,EGF,PCDH9,PDE4D,TBR1,TUBB3,SPINK8,SERPINI1,THY1,SUSD5,PGLYRP1,NRXN3,PDE5A,KIAA0319,SUSD4,HAVCR1,CRELD1,RTN4R,KCNIP4,DCUN1D2",0.0565299525056311,C0_vs_None,C0
Fibroblasts,79,1.16365322164777,0.236796932431521,0.113866191387853,0.994720168954593,"GPHA2,LAMA1,MME,COL1A1,CNTN5,KLK7,CCL26,CXCL10,SELE,KRT18,ADH1B,ENTPD2,FABP4,THPO,CPXM1,GAL,RBP5,ITGBL1,ADAMTS15,HSD11B1,C1S,COL2A1,SERPINA3",0.287805130535564,C0_vs_None,C0
