protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
dpp7,0.05030368579818486,0.02643731712237856,1.4740422508605882,0.1404767383850522,0.8374022339313439,478,47786,0.02361234309623431,0.015562032812957772,False,False
ccer2,0.05653088282356158,0.030763093219685542,1.4651854629804997,0.14287791065387068,0.8486012215866553,431,41017,0.11677122969837588,0.02797520418363117,False,False
pf4,0.06992440979157347,0.04179912504333451,1.4649659669836235,0.14293763286416733,0.8486012215866553,435,41884,0.017173333333333325,-0.026853399866297395,False,False
il2rg,0.042987609680981566,0.018253930828742233,1.4627665353425734,0.14353869083143025,0.8503986672192052,445,41927,0.07702033707865169,0.02983738521716316,False,False
thbs4,-0.04670122954274837,0.023678496369729848,-1.4606380616280497,0.1441212484138397,0.8503986672192052,483,48206,-0.05443033126293996,-0.0019055781437995285,False,False
nrp2,0.03773220803416961,0.014396350735838892,1.4588590618845774,0.14461035534743424,0.8503986672192052,487,48193,0.04611960985626284,0.009445746270205217,False,False
rbks,-0.049025200786068236,0.025655253827222894,-1.457670013872221,0.14493812979205364,0.8503986672192052,477,47044,-0.07629067085953876,0.02869770746535159,False,False
b4gat1,-0.03625754324250506,0.012544999910698757,-1.457220780407832,0.1450618971240185,0.8503986672192052,487,48193,-0.024083778234086244,0.0026947606498869126,False,False
lsm8,0.07121144625459942,0.04304673149575302,1.4563581937239813,0.14530114079621426,0.8503986672192052,439,41345,0.35911321184510253,0.26761383722336435,False,False
vps37a,0.049978663652760914,0.0267440754047377,1.4553749289594464,0.1455719750082448,0.8503986672192052,486,47948,0.03592006172839505,0.03713451551680987,False,False
cpe,-0.042520475059023524,0.01979872317031732,-1.4553665884188218,0.14557424869378505,0.8503986672192052,490,48200,-0.10827744897959184,-0.05537369294605809,False,False
ctsc,0.04394217552178771,0.02122664239833305,1.453780135261089,0.1460137387427437,0.8512600968701959,483,48055,0.030173395445134577,0.026068546457184476,False,False
apof,0.040154182705533156,0.015433474016982675,1.4511171265466134,0.14675461110477467,0.8538716394619126,447,42161,-0.017338478747203574,-0.06617684115651906,False,False
ccl21,0.04371182420491004,0.02125500821464876,1.4476306074266696,0.14772680296366666,0.8545501796557761,491,48370,0.0445806517311609,0.01945066776927848,False,False
tdp1,-0.05908218218876377,0.033724506787429685,-1.4467312688177782,0.14797960135631494,0.8545501796557761,445,41927,0.028157640449438213,0.11329695303742217,False,False
ctbs,0.03862399769703082,0.013326598867939419,1.446704699961586,0.1479871117109068,0.8545501796557761,438,41559,0.014034931506849318,-0.004488599340696359,False,False
kir2dl3,0.06502870500257865,0.03934471487858997,1.4464991191799228,0.1480438561667811,0.8545501796557761,476,47037,0.06461155462184874,0.037652390671173756,False,False
ifnl2,0.055941975879343915,0.030898054453248225,1.444337728558655,0.14865160244681008,0.8549077602420914,431,40773,0.1742951276102088,0.11265759939175436,False,False
hspg2,-0.03653174461280778,0.013257278387894953,-1.4426858178123811,0.14911548297029048,0.8549077602420914,474,47814,-0.0533918776371308,0.015601138787802735,False,False
egfr,-0.03302728457389247,0.00827721582485362,-1.441758580474205,0.1493768487656006,0.8549077602420914,495,48767,-0.022993131313131316,-0.001032571205938442,False,False
rp2,-0.037963582610495934,0.015158538105152362,-1.4412568192930788,0.1495186070555979,0.8549077602420914,486,47948,-0.012238168724279833,0.03408883269375156,False,False
rnase3,-0.08688034741537289,0.056308431139241985,-1.441067084303486,0.14957219818986847,0.8549077602420914,482,47942,0.003083817427385897,0.13107613366150767,False,False
penk,-0.03979035042396058,0.014993496318590836,-1.439060857546646,0.15014079776981637,0.8556877140523069,433,41210,-0.039809930715935346,0.020345610288764866,False,False
gsn,-0.035708824942112104,0.009311681109951361,-1.4385136196610753,0.15029574943217192,0.8556877140523069,445,42003,-0.04184853932584269,0.00023195486036711656,False,False
sez6l2,-0.035423732714880744,0.012005780269925093,-1.4364023002213933,0.15089435848224422,0.8574211597967678,486,47948,0.0006646090534979423,0.00034547009260031697,False,False
swap70,-0.03933553308306719,0.014885934721301864,-1.4345779168846018,0.1514147893797321,0.858704496190504,440,41948,-0.021740909090909095,0.03342097477829693,False,False
boc,-0.035580542699110186,0.012092628960250195,-1.4325608301917718,0.15198992868388547,0.85934899119939,474,47281,-0.04164451476793249,-0.000508209428734587,False,False
rtn4ip1,0.052254753337148616,0.028371418396782432,1.4307712975465772,0.15250312600348634,0.85934899119939,448,42045,0.04284330357142856,0.019105377571649425,False,False
rtbdn,-0.03741647332856516,0.014852155570354525,-1.4299930459647596,0.15272546602944356,0.85934899119939,486,47948,-0.04290658436213992,0.0006553808292316678,False,False
hepacam2,-0.04441406897098119,0.02090436641616459,-1.4288909206274718,0.15304294195314463,0.85934899119939,444,42031,-0.043891328828828825,0.0002523708691204109,False,False
ceacam16,-0.06704279923307505,0.04090538037821985,-1.4282295293523337,0.15323317237254294,0.85934899119939,440,41948,-0.05514318181818181,-0.02816617002002479,False,False
zhx2,-0.04019251067792321,0.016264413576206324,-1.4266599538027622,0.15368528494304856,0.85934899119939,444,42031,-0.011220495495495492,0.04415106706954391,False,False
samd9l,0.04320346658709539,0.02132305041389273,1.426587134719191,0.1537053593589397,0.85934899119939,489,48109,0.04709775051124744,0.03914480450643331,False,False
serpina5,-0.040099320092763256,0.016022754005110728,-1.4251104894878839,0.15413269472657284,0.85934899119939,439,41572,-0.02594419134396355,0.026072767728278653,False,False
nid2,0.057034864282588735,0.033769903710161316,1.4249375888859175,0.15418165433868988,0.85934899119939,487,48193,0.10229250513347023,0.05083510779573797,False,False
tnfsf13b,0.03630970913417725,0.01404273698306383,1.4196190762879157,0.15572494734111245,0.8646676852901826,493,48689,0.06541146044624747,0.014548587976750394,False,False
dmd,0.04537978043608258,0.021899420567040865,1.419608635600852,0.1557291714502044,0.8646676852901826,431,41017,0.10154095127610209,0.08825996172318794,False,False
cd55,-0.03582820251946693,0.012650007368201396,-1.4176314737209141,0.15630502320878367,0.8650382956157961,458,46492,-0.05534323144104804,0.008889423986922482,False,False
fgf9,-0.04374179305525148,0.020103774487658113,-1.4173458825132474,0.15638942771510275,0.8650382956157961,433,40560,-0.06614849884526558,-0.020637257149901382,False,False
asgr2,0.03722485333939244,0.012800943014849112,1.4157218313996405,0.1568642740568292,0.8651166513997656,447,42161,0.03758836689038031,0.008391957021892271,False,False
hmox2,-0.04240473561755131,0.020610765751138006,-1.415265718668126,0.15699715560565214,0.8651166513997656,485,47038,-0.015075567010309274,0.0579391417577278,False,False
bglap,-0.0716795649946348,0.045212399466910344,-1.413327561054175,0.1575667476238807,0.8666171119313438,443,42120,-0.09524311512415347,-0.0370899821937322,False,False
klk15,-0.0482419720471759,0.02528341180509475,-1.4099800905307938,0.1585529158422652,0.8703987752922844,443,41853,-0.05132426636568848,0.012594098391991018,False,False
tie1,0.042063383233129775,0.02099038594047466,1.4045806593117809,0.16015231674380984,0.8766811835375846,495,48767,-0.02334343434343435,-0.0644451186252999,False,False
