protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
tgfbr1,0.011898205379671078,0.013057860140700206,0.3496214695432225,0.7266245117711547,0.9999786873994423,304,42616,0.02488059210526316,0.007192495776234278,False,False
fyb1,-0.022301923101152737,0.056892400117475976,-0.3495287410749584,0.7266938465229547,0.9999786873994423,336,50463,-0.031780505952380946,-0.017955939995640366,False,False
scrg1,-0.012196350427292961,0.016151092947593183,-0.3491823309322554,0.7269540939308087,0.9999786873994423,315,43881,0.07160761904761903,0.01355911784143479,False,False
yars1,0.03170735786357174,0.08550920196402727,0.3485631081602992,0.7274189953125846,0.9999786873994423,321,43695,-0.10071308411214955,-0.14682303581645495,False,False
trem2,0.015308555258636275,0.03309829962453053,0.34853128788376636,0.7274426639345994,0.9999786873994423,336,50506,0.12445252976190475,0.025340245713380595,False,False
anxa2,-0.018237324074595173,0.041865038656150204,-0.34758469885361554,0.7281538255538935,0.9999786873994423,315,42062,0.09563460317460319,0.07394069231134992,False,False
arhgef12,0.024581519658304622,0.06468054554708859,0.34701165300858877,0.728584001853679,0.9999786873994423,333,50466,0.006845645645645633,-0.024884874965323187,False,False
hars1,0.019294272229356535,0.04757488667228328,0.346735465498604,0.7287914975435243,0.9999786873994423,336,50547,0.014080952380952385,-0.009076396225295269,False,False
inhbb,-0.015305279751022223,0.031166230653181862,-0.34644064419918524,0.7290132703929645,0.9999786873994423,313,42923,0.08954888178913736,0.03784178296018452,False,False
cd28,0.012830755851115717,0.02276705134113405,0.34643964865428145,0.729013799892114,0.9999786873994423,323,49352,0.046569349845201245,0.021076654441562648,False,False
pbk,0.012582758482252652,0.018062527999532636,0.3462171718631107,0.7291812197263243,0.9999786873994423,307,42313,0.002560912052117266,-0.009087024082433294,False,False
lyve1,-0.011417607819066648,0.011409159077990427,-0.3461953866099265,0.7291975269222828,0.9999786873994423,321,43949,-0.011123364485981304,0.005530382943866755,False,False
pinlyp,0.01753578260076633,0.039828507671620515,0.34612720295933486,0.7292488048434522,0.9999786873994423,313,42923,-0.08478897763578273,-0.062471412762388476,False,False
ddx1,-0.014733034963851073,0.029160017139685034,-0.3459801446409052,0.7293592903345202,0.9999786873994423,321,43695,0.04629376947040498,0.07473416752488844,False,False
cfp,-0.011726027479434405,0.013833850552480655,-0.3459468446445535,0.7293843068045209,0.9999786873994423,321,43949,-0.006106230529595014,0.0034472638740358137,False,False
ufd1,0.0301337183485015,0.08141029306159064,0.34587106346043184,0.7294412692271237,0.9999786873994423,321,43695,-0.001854205607476636,-0.047328000915436555,False,False
ap3b1,0.018859761906747628,0.04505761844784016,0.34472027241267883,0.7303063232404683,0.9999786873994423,321,43695,0.07798629283489097,0.04936780295228287,False,False
arl2bp,0.013635739492529594,0.023950924748562807,0.34467315881693794,0.7303417946072321,0.9999786873994423,304,42451,0.0468375,0.02869506843183906,False,False
rassf2,0.016080893928010404,0.03641183364801071,0.34448256106377756,0.7304848670594316,0.9999786873994423,323,49352,0.10454272445820433,0.06249275713243638,False,False
