protein,logFC_ms,t_ms,P.Value_ms,fdr_ms,logFC_ytd,t_ytd,P.Value_ytd,fdr_ytd,gap_5yr
sfrp1,-0.172536199284789,-2.08864545605304,0.0369267559846728,0.581047495520986,0.0154200536501431,1.51942503991222,0.128889899663527,0.998656629238247,-0.0954359310340737
sfrp4,-0.0544476075995383,-0.716277562598696,0.473943969446042,0.89023613545086,0.000136553538459575,0.0146222565545906,0.988335705433875,0.999781041994087,-0.0537648399072404
sftpa1,-0.0687340311866751,-0.594270509581308,0.552430858469332,0.923587424163396,0.0177432242583272,1.24868760606212,0.211996036187072,0.998656629238247,0.0199820901049611
sftpa2,0.0701008481191005,0.617952023082625,0.536711284843136,0.919768044943249,0.0130740728535914,0.93810463707061,0.348358584412582,0.998656629238247,0.135471212387058
sftpd,-0.0800111592054085,-0.588188453162979,0.55650427503159,0.924532950960862,-0.00089132722389668,-0.0533349631520648,0.957472921181849,0.998656629238247,-0.0844677953248919
sgsh,-0.166486976205643,-1.85057311576848,0.0644495224870326,0.6662923465437,0.0280140292857385,2.53460599271635,0.0113696743978112,0.946270457790156,-0.0264168297769505
sh2b3,0.0520841556954425,0.552108424706132,0.580965535674563,0.931591441262835,-0.0131665260846876,-1.13605366083665,0.256135914093046,0.998656629238247,-0.0137484747279953
sh2d1a,0.045207634114983,0.48046203134376,0.630976808280288,0.945473295576533,-0.0116767110332011,-1.01012872761269,0.312614788129737,0.998656629238247,-0.0131759210510226
sh3bgrl2,-0.134730957395237,-1.39331792034128,0.163753228441171,0.781304704690636,0.0238409536501062,2.00685200351875,0.0449646723804258,0.998656629238247,-0.015526189144706
sh3bp1,0.119798574169223,1.62379005770902,0.104654277211257,0.747996329128821,-0.0118981476432326,-1.31270300218697,0.189506351045046,0.998656629238247,0.0603078359530598
sh3gl3,-0.204286114181944,-1.33929652238873,0.180699792529217,0.794668645954252,0.00600269484135705,0.320326637717538,0.748770347343957,0.998656629238247,-0.174272639975158
sh3glb2,0.232291834801101,2.41182987683927,0.0160055360778139,0.565294016298006,-0.0203177716866075,-1.71710834209203,0.0861889372508608,0.998656629238247,0.130702976368064
shbg,0.20111921012088,2.01920823527052,0.0436630705867888,0.603338353138745,-0.00876095889944424,-0.715958901460904,0.474140653288485,0.998656629238247,0.157314415623658
shc1,0.082156308246063,0.396503668519733,0.691796221425739,0.952152025681544,0.0017461918978843,0.0685973216033209,0.945320318266741,0.998656629238247,0.0908872677354845
shd,0.141681985777186,1.0207681003427,0.307547366566629,0.859232078488089,-0.0187085436839376,-1.0971381903741,0.272776815178373,0.998656629238247,0.0481392673574979
shh,-0.0299178416112922,-0.419777506174705,0.674714851412224,0.950569914511344,-0.000669284083248767,-0.0764378208420201,0.939082116775131,0.998656629238247,-0.033264262027536
shisa5,0.0179004484356059,0.438827798022891,0.660856597807349,0.950180499589244,0.000707056883364374,0.141089102315642,0.887820620227678,0.998656629238247,0.0214357328524277
shmt1,-0.221820512470218,-1.77819245039186,0.0755974735020571,0.682486549016101,0.0163701694245907,1.06816692909362,0.285636351043342,0.998656629238247,-0.139969665347265
shpk,-0.00294120714492338,-0.0378287180863629,0.96982984482031,0.995040916261799,0.00179939512745818,0.188378549368862,0.850608250773648,0.998656629238247,0.00605576849236754
siae,-0.00501446649846045,-0.0762218684359942,0.939253888439764,0.983158110179575,0.00781508221326785,0.966935050668056,0.333749840317947,0.998656629238247,0.0340609445678788
siglec1,0.0200641157725928,0.242671660859482,0.808296657427045,0.972088761475552,3.56587083631411e-06,0.000351053689197768,0.999719951597977,0.999919563564768,0.0200819451267744
siglec10,-0.0428717786768103,-0.695132631531673,0.487091917595734,0.896296234934403,0.00437636984926979,0.577589230936845,0.563637879167998,0.998656629238247,-0.0209899294304614
siglec15,0.0236393017758528,0.145800592625742,0.88410059330674,0.976109678783387,-0.0121433337004021,-0.609637214408953,0.542204833090346,0.998656629238247,-0.0370773667261576
siglec5,0.0328642865668419,0.137319146708288,0.890799031231289,0.976109678783387,0.0214068575781508,0.728062567468482,0.466701655258883,0.998656629238247,0.139898574457596
siglec6,-0.0645585599316815,-0.977285023618229,0.328603307415716,0.869938992572789,0.00511156426029447,0.629839842854234,0.52890604897419,0.998656629238247,-0.0390007386302092
siglec7,0.0410879920047196,0.75550603080659,0.450077322984699,0.885707232393103,-0.00546098650173383,-0.817340495760789,0.413878215824238,0.998656629238247,0.0137830594960505
siglec8,0.00911886405804932,0.118814264712986,0.905440199067907,0.978666232232106,0.00314152679817226,0.333178913786836,0.739051015067483,0.998656629238247,0.0248264980489106
siglec9,0.0591779140715093,0.972442294819376,0.331004912251285,0.869938992572789,-0.00749428734080054,-1.00240545890743,0.316327598174619,0.998656629238247,0.0217064773675066
sil1,-0.0236248139483759,-0.430375522722729,0.66699125289584,0.950569914511344,0.00251228721760434,0.372526653298637,0.709559296126548,0.998656629238247,-0.0110633778603542
sirpa,-0.157298373130404,-1.30606174347886,0.191754246082112,0.800469378168384,0.0304427636938768,2.05746497169539,0.0398333884659662,0.998656629238247,-0.00508455466102059
sirpb1,0.0499248997407563,0.568337296629383,0.569900560319026,0.927415766355502,-0.000623737251054211,-0.0577962330560042,0.953919499404854,0.998656629238247,0.0468062134854852
