protein,logFC,AveExpr,t,P.Value,fdr,B,sig_tier,bonferroni_sig,bonferroni_threshold
snx9,0.028816161350199,-0.0051484543181918,1.64857748931571,0.0992947622543837,0.416054505854713,-5.14667325112695,NS,FALSE,1.71762281003092e-05
clps,-0.0608430954007114,0.00669454222300634,-1.64831792093302,0.099347990256065,0.416054505854713,-5.14709100259187,NS,FALSE,1.71762281003092e-05
cat,-0.0380947241400053,0.0120113332328813,-1.64718862995783,0.0995798317395479,0.416054505854713,-5.14890772784672,NS,FALSE,1.71762281003092e-05
fuca1,0.0721301156720103,-0.217332578135638,1.64699958496589,0.0996186845004243,0.416054505854713,-5.14921172883003,NS,FALSE,1.71762281003092e-05
ctsb,0.0458892336837314,0.0406955508665149,1.6451447128665,0.100000542019004,0.416924853129569,-5.15219267766453,NS,FALSE,1.71762281003092e-05
sag,0.0394366557710962,0.00969062169681989,1.64364517676902,0.100310100181411,0.416924853129569,-5.15460011624759,NS,FALSE,1.71762281003092e-05
defb103a_defb103b,0.0300830927965645,0.0369937924075021,1.64294512826028,0.100454876761714,0.416924853129569,-5.1557232621516,NS,FALSE,1.71762281003092e-05
fgf23,-0.0501122241517068,0.108981214798816,-1.64254129469045,0.100538469066235,0.416924853129569,-5.15637094846905,NS,FALSE,1.71762281003092e-05
igfbp4,0.0303853674015856,-0.031168108902743,1.64251846137713,0.100543197147701,0.416924853129569,-5.15640756480623,NS,FALSE,1.71762281003092e-05
cpxm1,0.0524055207197758,0.0110866828151548,1.64173416686066,0.100705708222217,0.417004717830545,-5.1576649795149,NS,FALSE,1.71762281003092e-05
ltbr,0.0208046309571605,-0.0145788705513559,1.64065079271481,0.100930534898445,0.417342027115587,-5.15940090486376,NS,FALSE,1.71762281003092e-05
msln,0.0527745190330023,0.075982533750372,1.63910704172668,0.101251591966046,0.418075722288171,-5.16187252918185,NS,FALSE,1.71762281003092e-05
bcl2l11,0.0352336696920496,-0.104128814824855,1.63836020601111,0.101407204697599,0.4181251740435,-5.16306741716507,NS,FALSE,1.71762281003092e-05
lbr,-0.0404342613501513,0.00710029029846417,-1.63571820803269,0.101959228258094,0.419313177612666,-5.16729007398214,NS,FALSE,1.71762281003092e-05
top1mt,0.0364753593322245,0.0398308647835499,1.63560269619057,0.101983417983431,0.419313177612666,-5.16747453910865,NS,FALSE,1.71762281003092e-05
gal,-0.0574131728166888,-0.00564568100628738,-1.63371159139149,0.102380090756261,0.41982418732855,-5.17049266371292,NS,FALSE,1.71762281003092e-05
dnajb8,0.0462946379004374,0.10355035733904,1.63363518531657,0.102396143250866,0.41982418732855,-5.17061453132276,NS,FALSE,1.71762281003092e-05
anxa1,-0.0293847850309908,-0.0402865785141325,-1.63229775852742,0.102677453787205,0.420385468318639,-5.17274680355423,NS,FALSE,1.71762281003092e-05
cfp,-0.0168564514792894,-0.0131727503958214,-1.62883887551406,0.103407837549756,0.422258469980655,-5.17825324351214,NS,FALSE,1.71762281003092e-05
mfap3l,0.0450823766348735,0.12780349278188,1.62875764808143,0.10342503919485,0.422258469980655,-5.1783824149676,NS,FALSE,1.71762281003092e-05
vti1a,-0.0240505485148857,0.0346055971373958,-1.62773278158957,0.10364227209688,0.422421223298131,-5.18001165018041,NS,FALSE,1.71762281003092e-05
ptpn9,-0.0293607405420614,0.0215011538040564,-1.62690843036679,0.103817266443254,0.422421223298131,-5.18132138191763,NS,FALSE,1.71762281003092e-05
flrt2,-0.0230267143471503,-0.0101082042069653,-1.62629387884153,0.103947876979378,0.422421223298131,-5.18229735203127,NS,FALSE,1.71762281003092e-05
kifbp,-0.0297556970400946,-0.125142030501965,-1.62583564120033,0.10404535111809,0.422421223298131,-5.18302484012437,NS,FALSE,1.71762281003092e-05
cxcl14,0.0542932038277946,0.00240569510345481,1.62379000920063,0.104481374478294,0.423600670064505,-5.18626994312732,NS,FALSE,1.71762281003092e-05
sh2b3,0.0375396861059202,-0.10178820799633,1.62225783250103,0.104808905387087,0.424234846916127,-5.18869784936577,NS,FALSE,1.71762281003092e-05
cd99,-0.0140831693588416,-0.0626628440674823,-1.62169575138055,0.104929264781729,0.424234846916127,-5.18958795604807,NS,FALSE,1.71762281003092e-05
lsm8,0.0661700033075235,0.280933745373128,1.61866270422479,0.105580631484151,0.426276308252931,-5.19438574509539,NS,FALSE,1.71762281003092e-05
fgf19,0.0670096952311977,0.00850076857170053,1.61710869995661,0.105915605066443,0.42680420870447,-5.1968404517871,NS,FALSE,1.71762281003092e-05
ercc1,0.0229110758303069,-0.00541423725091265,1.61596925493609,0.106161753607143,0.42680420870447,-5.19863882361593,NS,FALSE,1.71762281003092e-05
ppp1r12b,0.0496391772890468,0.0867992660163259,1.61576426949539,0.106206083691381,0.42680420870447,-5.19896221517773,NS,FALSE,1.71762281003092e-05
sema6c,0.0190339642911866,0.0215730357635594,1.61534013533268,0.106297853421759,0.42680420870447,-5.19963121262327,NS,FALSE,1.71762281003092e-05
uso1,-0.0329464436887933,-0.0725303551448443,-1.61446010494799,0.106488465830145,0.426980611613707,-5.20101874690709,NS,FALSE,1.71762281003092e-05
arf6,-0.0505815678942225,-0.123559310618042,-1.61257474103339,0.106897743265599,0.428032091672844,-5.20398883698239,NS,FALSE,1.71762281003092e-05
clstn2,-0.0327438093347844,-0.00570886401164256,-1.61145598134825,0.107141194003409,0.428098808930115,-5.20574962538646,NS,FALSE,1.71762281003092e-05
gsn,-0.0149765074982571,-0.0134405150172205,-1.61114689811685,0.10720853030232,0.428098808930115,-5.20623586867687,NS,FALSE,1.71762281003092e-05
