protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
NEFL,9.5,0.146715883660123,-0.00555780915761378,0.29898957647786,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,9.75,0.145854310579674,-0.0104283502822199,0.302136971441568,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,10,0.144970285158448,-0.0175031269118946,0.307443697228791,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,10.25,0.144066302100976,-0.0267721026718793,0.314904706873831,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,10.5,0.143144856111788,-0.0381208448837995,0.324410557107376,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,10.75,0.142208441895416,-0.0513620202346365,0.335778904025468,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,11,0.14125955415639,-0.0662684979274474,0.348787606240227,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,11.25,0.140300687599241,-0.0826000064063576,0.363201381604839,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,11.5,0.139334336928499,-0.100120669752572,0.37878934360957,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,11.75,0.138362996848696,-0.118608446069463,0.395334439766855,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,12,0.137389162064362,-0.137858866401917,0.412637190530641,-0.0057761220984011,-0.484760424807479,0.473208180610676
MOG,-8,0.0913453347079435,-0.0676311332239448,0.250321802639832,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-7.75,0.0902655574753926,-0.0605462049485236,0.241077319899309,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-7.5,0.0891870428466983,-0.0537099065854255,0.232083992278822,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-7.25,0.0881110534257167,-0.0471726016890358,0.223394708540469,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-7,0.0870388518163043,-0.0409885520863157,0.215066255718924,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-6.75,0.0859717006223175,-0.0352157270637509,0.207159128308386,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-6.5,0.0849108624476128,-0.029915121835004,0.19973684673023,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-6.25,0.0838575998960466,-0.0251493476692848,0.192864547461378,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,-6,0.0828131755714753,-0.0209802435244992,0.18660659466745,-0.00755734102078591,-0.382895566974735,0.367780884933163
