protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
ptprk,post_onset_vs_hc,0.00454187520333396,0.0291934579337767,0.168668906978874,0.866104926967514,0.99104851762009,-6.14821160471449
pla2g4a,post_onset_vs_hc,-0.00853045323062113,-0.0861404322527393,-0.168337645617369,0.866365413007963,0.99104851762009,-6.14826506410578
lbp,post_onset_vs_hc,-0.0133818006520871,0.0075300697357685,-0.167689831963014,0.866874860683521,0.99104851762009,-6.14836930541963
idua,post_onset_vs_hc,-0.010961516819694,-0.0317763998797659,-0.167106916002197,0.86733331948652,0.99104851762009,-6.14846276036679
glt8d2,post_onset_vs_hc,0.0114908533437055,0.0845107393809208,0.166864737681618,0.867523803982692,0.99104851762009,-6.14850149148855
stip1,post_onset_vs_hc,-0.00874637836072989,-0.0422456065195656,-0.166668334226311,0.867678290082554,0.99104851762009,-6.14853286067677
hnrnpk,post_onset_vs_hc,-0.0101569231314054,0.0234592401663156,-0.16652956860405,0.867787442741839,0.99104851762009,-6.14855500178908
prune2,post_onset_vs_hc,0.00580054891077177,0.0368070655472469,0.165952606513435,0.868241306606202,0.99104851762009,-6.14864686275536
vps37a,post_onset_vs_hc,-0.0124217378283062,0.0247028863929415,-0.165442638502253,0.868642506205153,0.99104851762009,-6.14872779185085
clec12a,post_onset_vs_hc,0.00380039722034947,-0.000150110045578727,0.165300568182487,0.868754281130178,0.99104851762009,-6.14875029326627
sdhb,post_onset_vs_hc,0.0144356677257621,0.110157813609624,0.165062187809641,0.868941834640117,0.99104851762009,-6.14878800505759
cplx2,post_onset_vs_hc,-0.00820123946589468,0.00483907086020087,-0.164872397051808,0.869091163974955,0.99104851762009,-6.14881799105745
tmed1,post_onset_vs_hc,0.0106629004534133,0.030382810563427,0.164656444767613,0.869261083160621,0.99104851762009,-6.14885206849327
pbxip1,post_onset_vs_hc,0.0054163658906493,0.0160108169856997,0.164063700382452,0.869727507276489,0.99104851762009,-6.14894537448384
fcrl2,post_onset_vs_hc,-0.0116207676141062,0.035470673773658,-0.164002018304235,0.869776046845668,0.99104851762009,-6.14895506474929
kcnh2,post_onset_vs_hc,0.0157085962637455,0.215327776316027,0.163990299570754,0.869785268741551,0.99104851762009,-6.14895690535264
hla_dra,post_onset_vs_hc,0.00784935305022777,0.029158681820897,0.163797502020773,0.869936990664464,0.99104851762009,-6.1489871682255
pklr,post_onset_vs_hc,0.0144554959935198,0.0371226984317609,0.163464724456612,0.870198881065112,0.99104851762009,-6.14903931960866
park7,post_onset_vs_hc,0.00700714963119092,-0.0503860698676196,0.163169775129979,0.870431013199395,0.99104851762009,-6.14908545406837
scamp3,post_onset_vs_hc,0.0106268290640076,0.0233168720104888,0.16311628435663,0.870473112909083,0.99104851762009,-6.14909381189596
vstm1,post_onset_vs_hc,-0.0117129790859397,0.0380393313119592,-0.162693896859433,0.870805564292719,0.99104851762009,-6.14915971285993
omp,post_onset_vs_hc,0.00883397402509775,0.0393729246841055,0.161957646836614,0.871385104236425,0.99104851762009,-6.14927417423932
fgfbp3,post_onset_vs_hc,0.00720184994604077,0.0160921927801928,0.161678714564774,0.87160468414599,0.99104851762009,-6.14931740295773
kcnip4,post_onset_vs_hc,0.0115634419478789,0.0450262645800252,0.161468446433229,0.871770217110989,0.99104851762009,-6.14934994090395
kirrel1,post_onset_vs_hc,0.0104520764983658,0.105448376035348,0.161428818157731,0.87180141498423,0.99104851762009,-6.14935606844036
gage2a,post_onset_vs_hc,-0.0109661512406232,0.0849981557650755,-0.161427095250218,0.871802771370022,0.99104851762009,-6.14935633481148
dctd,post_onset_vs_hc,-0.00811036145256217,-0.0833472974860861,-0.161352123293734,0.871861794577066,0.99104851762009,-6.14936792313956
amn,post_onset_vs_hc,-0.0103350407569648,0.0197474202091119,-0.161273221272102,0.871923912580499,0.99104851762009,-6.14938011311992
atp2b4,post_onset_vs_hc,0.0123753516017501,0.148398890382345,0.160567849436746,0.872479273019718,0.99104851762009,-6.14948882476045
dnpep,post_onset_vs_hc,-0.010983458378571,-0.000710937727696351,-0.159978824641433,0.872943078211831,0.99104851762009,-6.14957923996195
rspo1,post_onset_vs_hc,-0.00737544557274283,-0.000948689073018817,-0.159226905681268,0.873535211799055,0.99104851762009,-6.14969417659063
trim24,post_onset_vs_hc,-0.00922459148643177,0.0180924596599413,-0.159216929031254,0.873543068854485,0.99104851762009,-6.14969569795905
ift20,post_onset_vs_hc,0.00720247927213802,0.0421903204175615,0.159064414183423,0.87366318263309,0.99104851762009,-6.14971894352585
cd300a,post_onset_vs_hc,0.00555176559405918,0.0153758962758661,0.159022107493761,0.873696501980627,0.99104851762009,-6.14972538775784
dock9,post_onset_vs_hc,0.0225309280516627,0.373499270137643,0.15870125296838,0.873949203680269,0.99104851762009,-6.14977420510839
adgrg1,post_onset_vs_hc,-0.017022043265688,0.287896589438133,-0.158630619493978,0.874004835604272,0.99104851762009,-6.14978493860424
asrgl1,post_onset_vs_hc,-0.0126040317897397,-0.00539307011726323,-0.158591809731645,0.874035402988019,0.99104851762009,-6.14979083412003
cd300e,post_onset_vs_hc,-0.00818404509489285,0.0436363580349527,-0.158187959531721,0.874353495057528,0.99104851762009,-6.14985209662135
brdt,post_onset_vs_hc,0.0062680492897014,-0.0185111705802615,0.15738380920402,0.874986943539253,0.99104851762009,-6.14997361794544
cxcl6,post_onset_vs_hc,-0.014218418492641,-0.011788759343425,-0.157068228709548,0.875235555814227,0.99104851762009,-6.15002113853104
txndc15,post_onset_vs_hc,-0.00614123770800623,0.0027596575554332,-0.15412143270352,0.87755761503421,0.99104851762009,-6.15046026819312
gp6,post_onset_vs_hc,-0.00910976522167864,-0.0916246711361745,-0.154028231081753,0.877631074741296,0.99104851762009,-6.15047402136941
fes,post_onset_vs_hc,-0.00970747505404718,0.021961476794359,-0.154016777565289,0.877640102253269,0.99104851762009,-6.15047571091878
retn,post_onset_vs_hc,0.00848177438667042,0.00484905944519719,0.153835436760546,0.877783034829552,0.99104851762009,-6.15050244441074
dbn1,post_onset_vs_hc,-0.0061447669169547,0.011382989716324,-0.15375714805762,0.877844743113258,0.99104851762009,-6.15051397609803
naaa,post_onset_vs_hc,-0.0127515377046422,0.0489447547474006,-0.153566118657855,0.877995318359801,0.99104851762009,-6.15054208951106
gamt,post_onset_vs_hc,-0.00722281789214923,0.0285154612895522,-0.153413041902584,0.878115981357697,0.99104851762009,-6.15056459228721
tor1aip1,post_onset_vs_hc,0.00755985868502604,0.0357608538287716,0.153270201035288,0.878228578459825,0.99104851762009,-6.15058557011469
prss27,post_onset_vs_hc,0.00823612663497066,-0.0317647476045677,0.152552551200293,0.878794317262348,0.99104851762009,-6.15069066956639
crybb1,post_onset_vs_hc,-0.00609718083556915,0.0182146646085249,-0.152534625899623,0.87880844895762,0.99104851762009,-6.15069328840381
chek2,post_onset_vs_hc,-0.00726403773353154,-0.00592105489918383,-0.152182081847908,0.879086390514032,0.99104851762009,-6.15074473158715
dnajc6,post_onset_vs_hc,0.00873629556301286,-0.0218100748906925,0.152172376547579,0.879094042269262,0.99104851762009,-6.15074614609984
cirbp,post_onset_vs_hc,0.00801952581680635,-0.0718261077159854,0.151919257404348,0.879293607911335,0.99104851762009,-6.15078300545225
dgkz,post_onset_vs_hc,0.00701135136545444,-0.00266636526678991,0.151858938228815,0.879341166234889,0.99104851762009,-6.15079178011154
gclm,post_onset_vs_hc,0.00733999817865971,0.0318076516799699,0.151114003053258,0.879928542201762,0.99104851762009,-6.15089985895022
eif4ebp1,post_onset_vs_hc,0.0107421603133804,-0.0269536505483849,0.150550956277797,0.88037254444331,0.99104851762009,-6.15098119588687
mphosph8,post_onset_vs_hc,0.00908009529861641,0.0210909693822475,0.149448231539483,0.881242230027678,0.99104851762009,-6.15113961436105
