protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
mag,combined_vs_hc,0.0085205136763171,-0.0341165147338305,0.338027486074074,0.735360660114089,0.995266695411486,-6.20243500003351
dpp6,combined_vs_hc,-0.00711444033674053,0.000460861269415098,-0.33798561365105,0.735392212020308,0.995266695411486,-6.20244864704725
cenpf,combined_vs_hc,-0.00939631878912878,0.0482580704759375,-0.336620584540563,0.736421039537573,0.995266695411486,-6.20289260999265
thsd1,combined_vs_hc,-0.00594355695653998,0.00210198901471574,-0.336449406523413,0.736550090454653,0.995266695411486,-6.20294815726802
siglec10,combined_vs_hc,-0.00623974186025363,0.026636313582418,-0.336128713984594,0.736791880211301,0.995266695411486,-6.2030521459695
per3,combined_vs_hc,0.0181923762603859,0.0759036853853715,0.335502585688083,0.737264031823363,0.995266695411486,-6.20325489036469
tnfsf13b,combined_vs_hc,0.00577621268688217,0.0219381482535349,0.335445579861636,0.737307023778832,0.995266695411486,-6.20327333044646
serpinf1,combined_vs_hc,-0.00468013477760312,0.0262039686115926,-0.335413812393924,0.737330982135067,0.995266695411486,-6.20328360513629
il24,combined_vs_hc,0.0095053927018547,0.0193981184250038,0.334750578495081,0.737831237479353,0.995266695411486,-6.20349789553848
zp3,combined_vs_hc,-0.0457865871224745,-1.0552819387007,-0.334584280590001,0.737956687905589,0.995266695411486,-6.20355155976914
cdhr2,combined_vs_hc,-0.0152108504922528,0.121151472207996,-0.334091767339382,0.73832826688993,0.995266695411486,-6.2037103370646
atp5f1d,combined_vs_hc,-0.00826661568374476,0.0262871884012979,-0.333793409028152,0.738553394501386,0.995266695411486,-6.20380640859044
fli1,combined_vs_hc,-0.0104061513824223,0.0186615166110362,-0.333247720471454,0.738965204273052,0.995266695411486,-6.20398189853493
ca7,combined_vs_hc,-0.00592803594538648,0.00854116879334938,-0.332643353570849,0.739421383714331,0.995266695411486,-6.20417592397869
nos2,combined_vs_hc,0.00641016627362816,0.0264506863685937,0.332614263870571,0.739443343094454,0.995266695411486,-6.20418525402814
cpb1,combined_vs_hc,-0.0117509148087968,0.020426974606911,-0.331327502873339,0.740414912124555,0.995266695411486,-6.20459714547498
ceacam3,combined_vs_hc,-0.00915019412175125,0.00548525244041762,-0.330536583536201,0.741012301586069,0.995266695411486,-6.20484952608434
kif22,combined_vs_hc,-0.0176248955079773,-0.0785972884629467,-0.32987409261939,0.741512807999782,0.995266695411486,-6.20506046127691
s100a11,combined_vs_hc,0.00828690813057201,0.0741047419143593,0.329809245923931,0.741561805024763,0.995266695411486,-6.20508108553927
nrp1,combined_vs_hc,0.00526467471429054,0.0149381240685661,0.329359031358315,0.741902008138844,0.995266695411486,-6.20522416289906
nfkb1,combined_vs_hc,-0.00721472192266724,-0.00428508408886127,-0.329269882049502,0.741969379499885,0.995266695411486,-6.20525247120456
cfb,combined_vs_hc,-0.005882042580446,-0.00564432072957848,-0.3287304159036,0.742377103684502,0.995266695411486,-6.20542360879244
mtpn,combined_vs_hc,-0.00579340014529025,0.0152771918267404,-0.328505208456125,0.742547335072168,0.995266695411486,-6.20549496947509
krt19,combined_vs_hc,-0.0133021632828173,0.147116679086895,-0.328312929387171,0.742692686295194,0.995266695411486,-6.20555585755993
cmip,combined_vs_hc,-0.00749111456201547,-0.0149656843640894,-0.328312903387998,0.7426927059496,0.995266695411486,-6.20555586579075
