protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
inhbb,combined_vs_hc,0.0481243226158101,-0.025071761818808,2.16938845527568,0.0300984557092689,0.223511746351229,-4.17618997740648
scarb2,combined_vs_hc,0.0285990695038404,-0.0108155796398281,2.15998856879421,0.0308192074015186,0.228281711821426,-4.19604820794017
slc1a4,combined_vs_hc,0.0488856535683832,0.0709516649715818,2.15444147878425,0.0312514556619439,0.230895907187611,-4.20772662394526
scly,combined_vs_hc,-0.0457504929311195,-0.038526595549078,-2.15268174206985,0.031389663085061,0.231329896811678,-4.21142517515733
shbg,combined_vs_hc,0.0551322121106001,0.078608454854693,2.14702376679285,0.0318375929522028,0.23317530619867,-4.22329646112679
hmox2,combined_vs_hc,-0.0441807081986693,0.0069423253956893,-2.14610575485615,0.0319107844574708,0.23317530619867,-4.22521964823546
cstb,combined_vs_hc,0.0407073218891621,-0.0547277965158205,2.14606237804482,0.0319142463826788,0.23317530619867,-4.22531050007961
fabp4,combined_vs_hc,0.0599561361335757,0.0220711126531704,2.14516099994234,0.0319862587405344,0.23317530619867,-4.22719800327383
immt,combined_vs_hc,-0.039274785589678,-0.00998911656332193,-2.14448223710405,0.0320405779730224,0.23317530619867,-4.22861882336931
itih3,combined_vs_hc,0.0428712952212246,0.0132395856085495,2.14074751438691,0.0323408728151142,0.234280213545868,-4.23642850166117
il12b,combined_vs_hc,-0.0609792841498018,-0.00303100624032919,-2.14059279447804,0.0323533651135139,0.234280213545868,-4.23675174332505
tnfsf10,combined_vs_hc,0.0291650856919851,-0.0148858179864786,2.13736984865715,0.0326145320523128,0.235425148162466,-4.24347983644168
lefty2,combined_vs_hc,-0.0589714575821723,0.0218273556708433,-2.13664858131191,0.0326732256467318,0.235425148162466,-4.24498413965605
cela2a,combined_vs_hc,-0.0600941483831645,0.00964543174587108,-2.13554558895,0.0327631573387193,0.235490249414844,-4.24728360328308
adamts16,combined_vs_hc,0.0332079603148456,0.00323286003824369,2.13336426287501,0.032941634591152,0.235968802787887,-4.25182763371011
nfkbie,combined_vs_hc,0.0344569668617795,0.000195865667593682,2.13275224659224,0.0329918594073068,0.235968802787887,-4.2531017229711
dmd,combined_vs_hc,0.0427816231801631,0.0456362901481404,2.12885457349267,0.033313261013219,0.237683585317354,-4.26120729705299
cemip2,combined_vs_hc,-0.0289829191553028,0.006903842068631,-2.12539048209037,0.033601155125323,0.23915149772571,-4.26839877537408
c5,combined_vs_hc,0.0145707440202303,-0.00437265320588293,2.12367239695566,0.0337447298875318,0.23935040494504,-4.27196119530005
