ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,2/25,53/18860,0.0377358490566038,28.4679245283019,7.2954240457946,0.00223024057017084,0.0318885274506883,0.0196047001182146,MMP9/PDGFB,2,up_DEPs
GO:0010543,regulation of platelet activation,2/25,55/18860,0.0363636363636364,27.4327272727273,7.15209333233573,0.00239952180768209,0.0337174185044984,0.0207290813150032,PDGFA/PDGFB,2,up_DEPs
GO:0048146,positive regulation of fibroblast proliferation,2/25,57/18860,0.0350877192982456,26.4701754385965,7.01620570661438,0.00257470204586439,0.0355657994471098,0.0218654446713907,PDGFA/PDGFB,2,up_DEPs
GO:0001836,release of cytochrome c from mitochondria,2/25,59/18860,0.0338983050847458,25.5728813559322,6.88712772426445,0.00275575138374016,0.0360153290498061,0.0221418103037878,MMP9/PLAUR,2,up_DEPs
GO:0061005,cell differentiation involved in kidney development,2/25,59/18860,0.0338983050847458,25.5728813559322,6.88712772426445,0.00275575138374016,0.0360153290498061,0.0221418103037878,MMP9/PDGFB,2,up_DEPs
GO:0032102,negative regulation of response to external stimulus,4/25,452/18860,0.00884955752212389,6.67610619469027,4.45003010459343,0.00276188965206529,0.0360153290498061,0.0221418103037878,PGLYRP1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0042060,wound healing,4/25,453/18860,0.00883002207505519,6.66136865342163,4.44350377119097,0.0027840070308439,0.0360153290498061,0.0221418103037878,FGL1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,3/25,217/18860,0.0138248847926267,10.4294930875576,5.08987170812435,0.00286626825865647,0.0365001348563285,0.0224398633407974,OSM/PDGFA/PDGFB,3,up_DEPs
GO:0050727,regulation of inflammatory response,4/25,460/18860,0.00869565217391304,6.56,4.398365522854,0.00294226525341465,0.0368914797158913,0.0226804576619493,OSM/MMP9/PGLYRP1/MMP8,4,up_DEPs
GO:0001706,endoderm formation,2/25,62/18860,0.032258064516129,24.3354838709677,6.70507059972274,0.00303826480520746,0.0372436245754092,0.0228969522736775,MMP9/MMP8,2,up_DEPs
GO:0048008,platelet-derived growth factor receptor signaling pathway,2/25,63/18860,0.0317460317460317,23.9492063492063,6.64722221378774,0.00313533828502603,0.0372436245754092,0.0228969522736775,PDGFA/PDGFB,2,up_DEPs
GO:0051785,positive regulation of nuclear division,2/25,63/18860,0.0317460317460317,23.9492063492063,6.64722221378774,0.00313533828502603,0.0372436245754092,0.0228969522736775,TGFA/PDGFB,2,up_DEPs
GO:0006935,chemotaxis,4/25,474/18860,0.00843881856540084,6.3662447257384,4.31084631212386,0.0032771923415561,0.0372436245754092,0.0228969522736775,PPBP/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0043410,positive regulation of MAPK cascade,4/25,474/18860,0.00843881856540084,6.3662447257384,4.31084631212386,0.0032771923415561,0.0372436245754092,0.0228969522736775,OSM/TGFA/PDGFA/PDGFB,4,up_DEPs
GO:0042330,taxis,4/25,476/18860,0.00840336134453782,6.33949579831933,4.29863175014213,0.00332708468032531,0.0372436245754092,0.0228969522736775,PPBP/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0030203,glycosaminoglycan metabolic process,2/25,65/18860,0.0307692307692308,23.2123076923077,6.5354533114818,0.00333381657589262,0.0372436245754092,0.0228969522736775,PGLYRP1/PDGFB,2,up_DEPs
GO:0071222,cellular response to lipopolysaccharide,3/25,229/18860,0.0131004366812227,9.88296943231441,4.92724716407746,0.00333593201718389,0.0372436245754092,0.0228969522736775,MMP9/PPBP/MMP8,3,up_DEPs
GO:0022617,extracellular matrix disassembly,2/25,72/18860,0.0277777777777778,20.9555555555556,6.18068083633713,0.00407358370032834,0.0436588537756894,0.0268409614429811,MMP9/MMP8,2,up_DEPs
GO:0042058,regulation of epidermal growth factor receptor signaling pathway,2/25,72/18860,0.0277777777777778,20.9555555555556,6.18068083633713,0.00407358370032834,0.0436588537756894,0.0268409614429811,MMP9/PLAUR,2,up_DEPs
GO:0051965,positive regulation of synapse assembly,2/25,72/18860,0.0277777777777778,20.9555555555556,6.18068083633713,0.00407358370032834,0.0436588537756894,0.0268409614429811,BDNF/IL1RAP,2,up_DEPs
GO:0071219,cellular response to molecule of bacterial origin,3/25,247/18860,0.0121457489878543,9.16275303643725,4.70460826740604,0.00412482422175225,0.0436588537756894,0.0268409614429811,MMP9/PPBP/MMP8,3,up_DEPs
GO:0051055,negative regulation of lipid biosynthetic process,2/25,73/18860,0.0273972602739726,20.6684931506849,6.13409254048973,0.00418494206690562,0.0437272792888215,0.0268830286619038,PDGFA/PDGFB,2,up_DEPs
GO:0051148,negative regulation of muscle cell differentiation,2/25,74/18860,0.027027027027027,20.3891891891892,6.08842375078909,0.00429770885341231,0.0443371229814055,0.0272579535539542,BDNF/PDGFB,2,up_DEPs
GO:0019731,antibacterial humoral response,2/25,78/18860,0.0256410256410256,19.3435897435897,5.91435289627506,0.00476278783825482,0.0473374644899717,0.0291025290245096,PI3/WFDC2,2,up_DEPs
GO:0050772,positive regulation of axonogenesis,2/25,78/18860,0.0256410256410256,19.3435897435897,5.91435289627506,0.00476278783825482,0.0473374644899717,0.0291025290245096,NEFL/BDNF,2,up_DEPs
GO:1901184,regulation of ERBB signaling pathway,2/25,78/18860,0.0256410256410256,19.3435897435897,5.91435289627506,0.00476278783825482,0.0473374644899717,0.0291025290245096,MMP9/PLAUR,2,up_DEPs
GO:0006022,aminoglycan metabolic process,2/25,80/18860,0.025,18.86,5.83210287928294,0.00500368396230822,0.0491325593889301,0.030206132733782,PGLYRP1/PDGFB,2,up_DEPs
GO:0032703,negative regulation of interleukin-2 production,3/37,28/18860,0.107142857142857,54.6138996138996,12.5870501033844,2.20128625823399e-05,0.0276041296782543,0.0188152046493263,PTPRC/GBP1/CD34,3,down_DEPs
GO:0031589,cell-substrate adhesion,6/37,369/18860,0.016260162601626,8.28828828828829,6.26865397508908,7.49769664404541e-05,0.0321693015815266,0.0219268638329552,SPOCK1/PKD1/ITGAV/GBP1/CD34/L1CAM,6,down_DEPs
GO:0045619,regulation of lymphocyte differentiation,5/37,227/18860,0.0220264317180617,11.2275270865579,6.87318361551523,7.69600516304463e-05,0.0321693015815266,0.0219268638329552,ERBB2/PTPRC/RNF41/CTLA4/PGLYRP2,5,down_DEPs
GO:0070269,pyroptotic inflammatory response,3/37,50/18860,0.06,30.5837837837838,9.28667175450569,0.000127844465729953,0.0347449219204609,0.0236824281032605,GZMA/GBP1/TRIM21,3,down_DEPs
GO:0030098,lymphocyte differentiation,6/37,441/18860,0.0136054421768707,6.93509836366979,5.59152103419673,0.000198587495063102,0.0347449219204609,0.0236824281032605,ERBB2/PTPRC/RNF41/CD8A/CTLA4/PGLYRP2,6,down_DEPs
GO:0050852,T cell receptor signaling pathway,4/37,153/18860,0.0261437908496732,13.3262674439145,6.78720551729925,0.000223283351830484,0.0347449219204609,0.0236824281032605,PTPRC/GBP1/CD8A/CTLA4,4,down_DEPs
GO:0045620,negative regulation of lymphocyte differentiation,3/37,64/18860,0.046875,23.8935810810811,8.1336741839586,0.000266674073384259,0.0347449219204609,0.0236824281032605,ERBB2/CTLA4/PGLYRP2,3,down_DEPs
GO:0007409,axonogenesis,6/37,472/18860,0.0127118644067797,6.47961520842877,5.3452692388323,0.000286312339988831,0.0347449219204609,0.0236824281032605,ERBB2/B4GAT1/ROBO1/FGFR2/L1CAM/KEL,6,down_DEPs
GO:0032623,interleukin-2 production,3/37,66/18860,0.0454545454545455,23.1695331695332,7.99898119551803,0.000292101664066768,0.0347449219204609,0.0236824281032605,PTPRC/GBP1/CD34,3,down_DEPs
GO:0032663,regulation of interleukin-2 production,3/37,66/18860,0.0454545454545455,23.1695331695332,7.99898119551803,0.000292101664066768,0.0347449219204609,0.0236824281032605,PTPRC/GBP1/CD34,3,down_DEPs
GO:0043086,negative regulation of catalytic activity,4/37,166/18860,0.0240963855421687,12.282644089873,6.47335738673143,0.000304780016846149,0.0347449219204609,0.0236824281032605,PTPRC/GZMA/CHP1/TARBP2,4,down_DEPs
GO:0044092,negative regulation of molecular function,5/37,319/18860,0.0156739811912226,7.98949419639075,5.58200581221441,0.000375044266671555,0.034798769413403,0.02371913100284,PTPRC/GZMA/CHP1/TARBP2/TRIM21,5,down_DEPs
GO:0051057,positive regulation of small GTPase mediated signal transduction,3/37,74/18860,0.0405405405405405,20.6647187728269,7.51453673646531,0.000409352799228465,0.034798769413403,0.02371913100284,ERBB2/ROBO1/ITGAV,3,down_DEPs
GO:0007162,negative regulation of cell adhesion,5/37,326/18860,0.0153374233128834,7.81794064002653,5.50545487859851,0.000414196710348564,0.034798769413403,0.02371913100284,ERBB2/PTPRC/SPOCK1/GBP1/CTLA4,5,down_DEPs
GO:0006469,negative regulation of protein kinase activity,3/37,76/18860,0.0394736842105263,20.1209103840683,7.40520513426259,0.000442737229594844,0.034798769413403,0.02371913100284,PTPRC/CHP1/TARBP2,3,down_DEPs
GO:0070371,ERK1 and ERK2 cascade,5/37,331/18860,0.0151057401812689,7.69984485996571,5.45215914090911,0.000444003437491585,0.034798769413403,0.02371913100284,ERBB2/PTPRC/ITGAV/GBP1/FGFR2,5,down_DEPs
GO:1902105,regulation of leukocyte differentiation,5/37,343/18860,0.0145772594752187,7.43046253250335,5.32868109736714,0.000522154818655992,0.0385165966232126,0.0262532329875334,ERBB2/PTPRC/RNF41/CTLA4/PGLYRP2,5,down_DEPs
GO:0033673,negative regulation of kinase activity,3/37,83/18860,0.036144578313253,18.4239661348095,7.05324114891688,0.000573215737286874,0.0399340296976522,0.0272193671740902,PTPRC/CHP1/TARBP2,3,down_DEPs
GO:0046782,regulation of viral transcription,2/37,20/18860,0.1,50.972972972973,9.91346566737291,0.000695870632942818,0.045927461774226,0.0313045403850176,TARBP2/TRIM21,2,down_DEPs
GO:0002695,negative regulation of leukocyte activation,4/37,212/18860,0.0188679245283019,9.61754207037226,5.59436738951716,0.000766379298748159,0.0472832119520095,0.0322286309955777,ERBB2/PTPRC/CTLA4/PGLYRP2,4,down_DEPs
GO:0050851,antigen receptor-mediated signaling pathway,4/37,215/18860,0.0186046511627907,9.4833438089252,5.54652373157464,0.000807622993036564,0.0472832119520095,0.0322286309955777,PTPRC/GBP1/CD8A/CTLA4,4,down_DEPs
GO:0031400,negative regulation of protein modification process,4/37,217/18860,0.0184331797235023,9.39593971852036,5.51514646038198,0.000835976680125421,0.0472832119520095,0.0322286309955777,PTPRC/CHP1/TARBP2/TRIM21,4,down_DEPs
GO:0050848,regulation of calcium-mediated signaling,3/37,99/18860,0.0303030303030303,15.4463554463554,6.38945289930887,0.000957661669951545,0.0472832119520095,0.0322286309955777,PTPRC/CHP1/GBP1,3,down_DEPs
GO:0051348,negative regulation of transferase activity,3/37,99/18860,0.0303030303030303,15.4463554463554,6.38945289930887,0.000957661669951545,0.0472832119520095,0.0322286309955777,PTPRC/CHP1/TARBP2,3,down_DEPs
GO:0019083,viral transcription,2/37,25/18860,0.08,40.7783783783784,8.82368585517043,0.00109197808972867,0.0472832119520095,0.0322286309955777,TARBP2/TRIM21,2,down_DEPs
GO:0045859,regulation of protein kinase activity,4/37,234/18860,0.0170940170940171,8.71332871332871,5.26387709316768,0.00110610323258968,0.0472832119520095,0.0322286309955777,ERBB2/PTPRC/CHP1/TARBP2,4,down_DEPs
GO:0050866,negative regulation of cell activation,4/37,235/18860,0.0170212765957447,8.67625071880391,5.24989615110431,0.00112368739179575,0.0472832119520095,0.0322286309955777,ERBB2/PTPRC/CTLA4/PGLYRP2,4,down_DEPs
GO:0003148,outflow tract septum morphogenesis,2/37,26/18860,0.0769230769230769,39.2099792099792,8.64386476228097,0.00118151644569245,0.0472832119520095,0.0322286309955777,ROBO1/FGFR2,2,down_DEPs
GO:0097191,extrinsic apoptotic signaling pathway,4/37,239/18860,0.0167364016736402,8.5310415017528,5.19479318951997,0.00119599419520142,0.0472832119520095,0.0322286309955777,PTPRC/RNF41/ITGAV/FASLG,4,down_DEPs
GO:0007411,axon guidance,4/37,243/18860,0.0164609053497942,8.39061283505728,5.14096338213226,0.0012715105686153,0.0472832119520095,0.0322286309955777,ERBB2/B4GAT1/ROBO1/L1CAM,4,down_DEPs
GO:0001779,natural killer cell differentiation,2/37,27/18860,0.0740740740740741,37.7577577577578,8.47396978979605,0.00127446328735718,0.0472832119520095,0.0322286309955777,PTPRC/PGLYRP2,2,down_DEPs
GO:0090314,positive regulation of protein targeting to membrane,2/37,27/18860,0.0740740740740741,37.7577577577578,8.47396978979605,0.00127446328735718,0.0472832119520095,0.0322286309955777,ERBB2/CHP1,2,down_DEPs
GO:0097485,neuron projection guidance,4/37,244/18860,0.0163934426229508,8.35622507753655,5.12769881342496,0.0012909001083137,0.0472832119520095,0.0322286309955777,ERBB2/B4GAT1/ROBO1/L1CAM,4,down_DEPs
GO:0007160,cell-matrix adhesion,4/37,246/18860,0.016260162601626,8.28828828828829,5.10139571172638,0.00133030007365863,0.0472832119520095,0.0322286309955777,PKD1/ITGAV/CD34/L1CAM,4,down_DEPs
GO:0052372,modulation by symbiont of entry into host,2/37,28/18860,0.0714285714285714,36.4092664092664,8.31310935461173,0.00137080562772448,0.0472832119520095,0.0322286309955777,ITGAV/TRIM21,2,down_DEPs
GO:0001933,negative regulation of protein phosphorylation,3/37,114/18860,0.0263157894736842,13.4139402560455,5.89418199477932,0.00143883372507776,0.0472832119520095,0.0322286309955777,PTPRC/CHP1/TARBP2,3,down_DEPs
GO:0006929,substrate-dependent cell migration,2/37,29/18860,0.0689655172413793,35.1537744641193,8.16050029176203,0.00147053051525388,0.0472832119520095,0.0322286309955777,PTPRC/ROBO1,2,down_DEPs
GO:0035025,positive regulation of Rho protein signal transduction,2/37,29/18860,0.0689655172413793,35.1537744641193,8.16050029176203,0.00147053051525388,0.0472832119520095,0.0322286309955777,ERBB2/ROBO1,2,down_DEPs
GO:2000353,positive regulation of endothelial cell apoptotic process,2/37,29/18860,0.0689655172413793,35.1537744641193,8.16050029176203,0.00147053051525388,0.0472832119520095,0.0322286309955777,FASLG/CD248,2,down_DEPs
GO:0043549,regulation of kinase activity,4/37,256/18860,0.015625,7.96452702702703,4.97421114792483,0.00154002742397134,0.0482798597415015,0.0329079544280192,ERBB2/PTPRC/CHP1/TARBP2,4,down_DEPs
GO:1903706,regulation of hemopoiesis,5/37,443/18860,0.0112866817155756,5.75315722042584,4.48838776604206,0.00163955992657977,0.0489957135638319,0.0333958863542613,ERBB2/PTPRC/RNF41/CTLA4/PGLYRP2,5,down_DEPs
GO:1902106,negative regulation of leukocyte differentiation,3/37,120/18860,0.025,12.7432432432432,5.72149677706057,0.00166691527833688,0.0489957135638319,0.0333958863542613,ERBB2/CTLA4/PGLYRP2,3,down_DEPs
GO:0033688,regulation of osteoblast proliferation,2/37,31/18860,0.0645161290322581,32.8857890148213,7.87735029635028,0.00168007630242805,0.0489957135638319,0.0333958863542613,ITGAV/FGFR2,2,down_DEPs
