ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0002011,morphogenesis of an epithelial sheet,1/6,65/18860,0.0153846153846154,48.3589743589744,6.82293141607509,0.0205040263537507,0.0374279846139894,0.00976382207321462,ITGAV,1,down
GO:0045428,regulation of nitric oxide biosynthetic process,1/6,65/18860,0.0153846153846154,48.3589743589744,6.82293141607509,0.0205040263537507,0.0374279846139894,0.00976382207321462,ITGB2,1,down
GO:0043113,receptor clustering,1/6,66/18860,0.0151515151515152,47.6262626262626,6.76902574905926,0.0208167146134944,0.0376995618984545,0.00983466832133596,ITGB2,1,down
GO:2000351,regulation of endothelial cell apoptotic process,1/6,67/18860,0.0149253731343284,46.9154228855721,6.71631624407695,0.0211293196849172,0.0379667463088355,0.00990436860230492,CD248,1,down
GO:0080164,regulation of nitric oxide metabolic process,1/6,69/18860,0.0144927536231884,45.5555555555556,6.61431183897797,0.0217542803336227,0.0387429486080248,0.0101068561586152,ITGB2,1,down
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,1/6,70/18860,0.0142857142857143,44.9047619047619,6.56493545186851,0.0220666359463098,0.0387429486080248,0.0101068561586152,ITGAM,1,down
GO:1905953,negative regulation of lipid localization,1/6,70/18860,0.0142857142857143,44.9047619047619,6.56493545186851,0.0220666359463098,0.0387429486080248,0.0101068561586152,ITGAV,1,down
GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,1/6,71/18860,0.0140845070422535,44.2723004694836,6.51659197525771,0.0223789084414836,0.0389935525874335,0.0101722311097653,ITGAV,1,down
GO:0031343,positive regulation of cell killing,1/6,73/18860,0.0136986301369863,43.0593607305936,6.42286189560825,0.0230032041500708,0.0391423525674377,0.0102110484958533,ITGAM,1,down
GO:0038034,signal transduction in absence of ligand,1/6,73/18860,0.0136986301369863,43.0593607305936,6.42286189560825,0.0230032041500708,0.0391423525674377,0.0102110484958533,ITGAV,1,down
GO:0072577,endothelial cell apoptotic process,1/6,73/18860,0.0136986301369863,43.0593607305936,6.42286189560825,0.0230032041500708,0.0391423525674377,0.0102110484958533,CD248,1,down
GO:0045123,cellular extravasation,1/6,74/18860,0.0135135135135135,42.4774774774775,6.37740857098265,0.023315227398865,0.0391423525674377,0.0102110484958533,ITGB2,1,down
