gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
LAMP3,0.272421676671549,,,,,0.852617521444456,,,0.211538461538462,0.596153846153846,,,,0.692307692307692,1,0.711538461538462,0.112408871233586,Up in MS
IL1RN,0.017169714752923,0.0126182742197349,0.0105021219907455,0.0118801861309537,0.0225108329688697,0.0540978036900573,0.0133971509626525,,0.0403225806451613,0.00940860215053763,0.00739247311827957,0.999327956989247,0.0598118279569892,1,0.0161290322580645,0.204301075268817,0.111373956717798,Up in MS
CTSF,0.440255087268777,0.45351455164321,0.448440829626164,0.396220897155198,0.480777332326101,0.531005043259681,0.400378512434346,0.465385209122175,0.4375,0.38125,0.725,,0.09375,0.7125,0.875,1,0.110262023830356,Up in MS
LTO1,0.273530522822878,0.155238499093935,0.138432047350323,0.190292552305608,0,0.562252021617124,0.29294245218449,0.604284758185397,0.74491696294512,0.861830021595274,1,0.851201561717987,0.787430802454267,0.702403123435974,0.946857700613567,0.500462385767527,0.10384158571065,Up in MS
ARL13B,0.0923838537958928,0.0387124568684394,0.0647208098257693,0.00484349508249277,0.0534172249738869,0.159772827744652,0,0.144587915220162,0.40360231701182,0.451958885902753,0.360618700219879,0.570163832080591,0.000630909587373347,0.419721173308797,0.167192424656144,1,0.0930503728036785,Up in MS
TMED4,0.00863637385789161,0.0085871138835012,0.00993906393030294,0,0.00965485504370826,0.0216793559293323,0.00405691636222704,0.0159386288830735,0.480310707193314,0.363347388096157,0.47233593543669,0.434455769592724,0.378632367296354,0.310846807365047,1,0.433791205279672,0.0926832855185909,Up in MS
LGALS9,0.0246326585206701,0.0143022012274446,0.0143121686193797,0.00718570158208914,0.0146717987367491,0.037178747634689,0.0222969757116228,0.00822197979725057,0.0601915184678523,0.195166438668491,0.111263109895121,1,0.125398996808026,0.719106247150023,0,0.101231190150479,0.0918474629619327,Up in MS
ACP5,0.00841243504504908,0.0153640802874832,0.0110734368475125,0.0113344621303258,0.00359272694064897,0.0203270783122126,0.00902151757778809,,0.0910020449897751,0.204498977505112,0.0286298568507158,0.0354464894342195,0.102931152010907,1,0.113496932515337,0.124744376278119,0.0886366085003919,Up in MS
PRND,,,,,,,,,,,,1,,,,,0.0883482059176566,Up in MS
GDNF,0.276139569151047,,0.454732474677382,,1,0.360892699626224,,,,,,,,,,,0.0842867810943755,Up in MS
SIGLEC1,0.0458889333230581,0.0369567487281581,0.0467293757706806,,0.0344750117792302,0.156172051117151,,0.0318069903674303,,,,0.0247191011235955,0.0269662921348315,1,,,0.0842366011668063,Up in MS
IFIT3,0.287063136344923,0.215336321881885,0.172399647124101,0.166933304621045,0.200658521961469,0.280381640909528,0.174759950487884,0.199583488043577,0.127340823970037,0.131086142322097,0.344569288389513,1,0.0112359550561798,0.812734082397004,0,0.599250936329588,0.0834366690100685,Up in MS
MERTK,0.126712283791717,0.115067550842132,0.120255359155525,0.0945354598184241,0.0864762780077293,0.17657702922386,0.126144095575837,0.0666098015495517,0.0145395799676898,0.0452342487883683,,0.495961227786753,,1,0.429725363489499,0.0533117932148627,0.0829784207794223,Up in MS
IL15,0.119815494814734,0.0927828253007767,0.0888483104522362,0.0800968559731847,0.0406787978834672,0.108339277677645,0.05797285050096,,0.0903846153846154,0.169230769230769,0.151923076923077,1,0.0230769230769231,0.303846153846154,0.165384615384615,,0.0804689476582717,Up in MS
IL2RA,0.0508762582713489,0.0700496773323257,,,,0.159499895075774,,,1,0.48015873015873,0.484126984126984,,,0.464285714285714,,0.857142857142857,0.0746143391211372,Up in MS
