ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set,database,category,subcategory
GO:0071674,mononuclear cell migration,4/57,235/18860,0.0170212765957447,5.63195222097798,3.93398814139606,0.0055371754474942,0.0406116621943282,0.027830653299299,LGALS9/TREM2/CX3CL1/IL6,4,up_DEPs,GO_BP,,
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,2/57,37/18860,0.0540540540540541,17.8852536747274,5.66040121618156,0.00558465735173835,0.0406116621943282,0.027830653299299,CTSF/TREM2,2,up_DEPs,GO_BP,,
GO:0006910,"phagocytosis, recognition",2/57,37/18860,0.0540540540540541,17.8852536747274,5.66040121618156,0.00558465735173835,0.0406116621943282,0.027830653299299,TREM2/C4BPB,2,up_DEPs,GO_BP,,
GO:0050767,regulation of neurogenesis,5/57,378/18860,0.0132275132275132,4.37668244685789,3.65127734302722,0.00561604120391716,0.0406116621943282,0.027830653299299,NEFL/GFAP/TREM2/CX3CL1/IL6,5,up_DEPs,GO_BP,,
GO:0002440,production of molecular mediator of immune response,4/57,236/18860,0.0169491525423729,5.6080880166518,3.92214342394936,0.00562014579103218,0.0406116621943282,0.027830653299299,LILRB4/TNFSF13/ACP5/IL6,4,up_DEPs,GO_BP,,
GO:0030595,leukocyte chemotaxis,4/57,237/18860,0.0168776371308017,5.58442519801614,3.91036617337793,0.0057039452659271,0.0408337082852134,0.0279828186488067,CHGA/LGALS9/CX3CL1/IL6,4,up_DEPs,GO_BP,,
GO:0097529,myeloid leukocyte migration,4/57,237/18860,0.0168776371308017,5.58442519801614,3.91036617337793,0.0057039452659271,0.0408337082852134,0.0279828186488067,CHGA/TREM2/CX3CL1/IL6,4,up_DEPs,GO_BP,,
GO:0019882,antigen processing and presentation,3/57,120/18860,0.025,8.2719298245614,4.39985834079176,0.00572458124576097,0.0408337082852134,0.0279828186488067,CTSF/TREM2/PDIA3,3,up_DEPs,GO_BP,,
GO:0042176,regulation of protein catabolic process,5/57,383/18860,0.0130548302872063,4.31954560029316,3.61364496477372,0.0059316312923952,0.0421297914870121,0.0288710079099038,GFAP/LAMP3/TREM2/ELOB/C4BPB,5,up_DEPs,GO_BP,,
GO:0006516,glycoprotein catabolic process,2/57,39/18860,0.0512820512820513,16.9680611785875,5.49599500183737,0.00618959744159121,0.0428629622830191,0.0293734404903583,GLB1/MMP12,2,up_DEPs,GO_BP,,
