gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
PRR4,,,,,,,0.418439716312057,0.666666666666667,,,,1,0.432624113475177,,-0.111767861125419,Down in MS
CD8A,,,,,0.0164068908941756,0.0123051681706317,1,0.0287120590648072,0.229286300246103,0.029532403609516,0.0274815422477441,0.0225594749794914,0.0549630844954881,0.00615258408531583,-0.113443540441874,Down in MS
ITGA11,1,,,,0.715083798882682,,,,,,,,,,-0.116652794402396,Down in MS
RET,,0.0317796610169492,,,0.086864406779661,0.173728813559322,,,,0.0508474576271186,1,,,0.114406779661017,-0.119392272828101,Down in MS
MSTN,,,,,1,0.923076923076923,,,,,,,,,-0.121236554208916,Down in MS
FCRL6,,,,,,,0.23719165085389,,1,0.0123339658444023,,,0.015180265654649,,-0.12177116865524,Down in MS
CHRDL2,,,,,,,1,,,,,,,,-0.126641843267805,Down in MS
LPO,,,,,,,0.337209302325581,0.697674418604651,,,,1,0.465116279069768,,-0.134824514176727,Down in MS
CPA2,,,0.588235294117647,,,,,,,,,1,,,-0.137003886867441,Down in MS
CDA,0.0516746411483254,,,,,,0.0143540669856459,,,1,,0.323444976076555,0.0210526315789474,0.0488038277511962,-0.138355061830812,Down in MS
ITGAM,0.458920187793427,,,0.0293427230046948,0.00821596244131455,0.00821596244131455,0.116197183098592,0.106807511737089,0.793427230046949,0.273474178403756,0.0105633802816901,1,,0.502347417840376,-0.139130049795542,Down in MS
CA14,,,1,,,,,,,,,,,,-0.139579185125591,Down in MS
CST5,,,,,,,,0.333333333333333,,,,1,,,-0.180392863280627,Down in MS
CA6,,,,,,,0.48471615720524,0.868995633187773,,,,1,0.508733624454148,0.0349344978165939,-0.22634936588203,Down in MS
OMG,0.0379746835443038,0.182489451476793,1,0.776371308016878,0.285864978902954,0.188818565400844,0.0126582278481013,,0.0189873417721519,,,0.0168776371308017,,,-0.276478433803502,Down in MS
