gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
SSBP1,0.0062862669245648,0,0.0681818181818182,0.0125725338491296,0.0164410058027079,0.0111218568665377,0.608800773694391,0.5178916827853,0.611702127659575,0.412959381044487,0.479206963249516,0.569148936170213,0.606866537717601,1,0.0517169908676724,Up in MS
THPO,,,,,1,0.571428571428571,,,,,,,,,0.05096536490456,Up in MS
TNFSF13,,,,,,,,0.223214285714286,,0.232142857142857,0.232142857142857,1,,,0.0446621579903124,Up in MS
ST6GAL1,1,0.0176357604330365,0,0.233455561375939,0.0752575519469181,0.0483673825737734,0.0455735987427973,0.174087654967697,0.0274140038414528,0.0185088178802165,0.0333507944822769,0.0424305919329492,0.27536231884058,0.0104766893661603,0.0443579181699118,Up in MS
SERPIND1,,,,,0.789473684210526,,,,,,,,1,,0.0429097378052251,Up in MS
MANSC1,0.884353741496599,0.482993197278912,0.63265306122449,0.394557823129252,1,0.795918367346939,0.0816326530612245,0.238095238095238,0.285714285714286,0,0.183673469387755,0.0884353741496599,0.0340136054421769,0.435374149659864,0.0422505994494181,Up in MS
PSAP,0.00740373081854655,0.0192331554783472,0.0108781072920544,0.00148901848864623,0,0.00264714397981552,0.0141870372668238,0.050295735616495,0.0331720229970633,1,0.167018240476486,0.661661910079828,0.206518592050296,0.114778508499814,0.0407944329007838,Up in MS
PDIA3,0.0199214365881033,0.00617283950617284,0.0232884399551066,0,0.00112233445566779,0.0246913580246914,0.495791245791246,0.385802469135803,0.872053872053872,0.645342312008979,0.766273849607183,0.571829405162739,1,0.620089786756453,0.0318561382014512,Up in MS
ROBO4,1,0.111675126903553,,,,,,0.106598984771574,,,,0.121827411167513,0.0862944162436548,,0.0239627259640776,Up in MS
EGFR,0.275,1,0.00928571428571429,0.424285714285714,0.00857142857142857,0.731428571428571,0.0192857142857143,0.015,,,,0.0271428571428571,0.0321428571428571,0.0571428571428571,-0.0282117123838165,Down in MS
NEO1,0.146454767726161,0.537408312958435,1,0.275550122249389,0.294376528117359,0.170171149144254,0.0149144254278729,0.00855745721271394,0.015158924205379,,,0.00440097799511002,0.00757946210268949,0.0132029339853301,-0.0307764222137807,Down in MS
ITGB1,0.095900439238653,0,0.0905319668130796,0.0366032210834553,0.0263543191800878,0.0612493899463153,0.453391898487067,0.248901903367496,0.535139092240117,1,0.128111273792094,0.456320156173743,0.288189360663738,0.168374816983895,-0.0353644079742291,Down in MS
ROBO1,0.0339450807230578,0.0529874430798951,0.307713536635849,0.225541603422106,0.206361252932248,1,,0.00193183386228784,,,,0.00144887539671588,0.000965916931143921,0.00482958465571961,-0.0369287500325455,Down in MS
LRTM2,,,,,1,0.755102040816326,,,,,,,,,-0.0382967619488047,Down in MS
PENK,0.124137931034483,,,,,1,,,,,,0.0827586206896552,0.131034482758621,0.103448275862069,-0.0396651473842884,Down in MS
SEZ6L2,0.0812641083521445,0.090293453724605,0.275395033860045,0.117381489841986,0.623024830699774,1,,,,,,0.0338600451467269,0.0586907449209932,,-0.0402569142473742,Down in MS
VAT1,0.0548902195608782,,0.030938123752495,0.0249500998003992,0.0139720558882236,0.0149700598802395,0.12375249500998,0.144710578842315,0.0409181636726547,0.0269461077844311,,0.49001996007984,0.187624750499002,1,-0.0412646517276114,Down in MS
ADGRE2,,,0.0464629552113855,,,0.0046044370029301,0.00920887400586019,0.00879028882377564,0.00627877773126831,1,0.0899958141481792,0.302637086647133,0.00586019254918376,0.30514859773964,-0.0413159677224541,Down in MS
SCRG1,0.0241343126967471,0.457502623294858,0.253934942287513,1,0.18887722980063,0.205666316894019,0.0335781741867786,,0.0251836306400839,0.0577124868835257,0.0146904512067156,0.0314795383001049,,0.00944386149003148,-0.0415891770499142,Down in MS
SPOCK1,0.02000470698988,0.102377029889386,1,0.301953400800188,0.286184984702283,0.394210402447635,,,,,,0.002000470698988,0.002000470698988,,-0.0419032420074684,Down in MS
GSR,0.0551181102362204,0.110236220472441,0,0.0984251968503937,0.322834645669291,0.665354330708661,0.381889763779528,0.15748031496063,0.393700787401575,1,0.0393700787401575,0.783464566929134,0.346456692913386,0.633858267716535,-0.0430525452570898,Down in MS
ADGRG2,0.478723404255319,0.361702127659574,0.691489361702128,1,0.457446808510638,0.51063829787234,,,,,,,,,-0.0442386186165247,Down in MS
VGF,0.298050139275766,0.0947075208913649,0.125348189415042,0.105849582172702,0.610027855153203,1,,,,0.103064066852368,,,,,-0.0458163846478681,Down in MS
CD34,1,0.043613707165109,,,,,0.0529595015576324,0.0872274143302181,0.0280373831775701,,,0.0996884735202492,0.0778816199376947,0.043613707165109,-0.0462281006954135,Down in MS
SETMAR,0.311827956989247,0.32258064516129,1,0.537634408602151,0.494623655913978,0.537634408602151,0.182795698924731,0.032258064516129,0.118279569892473,0.387096774193548,0,0.129032258064516,0.0860215053763441,0.32258064516129,-0.0462961976456125,Down in MS
IGDCC4,0.761363636363636,1,0.0568181818181818,0.9375,,0.346590909090909,,,,,,,,,-0.0463112508477995,Down in MS
RTBDN,,,,,1,0.888888888888889,,,,,,,,,-0.0466614845597417,Down in MS
GALNT7,0.336489898989899,0.393939393939394,0.276515151515151,0.381313131313131,0.412247474747475,1,0.0214646464646465,0.0340909090909091,0,0.0202020202020202,0.161616161616162,0.0814393939393939,0.0132575757575758,0.0233585858585859,-0.0466749390446568,Down in MS
RGMB,0.163636363636364,0.215151515151515,0.187878787878788,1,0.609090909090909,0.684848484848485,0.0939393939393939,0.375757575757576,,,,0.1,0.142424242424242,,-0.049053013904389,Down in MS
L1CAM,0.235807860262009,0.109170305676856,0.0698689956331878,0.0611353711790393,1,0.973799126637555,0.0698689956331878,,,,,,,0.270742358078603,-0.049082971760823,Down in MS
COL15A1,1,,,,,0.0626398210290828,0.0425055928411633,0.0559284116331096,,,,0.0961968680089485,0.087248322147651,0.0447427293064877,-0.0496815439438466,Down in MS
PTPRN2,0.0605560791705938,0.0360508953817154,0.0237983034872762,0.305136663524976,1,0.978557964184731,0.0311027332704995,0.0398209236569274,0.0355796418473139,,,0.0212064090480679,0.016258246936852,0.0721017907634307,-0.0502575779907432,Down in MS
TF,0.00877805486284289,0.034214463840399,1,0.0421945137157107,0.0328179551122195,0.0331172069825436,0.00518703241895262,0.00967581047381546,0.000897755610972569,,0.00169576059850374,0.000897755610972569,0.0351122194513716,,-0.0507815812951981,Down in MS
CR1,0.0401891252955083,,0.0945626477541371,0.0307328605200946,,,0.0307328605200946,0.957446808510638,,0.546099290780142,,1,0.0307328605200946,0.0921985815602837,-0.0518435042104538,Down in MS
ADGRE5,0.0114709851551957,0,0.0209176788124157,0.00157444894287,0.000449842555105713,0.00112460638776428,0.420602789023842,0.190058479532164,0.673639226270805,1,0.339181286549708,0.277103013945119,0.176563202878992,0.249437696806118,-0.0522566102198883,Down in MS
BLMH,0.592274678111588,0.369098712446352,0.72961373390558,1,0.609442060085837,0.682403433476395,0.742489270386266,0.158798283261803,0.815450643776824,0,0.163090128755365,0.416309012875537,0.785407725321888,0.772532188841202,-0.0524171405360057,Down in MS
ART3,,,0.183060109289618,0.128415300546448,1,0.0437158469945355,,,,,,,,,-0.053062395501243,Down in MS
MEPE,,,,,,1,,,,,,,,,-0.0533789914849618,Down in MS
HRG,,,,,,,,,,,,,1,,-0.053617656644676,Down in MS
DPP4,0.109634551495017,,,0.0697674418604651,1,0.18936877076412,1,0.119601328903655,0.122923588039867,,0.767441860465116,0.149501661129568,0.0431893687707641,0.740863787375415,-0.0536769362126473,Down in MS
