gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
MIA,,,,,,,,,,,,,,,-0.0724455909349855,Down in MS
CD209,,,,,,,,,,,,1,,,-0.0724575950174542,Down in MS
SCN4B,0.102272727272727,0.159090909090909,0.0738636363636364,0.0795454545454545,1,0.448863636363636,,,,,,,,,-0.0732821360800069,Down in MS
GPC1,0.105263157894737,0.844054580896686,0.161793372319688,0.341130604288499,1,0.840155945419103,0.0409356725146199,0.0487329434697856,0.0214424951267057,,,0.0409356725146199,0.0487329434697856,0.0448343079922027,-0.073986442684422,Down in MS
MEGF10,0.0779842342342342,0.583051801801802,1,0.257601351351351,0.0123873873873874,0.00929054054054054,,,,,,,,,-0.0742312477272689,Down in MS
ACHE,,0.33695652173913,,0.869565217391305,0.489130434782609,1,,,,,,0.173913043478261,0.195652173913043,,-0.0752029419678696,Down in MS
CRTAC1,0.0441176470588235,0.0457516339869281,0.0931372549019608,0.839869281045752,0.359477124183007,1,,,,,,,0.0163398692810458,0.0310457516339869,-0.076838109961117,Down in MS
ART3,,,0.183060109289618,0.128415300546448,1,0.0437158469945355,,,,,,,,,-0.0769123274365773,Down in MS
WIF1,0.0657223796033994,1,,0.00793201133144476,,0.254390934844193,,0.0084985835694051,,,,0.00906515580736544,,0.0396600566572238,-0.0783652408022315,Down in MS
LRRN1,0.00433341830231965,0.152179454499108,0.012235534030079,1,0.12974764211063,0.117002294162631,,0.0107060922763191,0.00356869742543972,,,,0.0191180219219985,,-0.0787209473062374,Down in MS
CBLN4,0.0602006688963211,0.0936454849498328,0.0602006688963211,,0.872909698996656,1,,,,,,,,,-0.0794457355843854,Down in MS
GOT1,0.112132352941176,0.338235294117647,0.518382352941177,0.246323529411765,0.724264705882353,1,0.167279411764706,0.376838235294118,0.0588235294117647,0.196691176470588,0,0.108455882352941,0.378676470588235,0.139705882352941,-0.0796421873733363,Down in MS
FAM3B,0.3,,,,,,0.283333333333333,0.816666666666667,,0.583333333333333,,0.633333333333333,,1,-0.0800572203157639,Down in MS
DNER,0.0198092443140132,0.159696747370995,0.563952066519932,1,0.0569821472242602,0.778919051112742,,,,,,0.00807043286867205,,,-0.0803194266510341,Down in MS
RGMA,0.0654893303899927,1,0.0103016924208977,0.0765268579838116,0.119941133186166,0.0198675496688742,0.00956585724797645,,,,,0.0125091979396615,0.00956585724797645,0.00735835172921266,-0.0810393283365679,Down in MS
SLURP1,,,,,,,0.109120521172638,,,,,0.117263843648208,,1,-0.0810472294785482,Down in MS
HSPA1A,0.185855345596712,0.198436168613102,0.0919252167811137,0.0033081048568994,0,0.000751842012931683,0.481780361886622,0.193123151721718,0.0225552603879505,0.302591348804571,0.0264147160543331,1,0.633201343291063,0.91955290461631,-0.0832581086664241,Down in MS
PLA2G1B,,,,,,,,,,,,1,,0.5,-0.0839463773071739,Down in MS
SMOC2,0.67741935483871,,,0.204301075268817,,1,0.129032258064516,0.129032258064516,,,,0.290322580645161,0.333333333333333,0.408602150537634,-0.0845100409191514,Down in MS
FAP,1,0.311764705882353,0.229411764705882,,0.752941176470588,,,,,,,,0.1,,-0.0848344058129568,Down in MS
KLRK1,,,,,,,1,0.136690647482014,0.623501199040767,0.0311750599520384,0.0431654676258993,,0.0359712230215827,,-0.085319136950847,Down in MS
ITGA2,0.0388068346365479,0.0251954821894005,1,,,,0.00839849406313351,,,,,0.00637127135823921,0.0107153200115841,,-0.0896260745212842,Down in MS
KLK6,,,1,,,,,,,,,,,,-0.0903796060116106,Down in MS
PLXNA4,0.0389972144846797,0.0198965380023876,0.0135296458416236,0.193394349383207,0.905292479108635,1,0.00397930760047752,0.00517309988062077,0.0139275766016713,,0.255471547950657,,,0.0107441305212893,-0.0910952106441237,Down in MS
GZMA,,,,,,,0.561524985400851,0.00775840493868357,1,0.0182697922749645,0.018603487111037,0.00709101526653875,0.0236923333611412,0.00342037206974222,-0.0919757931558528,Down in MS
BAG3,0.0960086299892125,0.347357065803668,0.00215749730312837,,0.00323624595469256,0.0161812297734628,0.395900755124056,0.203883495145631,0.0334412081984898,0.196332254584682,0.0204962243797195,1,0.496224379719526,0.502696871628911,-0.0920561950966553,Down in MS
CLEC4M,,,,,,,,,,,,,1,,-0.0922040568677285,Down in MS
MYOC,,,,,,,,,,,,,1,,-0.0922876661699418,Down in MS
COMP,,,,,,,0.705882352941177,,,,,0.941176470588235,,1,-0.0923581781562829,Down in MS
CHGB,0.291803278688525,0.232786885245902,0.160655737704918,0.232786885245902,1,0.904918032786885,,,,,,0.0327868852459016,,,-0.0933470763465684,Down in MS
ITGAV,0.400833829660512,0.730792138177487,0.834425253126861,1,0.178082191780822,0.172721858248958,0.0256104824300179,0,0.0142942227516379,0.185824895771292,0.0244192972007147,0.198332340678976,0.0148898153662895,0.171530673019655,-0.0947670749018349,Down in MS
CD160,,,,,,,0.209893666204346,0.00554785020804438,1,0.00508552935737402,0.0120203421174295,,0.0124826629680999,,-0.0949516159923201,Down in MS
NPTXR,0.0374220374220374,0.187110187110187,0.203742203742204,0.372141372141372,0.837837837837838,1,0.0602910602910603,,0.0727650727650728,,,,,,-0.0952729047915029,Down in MS
BCAN,0.0329263780984092,0.477617462079171,0.0118386977432482,1,0.0603033666296707,0.0717721050684425,,,,,0.00591934887162412,,,0.00665926748057714,-0.097450362262996,Down in MS
NPPC,,,0.27906976744186,,,0.325581395348837,0.395348837209302,0.27906976744186,,,,0.325581395348837,0.906976744186047,1,-0.0998804225153601,Down in MS
MXRA8,0.887323943661972,1,,,,,0.28169014084507,0.183098591549296,,,,0.408450704225352,0.549295774647887,0.309859154929578,-0.100443532415895,Down in MS
ITGB2,0.0377001455604076,,,,,,0.317612809315866,0.135080058224163,1,0.929694323144105,0.172634643377001,0.716011644832606,0.0407569141193595,0.038136826783115,-0.101055746312718,Down in MS
RET,,0.0317796610169492,,,0.086864406779661,0.173728813559322,,,,0.0508474576271186,1,,,0.114406779661017,-0.104420924139557,Down in MS
ITGB5,1,0.903448275862069,0.196551724137931,0.26551724137931,,0.293103448275862,0.0327586206896552,0.0206896551724138,,0.0189655172413793,,0.525862068965517,0.0586206896551724,,-0.105983437348862,Down in MS
SPINK6,,,,,,,,,,,,,,,-0.106050851408444,Down in MS
HPGDS,0.0291461029891051,,,,,,0.00912561691032685,0.00102430393891424,,,,0.0220690939566068,0.00148989663842071,1,-0.114033703550383,Down in MS
GRP,1,,,,,,,,,,,,,,-0.114546927519402,Down in MS
ITGA11,1,,,,0.715083798882682,,,,,,,,,,-0.115395115344971,Down in MS
ENPP5,0.0677966101694915,0.648305084745763,0.406779661016949,0.351694915254237,1,0.580508474576271,0.161016949152542,0.038135593220339,0.610169491525424,,0.0593220338983051,,,,-0.118129471937074,Down in MS
FGF23,,,,,,,,,,,,,,,-0.12268256022031,Down in MS
PRR4,,,,,,,0.418439716312057,0.666666666666667,,,,1,0.432624113475177,,-0.123384016749191,Down in MS
CHAD,,0.230769230769231,,1,,,,0.192307692307692,,,,,0.192307692307692,,-0.130457496597498,Down in MS
CDA,0.0516746411483254,,,,,,0.0143540669856459,,,1,,0.323444976076555,0.0210526315789474,0.0488038277511962,-0.131300773436664,Down in MS
CLEC4A,0.102272727272727,0.105113636363636,0.0767045454545455,0.119318181818182,0.0596590909090909,0.0653409090909091,,0.0795454545454545,0.0454545454545455,0.357954545454545,0.159090909090909,1,,,-0.132277872744351,Down in MS
MSTN,,,,,1,0.923076923076923,,,,,,,,,-0.133671572863376,Down in MS
LPO,,,,,,,0.337209302325581,0.697674418604651,,,,1,0.465116279069768,,-0.133759375553927,Down in MS
FCRL6,,,,,,,0.23719165085389,,1,0.0123339658444023,,,0.015180265654649,,-0.13463456368775,Down in MS
AMY2A,,1,,,0.68421052631579,,,,,,,,,,-0.13864721043498,Down in MS
CPA2,,,0.588235294117647,,,,,,,,,1,,,-0.14581592092882,Down in MS
CHRDL2,,,,,,,1,,,,,,,,-0.149490030928944,Down in MS
ITGAM,0.458920187793427,,,0.0293427230046948,0.00821596244131455,0.00821596244131455,0.116197183098592,0.106807511737089,0.793427230046949,0.273474178403756,0.0105633802816901,1,,0.502347417840376,-0.150433425018681,Down in MS
AMY2B,0.174061433447099,0.901023890784983,0.655290102389079,0.34641638225256,1,0.783276450511945,0.0290102389078498,0.0392491467576792,0.015358361774744,0.0392491467576792,0.0221843003412969,0.110921501706485,0.0460750853242321,,-0.151778502734438,Down in MS
CA14,,,1,,,,,,,,,,,,-0.156699425708932,Down in MS
INSL5,,,,,,,,,,,,,,,-0.161813429017583,Down in MS
OBP2B,,,,,1,,,,,,,,,,-0.162521914951461,Down in MS
CST5,,,,,,,,0.333333333333333,,,,1,,,-0.214536102848226,Down in MS
PPY,,,,,,,,1,,,,,,,-0.252168843628487,Down in MS
