ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,4/36,201/18860,0.0199004975124378,10.4256495301271,5.87516079921259,0.000564669666503315,0.0119571278503421,0.00790433254311197,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:0002520,immune system development,4/36,208/18860,0.0192307692307692,10.0747863247863,5.75519436913576,0.000642077106810759,0.0130331181077057,0.00861562248780442,LILRB4/LGALS9/IL15/IL2RA,4,up_DEPs
GO:0002643,regulation of tolerance induction,2/36,20/18860,0.1,52.3888888888889,10.0553779683609,0.00065867456882357,0.0130331181077057,0.00861562248780442,LILRB4/IL2RA,2,up_DEPs
GO:0051580,regulation of neurotransmitter uptake,2/36,20/18860,0.1,52.3888888888889,10.0553779683609,0.00065867456882357,0.0130331181077057,0.00861562248780442,GFAP/GDNF,2,up_DEPs
GO:0071636,positive regulation of transforming growth factor beta production,2/36,20/18860,0.1,52.3888888888889,10.0553779683609,0.00065867456882357,0.0130331181077057,0.00861562248780442,LGALS9/CX3CL1,2,up_DEPs
GO:0032634,interleukin-5 production,2/36,21/18860,0.0952380952380952,49.8941798941799,9.80375645423546,0.000727135444017237,0.0137751397503587,0.00910614043585391,LILRB4/IL17RB,2,up_DEPs
GO:0032674,regulation of interleukin-5 production,2/36,21/18860,0.0952380952380952,49.8941798941799,9.80375645423546,0.000727135444017237,0.0137751397503587,0.00910614043585391,LILRB4/IL17RB,2,up_DEPs
GO:0002696,positive regulation of leukocyte activation,5/36,381/18860,0.0131233595800525,6.87518226888306,5.06639706186832,0.000737862762056812,0.0137751397503587,0.00910614043585391,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0050672,negative regulation of lymphocyte proliferation,3/36,95/18860,0.0315789473684211,16.5438596491228,6.64203267946645,0.000783631104266686,0.0137751397503587,0.00910614043585391,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0022408,negative regulation of cell-cell adhesion,4/36,220/18860,0.0181818181818182,9.52525252525252,5.56224689146106,0.00079187696780595,0.0137751397503587,0.00910614043585391,LILRB4/LGALS9/IL1RN/IL2RA,4,up_DEPs
GO:0032616,interleukin-13 production,2/36,22/18860,0.0909090909090909,47.6262626262626,9.56927803635446,0.000798889629266867,0.0137751397503587,0.00910614043585391,LGALS9/IL17RB,2,up_DEPs
GO:0032656,regulation of interleukin-13 production,2/36,22/18860,0.0909090909090909,47.6262626262626,9.56927803635446,0.000798889629266867,0.0137751397503587,0.00910614043585391,LGALS9/IL17RB,2,up_DEPs
GO:0035739,"CD4-positive, alpha-beta T cell proliferation",2/36,22/18860,0.0909090909090909,47.6262626262626,9.56927803635446,0.000798889629266867,0.0137751397503587,0.00910614043585391,LGALS9/IL2RA,2,up_DEPs
GO:2000561,"regulation of CD4-positive, alpha-beta T cell proliferation",2/36,22/18860,0.0909090909090909,47.6262626262626,9.56927803635446,0.000798889629266867,0.0137751397503587,0.00910614043585391,LGALS9/IL2RA,2,up_DEPs
GO:0032945,negative regulation of mononuclear cell proliferation,3/36,97/18860,0.0309278350515464,16.2027491408935,6.56464855583861,0.000832545583359006,0.0141532749171031,0.00935610900201818,LILRB4/LGALS9/IL2RA,3,up_DEPs
