cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
monocytes,2915,1227,67,21,0.621663465175673,0.97458169798308,0.0797356015117435,"ASGR1,BLOC1S2,BST2,CD83,COQ7,CST7,EDEM2,FUOM,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,MARCO,MN1,QSOX1,RBKS,SNU13,TNFRSF10A,TNFRSF10B",0.10251720194367,up,C0_vs_None,C0
Microglial cells,2915,1150,67,19,0.601023949024247,0.979391255636855,0.0758753657254001,"ALMS1,APOE,ARMCX2,BLOC1S2,BST2,C1R,C1S,CD83,FAM20A,GPNMB,GTF2IRD1,KIRREL1,LCP1,LSM8,MRC1,PTGR1,SNU13,TNFRSF10B,VEGFB",0.10251720194367,up,C0_vs_None,C0
Fibroblasts,2915,173,90,10,2.04074125837447,0.038306694667125,0.0638349934449545,"ACTA2,AKAP12,CYTL1,F10,IL34,MXRA8,PCDH7,PDGFRB,PEAR1,TTR",0.104457262000835,down,C0_vs_None,C0
monocytes,2915,1227,54,15,0.52340411661975,0.990306357053044,0.0363199545961586,"CST7,CTSL,CXCL1,ERN1,FCN1,ITGAL,ITGB2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,S100A11,SUMF1",0.130751836546171,up,C1_vs_None,C1
Oligodendrocyte precursor cells,2915,1015,54,11,0.473260002651744,0.993616717662841,0.0295555772210389,"CTSL,DCC,ENPP2,GHR,NPTN,PALLD,PDXDC1,RBM25,SUMF1,TIMP3,VEGFB",0.130751836546171,up,C1_vs_None,C1
Excitatory neurons,2915,1114,90,42,1.43062895826643,0.0598186652797431,0.0989972858515694,"AKAP12,ALDH5A1,ARG2,ARL2BP,ART3,BRSK2,CDC123,CHGB,CHM,CSDE1,DKK3,DTNB,EXTL1,FAM171B,FGF9,GABARAP,GNPDA2,GPR158,HDGF,HS6ST2,IGSF21,IL34,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PODXL2,PRRT3,RAP1A,RGMB,SCG3,SLITRK1,SNAP25,SNX2,SUSD5,TTN,VGF,VWC2L,WASL",0.13707316502525,down,C0_vs_None,C0
Oligodendrocytes,2915,1062,90,25,0.663243674316794,0.969447244066712,0.0949182443447917,"ARL2BP,BRSK2,CDC123,CHM,CSDE1,DKK3,DTNB,FAM171B,GABARAP,GNPDA2,GPR158,GPR37,HDGF,KLK6,LPP,MAPRE3,MCTS1,PCDH7,PODXL2,RAP1A,SLITRK1,SNAP25,SNX2,TMPRSS5,WASL",0.13707316502525,down,C0_vs_None,C0
Fibroblasts,2915,173,67,7,1.88446873416759,0.0993361147592364,0.115134786010078,"C1R,C1S,GPNMB,ICAM1,IL6,KIRREL1,SOD3",0.138161743212094,up,C0_vs_None,C0
Excitatory neurons,2915,1114,33,7,0.431803144072551,0.988931861140245,0.0474961543666586,"COPB2,CPQ,GLO1,MMUT,SCG2,SLC39A14,SNED1",0.142488463099976,down,C1_vs_None,C1
Macrophages,2915,1416,33,10,0.456570433280732,0.98983606509307,0.0364651885095546,"CD2,COPB2,CPQ,GLO1,ITGB7,MMP7,MMUT,RPS10,SMPDL3A,SPINK5",0.142488463099976,down,C1_vs_None,C1
Endothelial,2915,1019,33,6,0.410109048664282,0.990006869908354,0.0439032339934301,"COPB2,EDN1,GLO1,RPS10,SNED1,TGFBR3",0.142488463099976,down,C1_vs_None,C1
NK-cells,2915,1142,33,7,0.414512787297765,0.991746546451631,0.0467393330352921,"CD2,COPB2,CPQ,GLO1,ITGB7,RPS10,TGFBR3",0.142488463099976,down,C1_vs_None,C1
Smooth muscle,2915,724,33,3,0.299798438232293,0.994565128352903,0.040611538400518,"COPB2,CPQ,RPS10",0.142488463099976,down,C1_vs_None,C1
B-cells,2915,1205,33,7,0.378564908885126,0.995882461556106,0.0200467602333996,"COPB2,CPQ,GLO1,ITGB7,LILRA4,RPS10,ZBTB17",0.142488463099976,down,C1_vs_None,C1
NK-cells,2915,1142,54,14,0.537827910133263,0.98631295526851,0.0486665069786158,"CD3G,CST7,ERN1,ITGAL,ITGB2,KIAA2013,LGALS3,NPTN,PALLD,PDXDC1,RBM25,S100A11,SUMF1,VEGFB",0.145999520935847,up,C1_vs_None,C1
Endothelial,2915,1019,54,12,0.52613570706645,0.985844770330163,0.0600219724966822,"CTHRC1,CXCL1,ENPP2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,RBP1,S100A11,TIMP3",0.154342214991468,up,C1_vs_None,C1
Microglial cells,2915,1150,33,8,0.487675546072387,0.978981483588629,0.0757373631977584,"COPB2,CPQ,GLO1,HSD11B1,MMUT,SMPDL3A,SNED1,TGFBR3",0.171241492806728,down,C1_vs_None,C1
T-cells,2915,1271,33,9,0.481496245149314,0.983182303158668,0.0761073301363234,"CD2,COPB2,CPQ,GLO1,ITGB7,RPS10,SPINK5,TGFBR3,ZBTB17",0.171241492806728,down,C1_vs_None,C1
Plasma cells,2915,1224,33,9,0.514617702833998,0.973809933965364,0.109485837423309,"CD2,COPB2,CPQ,GLO1,ITGB7,MMP7,MMUT,RPS10,SLC39A14",0.197074507361957,down,C1_vs_None,C1
monocytes,2915,1227,33,9,0.512427164153057,0.974518576568302,0.109394410790382,"CD2,COPB2,CPQ,GLO1,MMUT,RPS10,SMPDL3A,SNED1,ZBTB17",0.197074507361957,down,C1_vs_None,C1
Inhibitory neurons,2915,1145,90,42,1.36586823117676,0.0896089531100144,0.154670063329525,"AKAP12,ALDH5A1,AMIGO1,ARG2,ARL2BP,BRSK2,CDC123,CHGB,CHM,CSDE1,DKK3,DTNB,FAM171B,FGF9,GABARAP,GNPDA2,GPR158,HDGF,HS6ST2,IGSF21,IL34,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PENK,PODXL2,PRRT3,RAP1A,RGMB,SCG3,SLITRK1,SNAP25,SNX2,SUSD5,TTN,VGF,VWC2L,WASL",0.198861509995104,down,C0_vs_None,C0
Smooth muscle,2915,724,195,40,0.768238100873552,0.939622446387509,0.169588583093081,"AGRN,AOC3,AZI2,BTN2A1,C1QTNF1,CAMLG,CD40,COL18A1,COL3A1,FABP3,FSTL1,GADD45B,GAS6,HGF,HTRA2,IL4R,ITGB5,LAMA4,LGALS1,LGMN,LRRFIP1,LTBP3,LTBR,MPRIP,NEK7,NEXN,P4HB,PLAUR,PPP1R12B,PTGR1,SHISA5,SLMAP,SMOC2,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF12A,TNFRSF1A,VEGFB",0.218042463976818,up,C2_vs_None,C2
Plasma cells,2915,1224,67,23,0.71692582987892,0.922050809001599,0.212479481611277,"ALMS1,APOE,BLOC1S2,BST2,C1R,C1S,CD83,COQ7,CST7,EDEM2,FGA,FUOM,GKN1,GPNMB,ICAM1,IFI30,LCP1,LSM8,LTA4H,QSOX1,SNU13,TNFRSF10A,VEGFB",0.239039416812686,up,C0_vs_None,C0
Macrophages,2915,1416,67,28,0.75526519903887,0.894227908873666,0.268763389064295,"APOE,ASGR1,BLOC1S2,BST2,C1R,C1S,CD83,CDCP1,COQ7,CST7,EDEM2,FAM20A,FUOM,GPNMB,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,MARCO,MRC1,PTGR1,QSOX1,RBKS,SNU13,TNFRSF10B,VEGFB",0.284573000185724,up,C0_vs_None,C0
T-cells,2915,1271,54,18,0.641755046576735,0.954479204489931,0.130076291217418,"CD3G,CST7,CTSL,ERN1,ITGAL,ITGB2,KIAA2013,KRT6C,LGALS3,LY96,NPTN,PDXDC1,RBM25,RBP1,S100A11,SUMF1,TIMP3,VEGFB",0.292671655239191,up,C1_vs_None,C1
dendritic cells,2915,1115,33,9,0.6022678606374,0.934241777392762,0.211967983806568,"CD2,COPB2,CPQ,DSG2,GLO1,ITGB7,LILRA4,RPS10,TGFBR3",0.293494131424479,down,C1_vs_None,C1
Inhibitory neurons,2915,1145,33,9,0.576466338277458,0.948210051277183,0.208941520551702,"COPB2,CPQ,GLO1,MMUT,SCG2,SLC39A14,SMPDL3A,SNED1,TGFBR3",0.293494131424479,down,C1_vs_None,C1
Oligodendrocytes,2915,1062,33,8,0.555092555916989,0.953903539360604,0.201852127113978,"COPB2,CPQ,GLO1,HSD11B1,MMUT,SMPDL3A,SOX9,ZBTB17",0.293494131424479,down,C1_vs_None,C1
granulocytes,2915,1277,54,19,0.691818860251635,0.924459145179461,0.214850393368491,"CST7,CTSL,CXCL1,ENPP2,ERN1,ITGB2,KIAA2013,KRT6C,LGALS3,LIF,LY96,NPTN,PALLD,PDXDC1,RBM25,RBP1,S100A11,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
dendritic cells,2915,1115,54,16,0.67514999413345,0.929553265152449,0.205686377386363,"CD3G,CST7,ENPP2,ERN1,FCN1,ITGAL,ITGB2,KIAA2013,LY96,NPTN,PDXDC1,RBM25,RET,S100A11,SUMF1,VEGFB",0.322275590052737,up,C1_vs_None,C1
Smooth muscle,2915,724,54,9,0.600399945376591,0.946208146734906,0.202870447631536,"A1BG,CTSL,LGALS3,NPTN,PALLD,PDXDC1,S100A11,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
B-cells,2915,1205,54,17,0.647126220417446,0.949677969261862,0.163129160405867,"CCL17,COCH,CST7,CXCL1,ERN1,ITGAL,ITGB2,KIAA2013,LGALS3,LY96,NPTN,PDXDC1,RBM25,S100A11,SUMF1,TIMP3,VEGFB",0.322275590052737,up,C1_vs_None,C1
